"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",38.7,
"AUT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3,
"BEL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"CZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"DNK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",0,
"GRC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"IRL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",1,
"LUX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"PRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"SVK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5,
"AGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",25.2,
"CRI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3.5,
"CIV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",47.9,
"HRV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.4,
"CUB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3.9,
"CYP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.5,
"SLV","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.7,
"FJI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.6,
"HKG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",26,
"LVA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"LTU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"MLT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",0,
"MRT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",26.6,
"MMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",51.2,
"OMN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.9,
"PAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5.7,
"PRY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22.9,
"TWN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",21.6,
"MNE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2.7,
