"region","year","deaths"
"Americas",1935,0.40704392966992003
"Americas",1936,0
"Americas",1937,0
"Americas",1938,0
"Americas",1939,0.018162628842517955
"Americas",1940,0.2690205754396789
"Americas",1941,1.9038572353782095
"Americas",1942,3.1193835781106283
"Americas",1943,2.9094211778745174
"Americas",1944,3.078319046680339
"Americas",1945,2.1070373081912437
"Americas",1946,0
"Americas",1947,0.1647202990901913
"Americas",1948,0.10377796027798644
"Americas",1949,0.48799201245387147
"Americas",1950,1.029156651148066
"Americas",1951,0.855820008823061
"Americas",1952,0.5952152312202916
"Americas",1953,0.5092101219226247
"Americas",1954,0.44970453257204007
"Americas",1955,0.47211671924308823
"Americas",1956,0.4312099932561241
