id,from,to,value,color,route_index,distance,angle,xcoord,ycoord
44,NGA,NER,0,african countries transfer,1,5.999808812,0,6.475573392,15.23198793
45,NGA,LBY,117,african countries transfer,0,0,89.55865044,6.653577795,9.156377068
45,NGA,LBY,117,african countries transfer,1,3.280464175,44.89201438,9.933944645,9.181646243
45,NGA,LBY,117,african countries transfer,2,22.67438321,29.17379715,10.01023225,28.57541524
45,NGA,LBY,117,african countries transfer,3,26.83683797,58.12221598,13.5448911,30.77364553
46,NER,LBY,220,african countries transfer,0,0,89.15763644,6.501002593,15.33072368
46,NER,LBY,220,african countries transfer,1,1.678508627,44.57881822,8.179329818,15.35540026
46,NER,LBY,220,african countries transfer,2,15.12275819,35.13333674,8.179329818,28.79964983
46,NER,LBY,220,african countries transfer,3,20.90412163,70.26667347,13.6211787,30.75168565
47,NER,DZA,1100,africa-europe,0,0,268.7430303,6.195852188,15.28136169
47,NER,DZA,1100,africa-europe,1,4.502051816,314.2838372,1.694883718,15.18260243
47,NER,DZA,1100,africa-europe,2,21.11954406,359.824644,1.644025318,31.80001685
48,DZA,ITA,2500,africa-europe,0,0,359.0337871,1.644025318,32.14683268
48,DZA,ITA,2500,africa-europe,1,7.540030618,39.11608792,1.516879316,39.68579121
48,DZA,ITA,2500,africa-europe,2,18.07639875,79.1983887,11.86656388,41.66040078
49,LBY,ITA,0,africa-europe,0,0,1.844271294,13.6211787,30.86143443
49,LBY,ITA,0,africa-europe,1,3.950713469,353.9832096,13.7483247,34.8101014
49,LBY,ITA,0,africa-europe,2,10.9480355,346.1221478,12.06999748,41.60316649
50,ITA,CHE,0,european countries transfer,0,0,274.6508683,11.96828068,41.545881
50,ITA,CHE,0,european countries transfer,1,2.117596277,291.4870316,9.857657044,41.71758387
50,ITA,CHE,0,european countries transfer,2,4.516193982,333.4831251,7.975896215,43.20494634
50,ITA,CHE,0,european countries transfer,3,7.737670776,358.6430552,7.899608614,46.42551973
51,GRC,ITA,0,european countries transfer,0,0,308.1191651,23.13169965,37.95522701
51,GRC,ITA,0,european countries transfer,1,5.785765216,289.4685305,18.57987278,41.52677447
51,GRC,ITA,0,european countries transfer,2,12.47432639,270.8178959,11.89199308,41.62225027
52,SYR,ITA,8000,middle east-europe,0,0,270.2230616,35.23599904,35.68621919
52,SYR,ITA,8000,middle east-europe,1,10.65491571,282.5562314,24.58116407,35.72770037
52,SYR,ITA,8000,middle east-europe,2,24.6152688,294.8894011,11.91742228,41.60316649
53,SYR,TUR,0,middle east-europe,0,0,338.2475218,37.49919787,33.71223315
53,SYR,TUR,0,middle east-europe,1,0.068616741,349.8488341,37.47376867,33.77596394
53,SYR,TUR,0,middle east-europe,2,4.087911284,325.9225242,37.57548547,37.79397119
53,SYR,TUR,0,middle east-europe,3,7.533407555,290.3949019,34.34597702,38.99468753
54,ERI,LBY,6160,african countries transfer,0,0,237.2208425,34.19340182,38.99468753
54,ERI,LBY,6160,african countries transfer,1,3.115272382,253.2595452,31.57419418,37.30807159
54,ERI,LBY,6160,african countries transfer,2,9.752791528,278.121215,24.93717288,37.22677804
54,ERI,LBY,6160,african countries transfer,3,11.56044914,286.9441821,23.20798725,37.75360165
55,TUR,ITA,4800,middle east-europe,0,0,270,34.16797262,38.95498803
55,TUR,ITA,4800,middle east-europe,1,13.52833461,278.3404876,20.63963801,38.95498803
55,TUR,ITA,4800,middle east-europe,2,22.42135404,286.6809753,12.12085588,41.50766225
56,GRC,AUT,3600,european countries transfer,0,0,0,23.10627045,37.99548532
56,GRC,AUT,3600,european countries transfer,1,2.160217856,333.5258381,23.10627045,40.15570318
56,GRC,AUT,3600,european countries transfer,2,9.870937215,289.2715142,16.95240395,44.80168211
56,GRC,AUT,3600,european countries transfer,3,11.95683822,316.5109366,14.86720952,44.85596991
56,GRC,AUT,3600,european countries transfer,4,14.8130403,1.530521059,14.94349712,47.71115301
57,TUR,AUT,9000,middle east-europe,0,0,0.553421607,34.26968942,39.13345904
57,TUR,AUT,9000,middle east-europe,1,10.53091167,315.387321,34.37140622,49.66387947
57,TUR,AUT,9000,middle east-europe,2,27.61946171,249.440205,17.28298356,49.7298586
57,TUR,AUT,9000,middle east-europe,3,30.70160905,228.6591896,14.96892632,47.69398745
58,TUR,SRB,2600,middle east-europe,0,0,315.0118317,34.14254342,39.05419471
58,TUR,SRB,2600,middle east-europe,1,7.122010237,292.5059158,29.10756174,44.09125629
58,TUR,SRB,2600,middle east-europe,2,15.61536317,270,20.61420881,44.09125629
59,TUR,BGR,0,middle east-europe,0,0,296.3412268,34.16797262,39.01452887
59,TUR,BGR,0,middle east-europe,1,3.405060351,283.3324945,31.11646857,40.52540909
59,TUR,BGR,0,middle east-europe,2,10.27105407,315.6369556,24.25058447,40.56420668
59,TUR,BGR,0,middle east-europe,3,11.8045534,0.950148861,24.27601367,42.09749516
60,EGY,ITA,2200,africa-europe,0,0,269.1440181,31.09103937,29.20204489
60,EGY,ITA,2200,africa-europe,1,5.976529045,314.4387403,25.11517728,29.11276065
60,EGY,ITA,2200,africa-europe,2,11.44289527,328.7845432,25.08974808,34.57906773
60,EGY,ITA,2200,africa-europe,3,26.28130249,297.8356237,11.96828068,41.50766225
61,SYR,DEU,8000,middle east-europe,0,0,55.37860618,37.52462707,33.81842457
61,SYR,DEU,8000,middle east-europe,1,2.811992895,27.4208755,39.83868431,35.41606131
61,SYR,DEU,8000,middle east-europe,2,19.09579398,330.1799649,39.6861091,51.69914758
61,SYR,DEU,8000,middle east-europe,3,22.71120611,285.428938,36.58374666,53.55563677
