"code_insee","prod_tot","prod_type","prod","X","Y"
"35",0.5,"noir",0,-1.63830787920487,48.1553907903648
"35",0.5,"rouge",0,-1.63830787920487,48.1553907903648
"35",0.5,"vert",0.5,-1.63830787920487,48.1553907903648
"36",51,"noir",26,1.57590139855386,46.7783227509812
"36",51,"rouge",0,1.57590139855386,46.7783227509812
"36",51,"vert",25,1.57590139855386,46.7783227509812
"37",5,"noir",5,0.691000544273561,47.2585967233169
"37",5,"rouge",0,0.691000544273561,47.2585967233169
"37",5,"vert",0,0.691000544273561,47.2585967233169
"40",1,"noir",1,-0.783908281123802,43.9659017924409
"40",1,"rouge",0,-0.783908281123802,43.9659017924409
"40",1,"vert",0,-0.783908281123802,43.9659017924409
"41",3,"noir",3,1.4279595376,47.6169721383516
"41",3,"rouge",0,1.4279595376,47.6169721383516
"41",3,"vert",0,1.4279595376,47.6169721383516
"43",3,"noir",3,3.80631341032574,45.1281277373632
"43",3,"rouge",0,3.80631341032574,45.1281277373632
"43",3,"vert",0,3.80631341032574,45.1281277373632
"44",7,"noir",7,-1.68227997420691,47.3616762831849
"44",7,"rouge",0,-1.68227997420691,47.3616762831849
"44",7,"vert",0,-1.68227997420691,47.3616762831849
"45",42,"noir",2,2.34399874530544,47.9118732629657
"45",42,"rouge",18,2.34399874530544,47.9118732629657
"45",42,"vert",22,2.34399874530544,47.9118732629657
"46",3,"noir",3,1.60552640937422,44.6246647620317
"46",3,"rouge",0,1.60552640937422,44.6246647620317
"46",3,"vert",0,1.60552640937422,44.6246647620317
"47",3,"noir",3,0.460805046677005,44.3679649998983
"47",3,"rouge",0,0.460805046677005,44.3679649998983
"47",3,"vert",0,0.460805046677005,44.3679649998983
"49",120,"noir",100,-0.564220311095504,47.3911858523785
"49",120,"rouge",0,-0.564220311095504,47.3911858523785
"49",120,"vert",20,-0.564220311095504,47.3911858523785
"50",10,"noir",9,-1.33096488084218,49.0822098389862
"50",10,"rouge",0,-1.33096488084218,49.0822098389862
"50",10,"vert",1,-1.33096488084218,49.0822098389862
"51",19,"noir",4,4.23873727281522,48.9495115432991
"51",19,"rouge",0,4.23873727281522,48.9495115432991
"51",19,"vert",15,4.23873727281522,48.9495115432991
"52",5,"noir",5,5.22556520911945,48.110458714601
"52",5,"rouge",0,5.22556520911945,48.110458714601
"52",5,"vert",0,5.22556520911945,48.110458714601
"53",32,"noir",30,-0.657417489134645,48.1473787836853
"53",32,"rouge",0,-0.657417489134645,48.1473787836853
"53",32,"vert",2,-0.657417489134645,48.1473787836853
"54",2,"noir",2,6.16205056762678,48.788703575478
"54",2,"rouge",0,6.16205056762678,48.788703575478
"54",2,"vert",0,6.16205056762678,48.788703575478
"55",2,"noir",2,5.38125777207616,48.9911509172683
"55",2,"rouge",0,5.38125777207616,48.9911509172683
"55",2,"vert",0,5.38125777207616,48.9911509172683
"56",2,"noir",0,-2.81227539769991,47.8458746890313
"56",2,"rouge",2,-2.81227539769991,47.8458746890313
"56",2,"vert",0,-2.81227539769991,47.8458746890313
"57",3,"noir",3,6.66138975445329,49.0375378970186
"57",3,"rouge",0,6.66138975445329,49.0375378970186
"57",3,"vert",0,6.66138975445329,49.0375378970186
"58",52,"noir",50,3.50427119715202,47.1158059895625
"58",52,"rouge",0,3.50427119715202,47.1158059895625
"58",52,"vert",2,3.50427119715202,47.1158059895625
"59",25,"noir",5,3.21362087214208,50.4486483594532
"59",25,"rouge",0,3.21362087214208,50.4486483594532
"59",25,"vert",20,3.21362087214208,50.4486483594532
"60",26,"noir",2,2.42517903372139,49.4099435382152
"60",26,"rouge",14,2.42517903372139,49.4099435382152
"60",26,"vert",10,2.42517903372139,49.4099435382152
"61",60,"noir",60,0.127698260837275,48.6230775091875
"61",60,"rouge",0,0.127698260837275,48.6230775091875
"61",60,"vert",0,0.127698260837275,48.6230775091875
"62",12,"noir",2,2.28572011461295,50.4939764682819
"62",12,"rouge",0,2.28572011461295,50.4939764682819
"62",12,"vert",10,2.28572011461295,50.4939764682819
"65",1,"noir",1,0.163912055378055,43.053786663207
"65",1,"rouge",0,0.163912055378055,43.053786663207
"65",1,"vert",0,0.163912055378055,43.053786663207
"71",4,"noir",4,4.54274978709148,46.6447944753209
"71",4,"rouge",0,4.54274978709148,46.6447944753209
"71",4,"vert",0,4.54274978709148,46.6447944753209
"72",32,"noir",31,0.222473770865573,47.994931688802
"72",32,"rouge",0,0.222473770865573,47.994931688802
"72",32,"vert",1,0.222473770865573,47.994931688802
"75",25,"noir",22.5,2.3427010813383,48.8565865443837
"75",25,"rouge",0,2.3427010813383,48.8565865443837
"75",25,"vert",2.5,2.3427010813383,48.8565865443837
"76",32,"noir",8,1.02708099110132,49.6547015355725
"76",32,"rouge",0,1.02708099110132,49.6547015355725
"76",32,"vert",24,1.02708099110132,49.6547015355725
"77",37,"noir",7,2.93404209652128,48.6274245359241
"77",37,"rouge",20,2.93404209652128,48.6274245359241
"77",37,"vert",10,2.93404209652128,48.6274245359241
"78",100,"noir",25,2.08465293629614,48.7868400894909
"78",100,"rouge",30,2.08465293629614,48.7868400894909
"78",100,"vert",45,2.08465293629614,48.7868400894909
"79",52,"noir",38,-0.317732250001684,46.5569620303756
"79",52,"rouge",0,-0.317732250001684,46.5569620303756
"79",52,"vert",14,-0.317732250001684,46.5569620303756
"80",12,"noir",2,2.27542933413321,49.9583106214122
"80",12,"rouge",0,2.27542933413321,49.9583106214122
"80",12,"vert",10,2.27542933413321,49.9583106214122
"85",80,"noir",77,-1.29962080387691,46.6742991702828
"85",80,"rouge",0,-1.29962080387691,46.6742991702828
"85",80,"vert",3,-1.29962080387691,46.6742991702828
"86",35,"noir",17,0.459427715912825,46.5649157352718
"86",35,"rouge",0,0.459427715912825,46.5649157352718
"86",35,"vert",18,0.459427715912825,46.5649157352718
"87",60,"noir",50,1.23485904315999,45.8923878113128
"87",60,"rouge",0,1.23485904315999,45.8923878113128
"87",60,"vert",10,1.23485904315999,45.8923878113128
"88",1,"noir",1,6.38022826228296,48.1961957123043
"88",1,"rouge",0,6.38022826228296,48.1961957123043
"88",1,"vert",0,6.38022826228296,48.1961957123043
"89",20,"noir",5,3.56329248510285,47.8405413723589
"89",20,"rouge",0,3.56329248510285,47.8405413723589
"89",20,"vert",15,3.56329248510285,47.8405413723589
