T_NAME,T_Status,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADMT_PCOD,POINT_X,POINT_Y
Delo Mena,Wereda Capital,Mena (Bale),ET041112,Bale,ET0411,Oromia,ET04,Ethiopia,ET04111201,39.84781369730,6.41162038144
Chebe,Wereda Capital,Chabe Gambeltu,ET160029,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16002901,38.85488318050,6.42476381844
West Imi,Wereda Capital,West Imi,ET050805,Afder,ET0508,Somali,ET05,Ethiopia,ET05080501,42.13740715210,6.45601553263
East Imi,Wereda Capital,East Imi,ET050601,Shabelle,ET0506,Somali,ET05,Ethiopia,ET05060101,42.17429341030,6.46330380040
Zefine,Wereda Capital,Boreda,ET071004,Gamo,ET0710,SNNP,ET07,Ethiopia,ET07100401,37.63169347480,6.46894456209
Nuraqua,Wereda Capital,Abergele (AM),ET030805,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET03080501,38.97818295600,13.02824617740
Teltele,Wereda Capital,Teltale,ET041212,Borena,ET0412,Oromia,ET04,Ethiopia,ET04121201,37.38413395710,5.06173118751
Mustahil,Wereda Capital,Mustahil,ET050606,Shabelle,ET0506,Somali,ET05,Ethiopia,ET05060601,44.73161325600,5.24184011503
Karat,Zonal Capital,Karat town,ET071301,Konso,ET0713,SNNP,ET07,Ethiopia,ET07130100,37.43507187430,5.33283936668
Negele,Zonal Capital,Negele town,ET041414,Guji,ET0414,Oromia,ET04,Ethiopia,ET04141400,39.57539701820,5.33452712589
Charati,Wereda Capital,Charati,ET050802,Afder,ET0508,Somali,ET05,Ethiopia,ET05080201,41.88155878290,5.33530795652
Shakiso,Wereda Capital,Shakiso town,ET041499,Guji,ET0414,Oromia,ET04,Ethiopia,ET04149901,38.89510698720,5.76201479399
Kercha,Wereda Capital,Kercha,ET041502,West Guji,ET0415,Oromia,ET04,Ethiopia,ET04150201,38.40540877000,5.77919549604
Wadera,Wereda Capital,Wadera,ET041404,Guji,ET0414,Oromia,ET04,Ethiopia,ET04140401,39.30518539650,5.77827027074
Higlooley,Wereda Capital,Higloley,ET050597,Korahe,ET0505,Somali,ET05,Ethiopia,ET05059701,44.56954961780,5.75307939018
Jinka,Zonal Capital,Jinka town,ET070709,South Omo,ET0707,SNNP,ET07,Ethiopia,ET07070900,36.56749583920,5.78616304617
Bol Hager,Wereda Capital,Adadle,ET050602,Shabelle,ET0506,Somali,ET05,Ethiopia,ET05060201,43.53045627100,5.79688771843
Kele,Wereda Capital,Amaro,ET072102,Amaro,ET0721,SNNP,ET07,Ethiopia,ET07210201,37.89653855620,5.83313513398
Elkere,Wereda Capital,Elkare /Serer,ET050804,Afder,ET0508,Somali,ET05,Ethiopia,ET05080401,42.09825211790,5.84119392998
Adola/Kibre Mengist,Wereda Capital,Adola town,ET041492,Guji,ET0414,Oromia,ET04,Ethiopia,ET04149201,38.98837415150,5.87600052951
Chencha,Wereda Capital,Chencha,ET071010,Gamo,ET0710,SNNP,ET07,Ethiopia,ET07101001,37.57679349230,6.24214870966
Galma,Wereda Capital,Zala,ET071503,Gofa,ET0715,SNNP,ET07,Ethiopia,ET07150301,37.01810381650,6.24920276235
Afele Kola,Wereda Capital,Dama,ET041408,Guji,ET0414,Oromia,ET04,Ethiopia,ET04140801,38.48171287830,6.25662363826
Jeba,Wereda Capital,Bero,ET071805,Mirab Omo,ET0718,SNNP,ET07,Ethiopia,ET07180501,35.23416163340,6.24002326241
Bulk'i,Wereda Capital,Bulike town,ET071508,Gofa,ET0715,SNNP,ET07,Ethiopia,ET07150801,36.81082951990,6.28436476541
Mi'irab Abaya,Wereda Capital,Mirab Abaya,ET071005,Gamo,ET0710,SNNP,ET07,Ethiopia,ET07100501,37.76568237510,6.29096010574
Zada,Wereda Capital,Dita,ET071008,Gamo,ET0710,SNNP,ET07,Ethiopia,ET07100801,37.48765398340,6.30643727976
Bule,Wereda Capital,Bule,ET070504,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET07050401,38.40591252050,6.30113054101
Balma,Wereda Capital,Basketo SP Woreda,ET071601,Basketo,ET0716,SNNP,ET07,Ethiopia,ET07160101,36.62667877750,6.29954488528
Sawla,Zonal Capital,Sawla town,ET071507,Gofa,ET0715,SNNP,ET07,Ethiopia,ET07150700,36.87767915140,6.29947003010
Wenago,Wereda Capital,Wenago,ET070501,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET07050101,38.25914280290,6.31379432725
Wacha,Wereda Capital,Daramalo,ET071009,Gamo,ET0710,SNNP,ET07,Ethiopia,ET07100901,37.30286481520,6.32765148099
Lehe,Wereda Capital,Melekoza,ET071501,Gofa,ET0715,SNNP,ET07,Ethiopia,ET07150101,36.58537129550,6.46652396251
Kebado,Wereda Capital,Dara,ET160006,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16000601,38.33999001790,6.47186820197
Selam Ber,Wereda Capital,Selamber town,ET071003,Gamo,ET0710,SNNP,ET07,Ethiopia,ET07100301,37.45920729080,6.46814200812
Hagere Selam,Wereda Capital,Hulla,ET160007,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16000701,38.52252472590,6.48844208190
Teferi Kela,Wereda Capital,Dara Otilicho,ET160025,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16002501,38.39149046440,6.49974423309
Dima,Wereda Capital,Dima (GM),ET120205,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET12020501,35.18185492040,6.50602555708
Daye,Wereda Capital,Daye town,ET160030,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16003001,38.82647795680,6.51868394466
Danan,Wereda Capital,Danan,ET050603,Shabelle,ET0506,Somali,ET05,Ethiopia,ET05060301,43.49272074550,6.50795166821
Bona Kebalenka,Wereda Capital,Bona Zuria,ET160017,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16001701,38.70866684110,6.52542334528
Teticha,Wereda Capital,Teticha,ET160026,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16002601,38.53604004750,6.55388001201
Woniba,Wereda Capital,Melo Gada,ET071509,Gofa,ET0715,SNNP,ET07,Ethiopia,ET07150901,36.78288988090,6.55329338466
Bursa,Wereda Capital,Bursa,ET160015,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16001501,38.60221431590,6.58846721003
