T_NAME,T_Status,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADMT_PCOD,POINT_X,POINT_Y
Mulla,Wereda Capital,Kebribeyah,ET050206,Fafan,ET0502,Somali,ET05,Ethiopia,ET05020601,42.91502430440,8.99001350731
Addis Ababa,Capital City,Kirkos,ET140106,Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET140106,38.75763745760,9.00946300444
Babile,Wereda Capital,Babile (OR),ET041004,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100401,42.39958823740,9.01829543193
Ginchi,Wereda Capital,Dendi,ET040510,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051001,38.14064171540,9.02699979052
Sire,Wereda Capital,Sibu Sire,ET040209,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020901,36.86587034990,9.03228711111
Gimata,Wereda Capital,Wayu Tuka,ET040206,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020601,36.66587485670,9.03228667833
Adis Alem,Wereda Capital,Ejere /Addis Alem,ET040511,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051101,38.39486447870,9.04823268494
Arjo Gudetu,Wereda Capital,Diga,ET040210,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04021001,36.25055929910,9.04081223826
Gengi,Wereda Capital,Gaji,ET040113,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011301,35.61852381500,9.03575034576
Holeta,Wereda Capital,Holeta town,ET042020,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET04202001,38.49161296840,9.06663353192
Mesela,Wereda Capital,Mesela,ET040904,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090401,41.17185556960,9.07796511518
Oma,Wereda Capital,Homa,ET040117,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011701,35.69528977970,9.07196607725
Chiro,Zonal Capital,Chiro town,ET040905,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090500,40.86578220100,9.08230070496
Ano,Wereda Capital,Gobu Seyo,ET040208,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020801,36.95583058020,9.08957087931
Nekemte,Zonal Capital,Nekemte town,ET040297,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04029700,36.54636628520,9.08699235933
Ayira,Wereda Capital,Ayira,ET040107,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04010701,35.39575020920,9.09362055392
Bedeno,Wereda Capital,Bedeno,ET041013,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04101301,41.63235093370,9.11042188580
Sholagebeya,Wereda Capital,Hagere Mariam,ET030516,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051601,39.40193596100,9.20935748642
Jere,Wereda Capital,Bila Seyo,ET040207,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020701,37.06618845320,9.20811694948
Hirna,Wereda Capital,Tulo (OR),ET040903,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090301,41.09616715850,9.21278871427
Mieso,Wereda Capital,Mieso,ET040901,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090101,40.75453420590,9.23245672382
Wayu,Wereda Capital,Jimma Rare,ET041907,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190701,37.36371879920,9.23803976607
Babile,Wereda Capital,Babile town,ET041000,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100001,42.33399143150,9.22368554905
Harshin,Wereda Capital,Harshin,ET050207,Fafan,ET0502,Somali,ET05,Ethiopia,ET05020701,43.74264892960,8.92521987077
Gursum,Wereda Capital,Gursum (OR),ET041003,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100301,42.52065186070,9.22775307043
Kurfa Chele,Wereda Capital,Kurfa Chele,ET041007,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100701,41.81954139330,9.23617270103
Goje,Wereda Capital,Jeldu,ET040502,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050201,38.08216407670,9.26226231141
Berta,Zonal Capital,Amibara,ET020301,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET02030100,40.22286161130,9.27881673423
Segno Gebeya,Wereda Capital,Mulo,ET042016,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET04201601,38.56519553750,9.29193343172
Doba,Wereda Capital,Doba,ET040902,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090201,41.09028744120,9.28474488646
Chancho,Wereda Capital,Sululta,ET042013,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET04201301,38.75220069230,9.30232307235
Deder,Wereda Capital,Deder town,ET041097,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04109701,41.44282405830,9.30972555695
Inchini,Wereda Capital,Adda Berga,ET040513,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051301,38.37533050020,9.31587326907
Muklemi,Wereda Capital,Boji Chekorsa,ET040110,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011001,35.55587730320,9.29990519682
Shino,Wereda Capital,Meta Robi,ET040514,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051401,38.26607756040,9.31608042338
Harar,Regional Capital,Abadir,ET130109,Harari,ET1301,Harari,ET13,Ethiopia,ET13010900,42.11990878650,9.31060782231
Sheno,Wereda Capital,Kimbibit,ET040610,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04061001,39.29009125480,9.33040545049
Ch'obi,Wereda Capital,Cobi,ET040592,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04059201,37.94949941400,9.33063768752
Ginager,Wereda Capital,Assagirt,ET030514,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051401,39.57390824630,9.33712296887
Sirti,Wereda Capital,Jida,ET040615,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04061501,38.99576177680,9.35333621136
Hareto,Wereda Capital,Jimma Genete,ET041906,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190601,37.11658099270,9.36549897545
Gursum,Wereda Capital,Gursum (OR),ET041003,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100301,42.39693015730,9.35308999272
Begi,Wereda Capital,Begi,ET040116,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011601,34.52662601200,9.34117406975
Jijiga,Regional Capital,Jigjiga town,ET050293,Fafan,ET0502,Somali,ET05,Ethiopia,ET05029300,42.79823442420,9.34913081642
Bogi,Wereda Capital,Boji Dirmeji,ET040106,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04010601,35.59393875930,9.36527166233
Geba Dafeno,Wereda Capital,Jarso (West Wellega),ET040108,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04010801,35.33218161780,9.39271470939
Andido,Wereda Capital,Hanruka,ET020307,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET02030701,40.32832220180,9.39935054478
Chelenko,Wereda Capital,Meta,ET041009,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100901,41.55599963000,9.39463372528
Gebadefeno,Wereda Capital,Gudetu Kondole,ET040109,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04010901,34.62338538160,9.39710097426
Kembolcha,Wereda Capital,Kombolcha,ET041001,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100101,42.11804582700,9.43265660610
Haroreys,Wereda Capital,Haroreys,ET050298,Fafan,ET0502,Somali,ET05,Ethiopia,ET05029801,43.09086713280,9.43630477512
Afdam,Wereda Capital,Miesso,ET050107,Siti,ET0501,Somali,ET05,Ethiopia,ET05010701,40.99911137420,9.46566895734
Debeka,Wereda Capital,Babo,ET040111,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011101,35.19473936490,9.46884358958
Ijersa Goro,Wereda Capital,Jarso (East Hararghe),ET041002,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100201,42.22470050310,9.48870153153
Kombolchaa,Wereda Capital,Guduru,ET041903,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190301,37.47885294310,9.50928613400
Kemashi,Zonal Capital,Kamashi,ET060403,Kemashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET06040300,35.86192143380,9.50109359680
Nejo,Wereda Capital,Nejo town,ET040199,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04019901,35.50211089750,9.50597463564
Chinaksen,Wereda Capital,Chinaksen,ET041015,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04101501,42.61119810230,9.50352291572
Gota,Wereda Capital,Gota-Biki,ET050198,Siti,ET0501,Somali,ET05,Ethiopia,ET05019801,41.33631601370,9.51738538957
Ch'ach'a,Wereda Capital,Angolelana Tera,ET030513,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051301,39.45291278040,9.53187414743
Gachine,Wereda Capital,Arguba,ET020306,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET02030601,39.87747263110,9.54338673077
Dulecha,Wereda Capital,Dulecha,ET020304,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET02030401,39.94151645410,9.54621100588
Muke Turi,Wereda Capital,Wuchale,ET040608,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04060801,38.86870058330,9.55090748595
Erer,Wereda Capital,Erer (SM),ET050104,Siti,ET0501,Somali,ET05,Ethiopia,ET05010401,41.37641264360,9.56379080397
Shambu,Zonal Capital,Shambu town,ET041902,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190200,37.09809115410,9.56538150362
Finchaa,Wereda Capital,Abay Chomen,ET041905,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190501,37.35869458410,9.56345095904
Gutin,Wereda Capital,Gida Ayana,ET040203,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020301,36.63224097250,9.57338884281
Gorabel,Wereda Capital,Ankober,ET030515,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051501,39.73282422100,9.59452920246
Ginde Beret,Wereda Capital,Ginde Beret,ET040501,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050101,37.83792774380,9.59702305528
Dire Dawa,Regional Capital,Addis Ketema (DD),ET150109,Dire Dawa urban,ET1501,Dire Dawa,ET15,Ethiopia,ET15010900,41.85949266330,9.59186811483
Beke Qelate,Wereda Capital,Abuna Ginde Beret,ET040516,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051601,37.98463133380,9.60811813511
Tulu Wayo,Wereda Capital,Abe Dongoro,ET041910,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04191011,36.93310917240,9.60770147489
Debre Tsege,Wereda Capital,Debre Libanos,ET040607,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04060701,38.82945476980,9.63120401651
Tulu Guled,Wereda Capital,Chinaksen,ET041015,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04101501,42.75229580830,9.61506100349
Mendida,Wereda Capital,Abichugna Gne'a,ET040609,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04060901,39.31341377160,9.65351528649
Meti,Wereda Capital,Dembi,ET060404,Kemashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET06040401,35.77023463090,9.64688772311
Debre Birhan,Zonal Capital,Debre Berhan town,ET030520,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03052000,39.52699375660,9.66913452855
Dadu,Wereda Capital,Ababo,ET041904,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190401,37.53811739650,9.68534860709
Shinile,Zonal Capital,Shinile,ET050103,Siti,ET0501,Somali,ET05,Ethiopia,ET05010300,41.84456961950,9.68562654912
Kiltu Kara,Wereda Capital,Kiltu Kara,ET040105,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04010501,35.25750186520,9.68876162669
Bambasi,Wereda Capital,Bambasi,ET060305,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET06030501,34.72821268480,9.75416622997
Fiche,Zonal Capital,Fiche town,ET040613,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04061300,38.73388988590,9.79664640495
Lemi,Wereda Capital,Ensaro,ET030503,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03050301,38.90936303740,9.79829671019
Kuyu,Wereda Capital,Kuyu,ET040604,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04060401,38.41759958200,9.80504062005
Degem,Wereda Capital,Degem,ET040605,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04060501,38.63401363790,9.81014024570
Aw-Barre,Wereda Capital,Aw-Bare,ET050205,Fafan,ET0502,Somali,ET05,Ethiopia,ET05020501,43.20732374350,9.78484606789
Mendi,Wereda Capital,Mendi town,ET040198,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04019801,35.10098379760,9.79134639095
Dambel,Wereda Capital,Dembel,ET050102,Siti,ET0501,Somali,ET05,Ethiopia,ET05010201,42.60148637760,9.80981662296
Debresina,Wereda Capital,Tarema Ber,ET030510,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051001,39.75827519290,9.84884042737
Gelila,Wereda Capital,Limu (OR),ET040201,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020101,36.47709210930,9.84392478185
Deneba,Wereda Capital,Siya Debirna Wayu,ET030523,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03052301,39.19052739240,9.74888494548
Alibo,Wereda Capital,Jarte Jardega,ET041908,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190801,37.07631865510,9.87918558720
Enewari,Wereda Capital,Moretna Jiru,ET030504,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03050401,39.14415096880,9.89369194723
Harawo,Wereda Capital,Harawo,ET050299,Fafan,ET0502,Somali,ET05,Ethiopia,ET05029901,43.04906682550,9.86571280586
Kiremu,Wereda Capital,Kiremu,ET040217,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04021701,36.86267276020,9.95389886977
Sela Dingay,Wereda Capital,Mojan Wedera,ET030511,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051101,39.62846822120,9.95607321947
Kumame,Wereda Capital,Samurobi,ET020502,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET02050201,40.13979165340,9.97280068561
Hinde,Wereda Capital,Ibantu,ET040202,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020201,36.44754267370,9.97370253864
Abora,Wereda Capital,Amuru,ET041909,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET04190901,37.02984878170,9.98879590180
Shewa Robit,Wereda Capital,Shoa Robit,ET030595,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03059501,39.89913378620,9.99904610711
Gohatsiyon,Wereda Capital,Wara Jarso,ET040601,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04060101,38.24645678320,10.00048458520
Alem Ketema,Wereda Capital,Aleme Ketma,ET030599,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03059901,38.99171203090,10.05980527900
Asosa,Regional Capital,Assosa,ET060303,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET06030300,34.53755891390,10.06357707450
Molale,Wereda Capital,Menze Mama Midir,ET030509,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03050901,39.65688324300,10.11823176080
Yejube,Wereda Capital,Baso Liben,ET030611,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03061101,37.74372897010,10.15062670990
Gewane,Wereda Capital,Gewane,ET020303,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET02030301,40.66021747440,10.15742663600
Dejen,Wereda Capital,Dejen town,ET030698,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03069801,38.14395690600,10.16701449430
Gundo Meskel,Wereda Capital,Dera (OR),ET040602,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04060201,38.69855156830,10.22095389180
Zemero,Wereda Capital,Menze Keya Gabriel,ET030521,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03052101,39.44715088160,10.22174220890
Amber,Wereda Capital,Aneded,ET030617,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03061701,37.84263384770,10.25106803540
Dengora,Wereda Capital,Awabel,ET030612,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03061201,37.93808417780,10.25141435720
Rema,Wereda Capital,Mida Woremo,ET030501,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03050101,38.92009795430,10.27297113720
Gablalu,Wereda Capital,Gablalu,ET050199,Siti,ET0501,Somali,ET05,Ethiopia,ET05019901,41.24447445170,10.49114529620
Senbete,Wereda Capital,Jilye Tumuga,ET031003,Oromia,ET0310,Amhara,ET03,Ethiopia,ET03100301,39.98764767370,10.30549554460
Debre Eliyas,Wereda Capital,Debre Elias,ET030608,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03060801,37.46355345430,10.29826011710
Mehal Meda,Wereda Capital,Mehale Meda town,ET030597,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03059701,39.65956391660,10.30764324000
Debre Markos,Zonal Capital,Debre Markos town,ET030615,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03061500,37.72752090300,10.33114175630
Epheson /Ataye,Wereda Capital,Ataye town,ET030598,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03059801,39.95827446330,10.34510442180
Menge,Wereda Capital,Menge,ET060301,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET06030101,34.76046181470,10.35326568620
Degolo,Wereda Capital,Jama,ET030414,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041401,39.25332297200,10.42192331690
Adigala,Wereda Capital,Hadhagala,ET050106,Siti,ET0501,Somali,ET05,Ethiopia,ET05010601,42.23928423500,10.42415845510
Yebok'la,Wereda Capital,Guzamn,ET030610,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03061001,37.88816854280,10.44013934220
Amanu'el,Wereda Capital,Michakel,ET030609,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03060901,37.56420628200,10.43894848880
Yeidwuha,Wereda Capital,Shebel Bernta,ET030614,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03061401,38.34462876740,10.44596296810
Bichena,Wereda Capital,Bechena Town,ET030699,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03069901,38.20184900770,10.44691082430
Kuchi,Wereda Capital,Bure (AM),ET030710,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03071001,37.02016207840,10.48290945210
Kuy,Wereda Capital,Debay Telatgen,ET030607,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03060701,37.99140751940,10.50139562490
Robe Gebaya,Wereda Capital,Senan,ET030616,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03061601,37.76181430500,10.54539173070
Rabel,Wereda Capital,Gishe Rabel,ET030506,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03050601,39.59913885180,10.54909344660
Chef Robit,Wereda Capital,Artuma Fursi,ET031004,Oromia,ET0310,Amhara,ET03,Ethiopia,ET03100401,39.93551967760,10.55197082850
Dembech'a,Wereda Capital,Denbecha town,ET030717,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03071701,37.48048749380,10.56666491450
Kelala,Wereda Capital,Kelela,ET030413,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041301,38.99688366680,10.58274128140
Were Ilu,Wereda Capital,Wereilu town,ET030423,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03042301,39.43479805440,10.59098703730
Wegedi,Wereda Capital,Wegde,ET030416,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041601,38.76423591750,10.59382263290
Debre Zeit,Wereda Capital,Wenbera,ET060203,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET06020301,35.66482364890,10.62334667800
Sherkole,Wereda Capital,Sherkole,ET060304,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET06030401,34.77791347060,10.59843855940
Dalifagi,Zonal Capital,Dalefage,ET020504,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET02050400,40.31143929740,10.61635202460
Shende,Wereda Capital,Wemberma,ET030711,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03071101,36.94165503620,10.64201619140
Dabra Wark',Wereda Capital,Enarj Enawga,ET030605,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03060501,38.16587041400,10.65359928960
Dibate,Wereda Capital,Debati,ET060205,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET06020501,36.26010219310,10.76885054820
Bora,Wereda Capital,Dewa Harewa,ET031005,Oromia,ET0310,Amhara,ET03,Ethiopia,ET03100501,40.04213396950,10.68323418360
Finote Selam,Zonal Capital,Finote Selam town,ET030714,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03071400,37.25808247490,10.68287246060
Mekoy,Wereda Capital,Antsokiya,ET030507,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03050701,39.78035134710,10.69593426760
Weyinamba,Wereda Capital,Legehida,ET030420,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03042001,39.26888566460,10.70167321860
Bure,Wereda Capital,Bure town,ET030798,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03079801,37.05930031000,10.70292337830
Zigem,Wereda Capital,Zigem,ET030997,Awi,ET0309,Amhara,ET03,Ethiopia,ET03099701,36.48944634640,10.70878609610
Kemise,Zonal Capital,Kemisie town,ET031006,Oromia,ET0310,Amhara,ET03,Ethiopia,ET03100600,39.87211300050,10.71868251820
Mekane Selam,Wereda Capital,Borena /Debresina,ET030412,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041201,38.75936687090,10.74910367220
Aysha,Wereda Capital,Ayisha,ET050101,Siti,ET0501,Somali,ET05,Ethiopia,ET05010101,42.57084966490,10.75100123610
Azena,Wereda Capital,Ankasha,ET030903,Awi,ET0309,Amhara,ET03,Ethiopia,ET03090301,36.81063175890,10.75950079170
Degaga,Wereda Capital,Albuko,ET030408,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03040801,39.63204080340,10.80519354270
Wedarage,Wereda Capital,Dawe,ET020503,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET02050301,40.18006929290,10.81061848770
Feres Bet,Wereda Capital,Dega Damot,ET030707,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03070701,37.59408052430,10.84780401560
Digua Tseyon,Wereda Capital,Bibugn,ET030601,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03060101,37.73816818860,10.84960570950
Gimija Bet,Wereda Capital,Ayehu Guwagusa,ET030908,Awi,ET0309,Amhara,ET03,Ethiopia,ET03090801,36.88973661930,10.84739434580
Tilili,Wereda Capital,Guagusa Shikudad,ET030907,Awi,ET0309,Amhara,ET03,Ethiopia,ET03090701,37.02111252990,10.85096739410
Akisita,Wereda Capital,Legambo,ET030410,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041001,39.17999654460,10.86375411750
Merito Lemariyam,Wereda Capital,Enebse Sarmder,ET030604,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03060401,38.27332709940,10.86882816920
Medina,Wereda Capital,Argoba,ET030401,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03040101,40.00468046600,10.91992085300
Habru,Wereda Capital,Kalu,ET030407,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03040701,39.78326916180,10.92167094770
Gundwoin,Wereda Capital,Goncha Siso Enebse,ET030603,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03060301,38.08714820800,10.92334424200
Chagini,Wereda Capital,Chagni town,ET030999,Awi,ET0309,Amhara,ET03,Ethiopia,ET03099901,36.50361689110,10.94854985380
Enjebara,Zonal Capital,Injibara town,ET030996,Awi,ET0309,Amhara,ET03,Ethiopia,ET03099600,36.91882785760,10.99593318330
Gesh Abai Michael,Wereda Capital,Sekela,ET030705,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03070501,37.21696816620,10.99026468930
Gebez Maryam,Wereda Capital,Quarit,ET030706,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03070601,37.42235509590,10.99576606060
Ajibar/ Ashenga,Wereda Capital,Sayint,ET030411,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041101,38.76778213210,11.03088350340
Kombolcha,Wereda Capital,Kombolcha town,ET030417,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041701,39.74282418570,11.07919001430
Mota,Wereda Capital,Mota Town,ET030694,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET03069401,37.87226453520,11.07907643450
Adis Kidame,Wereda Capital,Fagta Lakoma,ET030905,Awi,ET0309,Amhara,ET03,Ethiopia,ET03090501,36.88450889970,11.07804201690
Dessie,Zonal Capital,Dessie town,ET030418,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03041800,39.63045750960,11.12727386870
Bati,Wereda Capital,Bati Town,ET031099,Oromia,ET0310,Amhara,ET03,Ethiopia,ET03109901,40.01935675340,11.18973041370
Gonji,Wereda Capital,Gonje,ET030718,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03071801,37.67499658390,11.21782845400
Masha,Wereda Capital,Mekdela,ET030421,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03042101,39.06706619350,11.23448311320
Dengila,Wereda Capital,Dangila town,ET030998,Awi,ET0309,Amhara,ET03,Ethiopia,ET03099801,36.83913596510,11.25863557940
Adiet,Wereda Capital,Adete town,ET030799,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03079901,37.48775487760,11.26286124340
Kuta Ber,Wereda Capital,Kutaber,ET030403,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03040301,39.54210702280,11.27187615900
Mankush,Wereda Capital,Guba,ET060202,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET06020201,35.28527826190,11.26920375790
Haik,Wereda Capital,Hike town,ET030499,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03049901,39.67739593000,11.31188002070
Tenta,Wereda Capital,Tenta,ET030402,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03040201,39.24758227620,11.32117087740
Bestima,Wereda Capital,Worebabu,ET030422,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03042201,39.76994792970,11.33698860640
Dure Bete,Wereda Capital,Debub Achefer,ET030713,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03071301,36.95296986490,11.35488929220
Wegada,Wereda Capital,Semada,ET030207,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET03020701,38.23674702560,11.39665323300
Welesh,Wereda Capital,West Esite,ET030211,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET03021101,37.95401247240,11.41007836150
Mer'awi,Wereda Capital,Merawi town,ET030797,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET03079701,37.15946561770,11.41398334000
Mile,Wereda Capital,Mile,ET020105,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET02010501,40.76033397650,11.41921355880
Shogaye,Wereda Capital,Dawunt,ET030311,North Wello,ET0303,Amhara,ET03,Ethiopia,ET03031101,38.92744002050,11.48040284150
Wuchale,Wereda Capital,Ambasel,ET030404,South Wello,ET0304,Amhara,ET03,Ethiopia,ET03040401,39.60745444950,11.51461527370
Afambo,Wereda Capital,Afambo,ET020104,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET02010401,41.58174711250,11.51984566780
Fendka,Wereda Capital,Jawi,ET030906,Awi,ET0309,Amhara,ET03,Ethiopia,ET03090601,36.48866390830,11.56587516510
