"Pollutant_name","Year","Emissions"
"PM2.5",2012,6640.791016031533
"PM2.5",2013,6451.6163396135835
"PM2.5",2014,5963.510191569251
"PM2.5",2015,6009.131084536686
"PM2.5",2016,5957.318305886495
"PM2.5",2017,6055.2942317476045
"PM2.5",2018,5842.725675645378
"SOx",1990,121126.641270633
"SOx",1991,105864.44836088616
"SOx",1992,101122.15201998378
"SOx",1993,95781.53322511174
"SOx",1994,88621.45102686048
"SOx",1995,81569.02559565737
"SOx",1996,78545.20446233926
"SOx",1997,75345.775360369
"SOx",1998,69881.02795732359
"SOx",1999,62520.57875617468
"SOx",2000,58236.506075724814
"SOx",2001,53050.67632645181
"SOx",2002,52858.15051540357
"SOx",2003,47658.514342499526
"SOx",2004,43992.91668013057
"SOx",2005,39790.91624864389
"SOx",2006,38510.28822124653
"SOx",2007,36530.83265244492
"SOx",2008,30246.595534053962
"SOx",2009,26614.854785307958
"SOx",2010,25224.164163430873
"SOx",2011,25730.508511532804
"SOx",2012,23301.700855996594
"SOx",2013,19687.394440626056
"SOx",2014,29865.438783222282
"SOx",2015,18832.9546102971
"SOx",2016,16600.977670747445
"SOx",2017,16665.92032923843
"SOx",2018,16523.64473850405
"TSP",1990,33539.51775621276
"TSP",1991,30130.712019623348
"TSP",1992,27403.241809979867
"TSP",1993,25729.624423920402
"TSP",1994,24150.15932008233
"TSP",1995,22968.902881839447
"TSP",1996,23003.843024577636
"TSP",1997,22328.41345722647
"TSP",1998,22325.096707174893
"TSP",1999,21192.307704913095
"TSP",2000,20680.48762438948
"TSP",2001,20842.417944980087
"TSP",2002,20065.00841605901
"TSP",2003,20726.6705399644
"TSP",2004,20559.478695808048
"TSP",2005,20298.08645009445
"TSP",2006,19901.54191839498
"TSP",2007,19573.559680997372
"TSP",2008,19332.213281880606
"TSP",2009,18168.09572809714
"TSP",2010,18071.142796053187
"TSP",2011,17390.048575751876
"TSP",2012,16794.66893287923
"TSP",2013,16476.58810592346
"TSP",2014,15826.197380985945
"TSP",2015,15987.420286293296
"TSP",2016,15867.605830092121
"TSP",2017,16173.85572830745
"TSP",2018,15943.801656128946
