"ISO3","country","longitude","latitude"
"SLE","Sierra Leone",-11.79192178449719,8.56028488925921
"SLV","El Salvador",-88.8665121068615,13.736897105301775
"SMR","San Marino",12.458632913809371,43.94363973453167
"SOM","Somalia",45.86259041908102,6.063723738463397
"SRB","Serbia",20.80527172323536,44.03149841861638
"SSD","South Sudan",30.315963577088652,7.295765920550902
"STP","Sao Tome and Principe",6.736585755086851,0.4569785292666155
"SUR","Suriname",-55.911826433622984,4.126394638258226
"SVK","Slovakia",19.49165388227613,48.7075312894625
"SVN","Slovenia",14.826537489203574,46.123563763533994
"SWE","Sweden",16.739754033053543,62.78989678415778
"SWZ","Swaziland",31.49752845618843,-26.5626421909298
"SYC","Seychelles",52.229899400495455,-6.354369979634144
"SYR","Syria",38.50513206494866,35.01313386115792
"TCA","Turks and Caicos Isds",-71.81294727044643,21.836681948347035
"TCD","Chad",18.664479714387145,15.361166539137786
"TGO","Togo",0.9757216793859789,8.534960452356938
"THA","Thailand",101.0173609470801,15.127035821032173
"TJK","Tajikistan",71.04200446155441,38.52817773320963
"TKL","Tokelau",-171.85265966247346,-9.195175351076909
"TKM","Turkmenistan",58.39131501928491,39.218792641499824
"TLS","Timor-Leste",125.85367517195874,-8.82297620855613
"TON","Tonga",-174.83628627207617,-20.402920372982116
"TTO","Trinidad and Tobago",-61.253176819842295,10.468641433558663
"TUN","Tunisia",9.561335844988353,34.110858592079836
"TUR","Turkey",35.179671891830736,39.060595341662776
"TUV","Tuvalu",178.5575513356263,-7.827722097631399
"TZA","Tanzania",34.82345393872195,-6.270353510063244
"UGA","Uganda",32.38621827281177,1.2799634451787585
"UKR","Ukraine",31.387114773128946,49.017088164121766
"URY","Uruguay",-56.012396377882915,-32.79964534111693
"USA","United States",-112.49175075933852,45.69574378023075
"UZB","Uzbekistan",63.169364370421135,41.75044402910116
"VAT","Holy See",12.452254473718623,41.90336493327425
"VCT","Saint Vincent and the Grenadines",-61.19376585175559,13.254810824636843
"VEN","Venezuela",-66.16956396322297,7.122448779792319
"VGB","British Virgin Isds",-64.53042253947774,18.444589289899692
"VNM","Vietnam",106.30147440858704,16.659256404678796
"VUT","Vanuatu",167.71814623979017,-16.255053044240533
"WSM","Samoa",-172.15946443455022,-13.758363800617
"YEM","Yemen",47.599591127371625,15.905516574646196
"ZAF","South Africa",25.088778010977006,-28.993203292964967
"ZMB","Zambia",27.798249163484346,-13.453018624669713
"ZWE","Zimbabwe",29.871837767180068,-19.000098441791955
