"scalerank","featurecla","name","website","natlscale","latitude","longitude"
8,"Port","Tuticorin","tuticorinport.gov.in",5.0,8.758333333,78.18704358
8,"Port","Sligo",,5.0,54.27166667,-8.471260306
8,"Port","Licata",,5.0,37.09027778,13.93828033
8,"Port","Alghero",,5.0,40.56277778,8.30795053
8,"Port","Bagnoli",,5.0,40.80333333,14.16007067
8,"Port","Barletta",,5.0,41.32555556,16.28775029
8,"Port","Brindisi","www.porto.br.it",5.0,40.64638889,17.95600707
8,"Port","Crotone",,5.0,39.08611111,17.12338045
8,"Port","Gallipoli",,5.0,40.05583333,17.97567727
8,"Port","Imperia",,5.0,43.88277778,8.026914016
8,"Port","La Maddalena",,5.0,41.21333333,9.409363958
8,"Port","La Spezia","www.portolaspezia.it",5.0,44.08722222,9.850353357
8,"Port","Marsala",,5.0,37.78972222,12.43545347
8,"Port","Messina",,5.0,38.20027778,15.55918728
8,"Port","Molfetta",,5.0,41.20833333,16.58775029
8,"Port","Monfalcone","www.porto.monfalcone.gorizia.it",5.0,45.78861111,13.55265018
8,"Port","Monopoli",,5.0,40.95611111,17.30035336
8,"Port","Pesaro",,5.0,43.92083333,12.9024735
8,"Port","Porto Torres",,5.0,40.84361111,8.392167256
8,"Port","Ravenna","www.port.ravenna.it",5.0,44.46222222,12.25035336
8,"Port","Siracusa",,5.0,37.06611111,15.28757362
8,"Port","Taranto","www.port.taranto.it",5.0,40.48805556,17.18898704
8,"Port","Torre Annunziata",,5.0,40.75,14.44287397
8,"Port","Omura","www.city.omura.nagasaki.jp",5.0,32.90166667,129.9503534
8,"Port","Amagasaki",,5.0,34.69138889,135.3833333
8,"Port","Fushiki",,5.0,36.77583333,137.1084806
8,"Port","Imabari",,5.0,34.06805556,133.0061837
8,"Port","Iwakuni",,5.0,34.17694444,132.2352768
8,"Port","Kainan",,5.0,34.15305556,135.188457
8,"Port","Kanazawa","www.pref.ishikawa.jp",5.0,36.61694444,136.6065371
8,"Port","Kawasaki","www.city.kawasaki.jp/58/58yuuti/home/etop.html",5.0,35.50638889,139.7437574
8,"Port","Kokura","www.kitaqport.or.jp",5.0,33.90833333,130.8735571
8,"Port","Maizuru","www.port.maizuru.kyoto.jp",5.0,35.48166667,135.3852768
8,"Port","Matsusaka","www.info.city.tsu.mie.jp",5.0,34.60805556,136.5533569
8,"Port","Miyazu",,5.0,35.54333333,135.193404
8,"Port","Muroran",,5.0,42.33583333,140.9540636
8,"Port","Niigata","www.pref.niigata.lg.jp/kowanshinko/1208883684365.html",5.0,37.955,139.1247939
8,"Port","Saganoseki",,5.0,33.25138889,131.8693168
8,"Port","Sasebo","www.city.sasebo.nagasaki.jp",5.0,33.15694444,129.7077739
8,"Port","Shimizu","www.portofshimizu.com",5.0,35.01444444,138.509894
8,"Port","Shimotsu",,5.0,34.11638889,135.1333333
8,"Port","Wakayama",,5.0,34.22305556,135.1270907
8,"Port","Yokosuka","www.city.yokosuka.kanagawa.jp/minato",5.0,35.30444444,139.654417
8,"Port","Galle","www.slpa.lk",5.0,6.033333333,80.22497055
8,"Port","Ventspils","www.portofventspils.lv",5.0,57.40305556,21.53704358
8,"Port","Frontera",,5.0,18.53027778,-92.65212014
8,"Port","Minatitlan",,5.0,17.97583333,-94.53457008
8,"Port","Pajaritos",,5.0,18.1275,-94.40053004
8,"Port","Santa Rosalia","www.bajaport.com",5.0,27.33916667,-112.2584806
8,"Port","Progreso","www.puertosyucatan.com",5.0,21.31361111,-89.67055359
8,"Port","Tuxpan","www.puerto-de-tuxpan.com.mx",5.0,20.94055556,-97.37055359
8,"Port","Kemaman","www.portsworld.com/Ports/kemamanport.htm",5.0,4.249444444,103.4591873
8,"Port","Den Helder","www.havendenhelder.nl",5.0,52.95805556,4.78368669
8,"Port","Dordrecht",,5.0,51.80583333,4.651413428
8,"Port","Delfzijl","www.groningen-seaports.com",5.0,53.32055556,6.955477032
8,"Port","Arendal",,5.0,58.45416667,8.757420495
8,"Port","Drammen","www.drammenhavn.no",5.0,59.73666667,10.22497055
8,"Port","Halden",,5.0,59.11805556,11.37532391
8,"Port","Harstad",,5.0,68.78916667,16.54163722
8,"Port","Larvik","www.larvikhavn.vf.no",5.0,59.04527778,10.02550059
8,"Port","Moss","www.moss-havn.no",5.0,59.43222222,10.65282686
8,"Port","Sandefjord",,5.0,59.12361111,10.22497055
8,"Port","Tonsberg",,5.0,59.265,10.404947
8,"Port","Lyttelton","www.lpc.co.nz",5.0,-43.60611111,172.7102473
