Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
Population in largest city,EN.URB.LCTY,Comoros,COM,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,"Congo, Dem. Rep.",COD,442853,1069714,2052874,3683274,6140419,9381673,14342439
Population in largest city,EN.URB.LCTY,"Congo, Rep.",COG,123643,238483,446242,703509,1021635,1576120,2388090
Population in largest city,EN.URB.LCTY,Costa Rica,CRI,229792,358509,526020,740667,1032032,1201918,1399629
Population in largest city,EN.URB.LCTY,Cote d'Ivoire,CIV,191849,548246,1383516,2102049,3007498,3953590,5202762
Population in largest city,EN.URB.LCTY,Croatia,HRV,429707,562234,647501,702668,692836,688430,684878
Population in largest city,EN.URB.LCTY,Cuba,CUB,1435511,1779491,1913377,2108381,2185933,2143068,2140423
Population in largest city,EN.URB.LCTY,Curacao,CUW,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Cyprus,CYP,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Czech Republic,CZE,1000830,1076230,1178553,1212070,1172049,1233530,1305737
Population in largest city,EN.URB.LCTY,Denmark,DNK,1284407,1380022,1096133,1035290,1077131,1192357,1346485
Population in largest city,EN.URB.LCTY,Djibouti,DJI,39962,62000,125829,317154,403579,484925,576157
Population in largest city,EN.URB.LCTY,Dominica,DMA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Dominican Republic,DOM,367328,686692,1209802,1522431,1996712,2600776,3317784
Population in largest city,EN.URB.LCTY,Ecuador,ECU,456225,719032,1119663,1571615,2077375,2492304,2994218
Population in largest city,EN.URB.LCTY,"Egypt, Arab Rep.",EGY,3680160,5584507,7348778,9892143,13625565,16899015,20900604
Population in largest city,EN.URB.LCTY,El Salvador,SLV,311194,499507,701141,969631,1061609,1086428,1105766
Population in largest city,EN.URB.LCTY,Equatorial Guinea,GNQ,15035,18587,22898,38486,114980,229852,415270
Population in largest city,EN.URB.LCTY,Eritrea,ERI,123185,201330,252402,358100,448642,669678,962985
Population in largest city,EN.URB.LCTY,Estonia,EST,296285,372344,444615,476411,400224,394129,445259
Population in largest city,EN.URB.LCTY,Eswatini,SWZ,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Ethiopia,ETH,519177,729246,1175232,1790860,2376701,3126469,4793699
Population in largest city,EN.URB.LCTY,Faroe Islands,FRO,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Fiji,FJI,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Finland,FIN,448192,507298,673850,871274,1019206,1126001,1304851
Population in largest city,EN.URB.LCTY,France,FRA,7410735,8208121,8669349,9330327,9736538,10460118,11017230
Population in largest city,EN.URB.LCTY,French Polynesia,PYF,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Gabon,GAB,29249,76552,234104,365694,495673,648564,834204
Population in largest city,EN.URB.LCTY,"Gambia, The",GMB,37068,62138,122622,227648,330973,393459,450689
Population in largest city,EN.URB.LCTY,Georgia,GEO,717766,897244,1090199,1223833,1099798,1079445,1077833
Population in largest city,EN.URB.LCTY,Germany,DEU,3259833,3206311,3056082,3421662,3384417,3450395,3562038
Population in largest city,EN.URB.LCTY,Ghana,GHA,392582,630670,863134,1197161,1668240,2060076,3348062
Population in largest city,EN.URB.LCTY,Gibraltar,GIB,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Greece,GRC,1813686,2484538,2987463,3069647,3179434,3170434,3153355
Population in largest city,EN.URB.LCTY,Greenland,GRL,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Grenada,GRD,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Guam,GUM,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Guatemala,GTM,604810,917137,1152427,1448143,1972933,2559942,2934841
Population in largest city,EN.URB.LCTY,Guinea,GIN,112158,387584,631446,872014,1191510,1518252,1938272
Population in largest city,EN.URB.LCTY,Guinea-Bissau,GNB,25569,55279,115407,184803,276370,408575,599714
Population in largest city,EN.URB.LCTY,Guyana,GUY,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Haiti,HTI,247495,459514,700592,1134271,1693468,2140638,2773553
Population in largest city,EN.URB.LCTY,Honduras,HND,128157,223353,370768,572376,751634,1043094,1444085
Population in largest city,EN.URB.LCTY,"Hong Kong SAR, China",HKG,2611539,3397839,4496588,5753523,6663654,7025221,7547652
Population in largest city,EN.URB.LCTY,Hungary,HUN,1811120,1945954,2057204,2005208,1787247,1734398,1768073
Population in largest city,EN.URB.LCTY,Iceland,ISL,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,India,IND,5910210,7329372,9199543,12355090,16146527,21987895,30290936
Population in largest city,EN.URB.LCTY,Indonesia,IDN,2678740,3915406,5984256,8174756,8389759,9625579,10770487
Population in largest city,EN.URB.LCTY,"Iran, Islamic Rep.",IRN,1872633,3289785,5079191,6364827,7128140,8058520,9134708
Population in largest city,EN.URB.LCTY,Iraq,IRQ,1018795,2069820,3144756,4091650,5199948,5651654,7144260
Population in largest city,EN.URB.LCTY,Ireland,IRL,661202,771083,903491,916386,988539,1100238,1228179
Population in largest city,EN.URB.LCTY,Isle of Man,IMN,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Israel,ISR,738158,1029176,1355511,1771128,2739385,3310530,4181480
Population in largest city,EN.URB.LCTY,Italy,ITA,2455581,3134828,3390480,3713731,3708301,3957247,4257056
Population in largest city,EN.URB.LCTY,Jamaica,JAM,420603,474627,516184,562168,577604,584330,590940
Population in largest city,EN.URB.LCTY,Japan,JPN,16678821,23297503,28548512,32530003,34449908,36859626,37393129
Population in largest city,EN.URB.LCTY,Jordan,JOR,218113,387843,635702,851491,1017228,1396832,2148293
Population in largest city,EN.URB.LCTY,Kazakhstan,KAZ,528653,740104,972750,1080109,1159742,1424297,1895742
Population in largest city,EN.URB.LCTY,Kenya,KEN,292622,530741,861661,1380012,2213868,3236589,4734881
Population in largest city,EN.URB.LCTY,Kiribati,KIR,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,"Korea, Dem. People's Rep.",PRK,645814,986793,1842000,2525965,2777161,2860710,3084244
Population in largest city,EN.URB.LCTY,"Korea, Rep.",KOR,2361196,5311569,8244352,10517565,9879073,9796045,9963452
Population in largest city,EN.URB.LCTY,Kosovo,XKX,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Kuwait,KWT,178698,552500,891193,1391862,1300115,1993829,3114553
Population in largest city,EN.URB.LCTY,Kyrgyz Republic,KGZ,235955,432581,538337,635190,766039,843969,1038429
Population in largest city,EN.URB.LCTY,Lao PDR,LAO,75908,157406,211026,282803,442120,605994,682542
Population in largest city,EN.URB.LCTY,Latvia,LVA,597367,727594,839774,904820,761714,664645,630692
Population in largest city,EN.URB.LCTY,Lebanon,LBN,560908,922842,1623050,1292529,1486686,1990263,2424425
Population in largest city,EN.URB.LCTY,Lesotho,LSO,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Liberia,LBR,75057,164121,324785,1041858,835532,1055952,1517235
Population in largest city,EN.URB.LCTY,Libya,LBY,174229,398449,662099,862291,1021648,1095149,1165085
Population in largest city,EN.URB.LCTY,Liechtenstein,LIE,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Lithuania,LTU,249692,366673,493874,572512,544383,525590,538894
Population in largest city,EN.URB.LCTY,Luxembourg,LUX,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,"Macao SAR, China",MAC,159892,238887,234592,343119,427979,536969,651875
Population in largest city,EN.URB.LCTY,Madagascar,MDG,252097,362619,580033,948098,1361482,2021267,3368585
Population in largest city,EN.URB.LCTY,Malawi,MWI,50199,139560,246238,370199,528689,730841,1121720
Population in largest city,EN.URB.LCTY,Malaysia,MYS,343527,451201,971445,2097661,4176469,5809953,7996830
Population in largest city,EN.URB.LCTY,Maldives,MDV,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Mali,MLI,130017,221663,489071,746382,1141913,1885545,2617686
Population in largest city,EN.URB.LCTY,Malta,MLT,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Marshall Islands,MHL,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Mauritania,MRT,5254,37725,191563,418593,552997,850682,1314636
Population in largest city,EN.URB.LCTY,Mauritius,MUS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Mexico,MEX,5479184,8830947,13027620,15642318,18457027,20136681,21782378
Population in largest city,EN.URB.LCTY,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Moldova,MDA,223279,352071,519100,654352,608135,554731,499034
Population in largest city,EN.URB.LCTY,Monaco,MCO,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Mongolia,MNG,179063,297615,422651,571692,765122,1137840,1584358
Population in largest city,EN.URB.LCTY,Montenegro,MNE,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Morocco,MAR,966796,1505022,2109059,2682014,3134389,3447169,3752357
Population in largest city,EN.URB.LCTY,Mozambique,MOZ,181223,371366,550233,775783,1018992,1096531,1705886
Population in largest city,EN.URB.LCTY,Myanmar,MMR,1591991,1945773,2378261,2913603,3572860,4381041,5331800
Population in largest city,EN.URB.LCTY,Namibia,NAM,35654,62079,91822,139212,226935,314185,431171
Population in largest city,EN.URB.LCTY,Nauru,NRU,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Nepal,NPL,119177,147247,225143,397973,641986,964802,1423515
Population in largest city,EN.URB.LCTY,Netherlands,NLD,937458,967479,940603,951473,1004643,1064617,1148972
Population in largest city,EN.URB.LCTY,New Caledonia,NCL,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,New Zealand,NZL,440164,634880,773779,869681,1110294,1335187,1606564
Population in largest city,EN.URB.LCTY,Nicaragua,NIC,198594,366215,524694,734788,886840,991925,1063698
Population in largest city,EN.URB.LCTY,Niger,NER,57548,129209,274625,438246,695999,953998,1291848
Population in largest city,EN.URB.LCTY,Nigeria,NGA,762418,1413528,2572218,4764093,7280706,10441182,14368332
Population in largest city,EN.URB.LCTY,North Macedonia,MKD,190662,302368,400133,445099,460744,521192,595275
Population in largest city,EN.URB.LCTY,Northern Mariana Islands,MNP,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Norway,NOR,578044,643137,643036,684027,773811,897916,1041378
Population in largest city,EN.URB.LCTY,Oman,OMN,13792,40648,119832,353166,563802,721270,1549729
Population in largest city,EN.URB.LCTY,Pakistan,PAK,1853325,3118723,5047815,7147064,9825295,12611924,16093786
Population in largest city,EN.URB.LCTY,Palau,PLW,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Panama,PAN,282895,455341,613255,848639,1215684,1504133,1860291
Population in largest city,EN.URB.LCTY,Papua New Guinea,PNG,29103,67801,122172,195319,254012,311545,382516
Population in largest city,EN.URB.LCTY,Paraguay,PRY,384961,553095,773873,1102263,1699692,2586826,3336562
Population in largest city,EN.URB.LCTY,Peru,PER,1755920,2980371,4437754,5836537,7293549,8919759,10719188
Population in largest city,EN.URB.LCTY,Philippines,PHL,2273734,3534309,5954719,7972799,9957962,11887189,13923452
Population in largest city,EN.URB.LCTY,Poland,POL,1119181,1300052,1565082,1628303,1666183,1702689,1783251
Population in largest city,EN.URB.LCTY,Portugal,PRT,1513856,1816577,2448928,2537263,2672448,2811563,2956879
Population in largest city,EN.URB.LCTY,Puerto Rico,PRI,596271,915302,1257531,2326750,2508254,2478159,2448417
Population in largest city,EN.URB.LCTY,Qatar,QAT,31288,77911,152684,234519,297755,523732,737903
Population in largest city,EN.URB.LCTY,Romania,ROU,1002300,1396077,1864597,2039540,1949348,1889202,1803247
Population in largest city,EN.URB.LCTY,Russian Federation,RUS,6169961,7106457,8136141,8986631,10004523,11461264,12537954
Population in largest city,EN.URB.LCTY,Rwanda,RWA,34319,59386,128266,219142,497546,797059,1132101
Population in largest city,EN.URB.LCTY,Samoa,WSM,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,San Marino,SMR,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Sao Tome and Principe,STP,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Saudi Arabia,SAU,156699,407540,1054860,2325243,3567444,5220217,7231447
Population in largest city,EN.URB.LCTY,Senegal,SEN,359097,610490,957411,1384093,1862370,2426662,3140442
Population in largest city,EN.URB.LCTY,Serbia,SRB,638101,878280,1072542,1129699,1256892,1336392,1397939
Population in largest city,EN.URB.LCTY,Seychelles,SYC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Sierra Leone,SLE,119017,206216,363878,535242,690490,905221,1201900
Population in largest city,EN.URB.LCTY,Singapore,SGP,1633086,2072290,2411700,3012953,3913960,5074252,5935053
Population in largest city,EN.URB.LCTY,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Slovak Republic,SVK,238519,282043,376517,437146,429777,413540,434926
Population in largest city,EN.URB.LCTY,Slovenia,SVN,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Solomon Islands,SLB,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Somalia,SOM,93923,256430,550966,1035248,1200865,1353302,2282009
Population in largest city,EN.URB.LCTY,South Africa,ZAF,1147725,1443042,1609474,2155016,3045543,4249354,5782747
Population in largest city,EN.URB.LCTY,South Sudan,SSD,16477,43434,76009,105651,160463,254761,403215
Population in largest city,EN.URB.LCTY,Spain,ESP,2467926,3520861,4253190,4413870,5014411,5787392,6617513
Population in largest city,EN.URB.LCTY,Sri Lanka,LKA,484952,554267,585715,614100,643911,574323,612535
Population in largest city,EN.URB.LCTY,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,St. Lucia,LCA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,St. Martin (French part),MAF,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Sudan,SDN,346586,657414,1164234,2360035,3505456,4517078,5828858
Population in largest city,EN.URB.LCTY,Suriname,SUR,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Sweden,SWE,804595,1095847,991681,1038263,1205718,1359972,1632798
Population in largest city,EN.URB.LCTY,Switzerland,CHE,535471,710580,706766,1005859,1128804,1257280,1395356
Population in largest city,EN.URB.LCTY,Syrian Arab Republic,SYR,580464,913609,1375932,1690913,2203657,3078498,2392045
Population in largest city,EN.URB.LCTY,Tajikistan,TJK,239983,379289,506228,587220,567900,720968,915712
Population in largest city,EN.URB.LCTY,Tanzania,TZA,162126,356785,854913,1473870,2272483,3869675,6701650
Population in largest city,EN.URB.LCTY,Thailand,THA,2150853,3109945,4723143,5888835,6395429,8269045,10539415
Population in largest city,EN.URB.LCTY,Timor-Leste,TLS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Togo,TGO,94904,191650,343964,619124,1023073,1466407,1827878
Population in largest city,EN.URB.LCTY,Tonga,TON,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Trinidad and Tobago,TTO,179979,283663,444958,494267,548271,546127,544207
Population in largest city,EN.URB.LCTY,Tunisia,TUN,588271,761324,1047256,1472105,1769153,2014201,2365201
Population in largest city,EN.URB.LCTY,Turkey,TUR,1453353,2772095,4397037,6552160,8743868,12584885,15190336
Population in largest city,EN.URB.LCTY,Turkmenistan,TKM,179146,255710,323205,411619,524236,667666,846255
Population in largest city,EN.URB.LCTY,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Tuvalu,TUV,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Uganda,UGA,137486,339836,468589,754863,1233086,2015559,3298364
Population in largest city,EN.URB.LCTY,Ukraine,UKR,1163046,1654796,2201380,2573834,2606325,2794810,2988176
Population in largest city,EN.URB.LCTY,United Arab Emirates,ARE,33559,72880,254361,472701,906971,1874729,2878344
Population in largest city,EN.URB.LCTY,United Kingdom,GBR,8195769,7509405,6751196,6794400,7272819,8044433,9304016
Population in largest city,EN.URB.LCTY,United States,USA,14163521,16191180,15601401,16085599,17813371,18365262,18803552
Population in largest city,EN.URB.LCTY,Uruguay,URY,1284958,1362296,1454297,1548510,1600392,1659407,1752388
Population in largest city,EN.URB.LCTY,Uzbekistan,UZB,963900,1402740,1817916,2100363,2134602,2244402,2517381
Population in largest city,EN.URB.LCTY,Vanuatu,VUT,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,"Venezuela, RB",VEN,1315531,2060234,2575358,2766966,2863944,2898755,2938992
Population in largest city,EN.URB.LCTY,Vietnam,VNM,1400000,1969558,2716087,3037805,4389369,6189370,8602317
Population in largest city,EN.URB.LCTY,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,West Bank and Gaza,PSE,91135,130899,188031,270072,385814,535021,713621
Population in largest city,EN.URB.LCTY,"Yemen, Rep.",YEM,121000,206285,263834,653469,1347303,2084194,2972988
Population in largest city,EN.URB.LCTY,Zambia,ZMB,98968,277523,532878,757433,1073299,1722879,2774133
Population in largest city,EN.URB.LCTY,Zimbabwe,ZWE,247978,416547,616327,1047467,1379266,1474557,1529920
Population in largest city,EN.URB.LCTY,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Africa Western and Central,AFW,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Arab World,ARB,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Caribbean small states,CSS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Early-demographic dividend,EAR,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,East Asia & Pacific,EAS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Euro area,EMU,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Europe & Central Asia,ECS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,European Union,EUU,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,High income,HIC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,IBRD only,IBD,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,IDA & IBRD total,IBT,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,IDA blend,IDB,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,IDA only,IDX,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,IDA total,IDA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Late-demographic dividend,LTE,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Latin America & Caribbean,LCN,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Low & middle income,LMY,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Low income,LIC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Lower middle income,LMC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Middle East & North Africa,MEA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Middle income,MIC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,North America,NAC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Not classified,INX,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,OECD members,OED,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Other small states,OSS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Pacific island small states,PSS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Post-demographic dividend,PST,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Pre-demographic dividend,PRE,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Small states,SST,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,South Asia,SAS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Upper middle income,UMC,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,World,WLD,..,..,..,..,..,..,..
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 12/16/2021,,,,,,,,,,
