Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2014 [YR2014]
Liberia,LBR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8394.25375076635,7036.75164228503
Lithuania,LTU,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6729.69946691548,12757.6881705655
Luxembourg,LUX,Natural capital per capita (constant 2014 US$),NW.NCA.PC,29446.9352175331,8938.45555216768
"Macedonia, FYR",MKD,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10741.9063893734,11416.3366942346
Madagascar,MDG,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6370.21509983761,4964.31705370235
Malawi,MWI,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2364.0438117309,5641.92412317223
Malaysia,MYS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,29431.9057029043,28657.3104925168
Maldives,MDV,Natural capital per capita (constant 2014 US$),NW.NCA.PC,551.096529271555,400.842865011853
Mali,MLI,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7343.86759910174,11040.8900270338
Malta,MLT,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2004.21969813409,1654.78422855454
Mauritania,MRT,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7872.20710552282,17574.0610899974
Mauritius,MUS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3690.68215585021,2979.51705735805
Mexico,MEX,Natural capital per capita (constant 2014 US$),NW.NCA.PC,15068.952880642,14629.2055233247
Moldova,MDA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8679.5996401314,4897.52044046879
Mongolia,MNG,Natural capital per capita (constant 2014 US$),NW.NCA.PC,34635.9066669379,50046.5659854202
Morocco,MAR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5018.97536330712,12371.6061211888
Mozambique,MOZ,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2192.15253787427,4136.38620617557
Namibia,NAM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,20600.7941214529,18500.6784661749
Nepal,NPL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4767.98469392529,5544.52367295078
Netherlands,NLD,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10163.6906879358,9528.27597688845
Nicaragua,NIC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8592.57457161295,13504.559495844
Niger,NER,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5934.37633768414,8489.89370598035
Nigeria,NGA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,35801.5230924197,12962.8614564201
Norway,NOR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,58016.8425492968,103183.594863727
Oman,OMN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,65889.9847725412,95238.2251841738
Pakistan,PAK,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5811.14125207524,5982.28983400468
Panama,PAN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,15269.2412593968,13135.511667023
Papua New Guinea,PNG,Natural capital per capita (constant 2014 US$),NW.NCA.PC,35025.1353811308,37466.5887798525
Paraguay,PRY,Natural capital per capita (constant 2014 US$),NW.NCA.PC,16031.7678838617,21357.9779951494
Peru,PER,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10901.8827384468,24914.4840717924
Philippines,PHL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4739.70823895132,5644.04007320916
Poland,POL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6661.6635982594,10352.7540691881
Portugal,PRT,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9636.50922940924,9189.3613224388
Qatar,QAT,Natural capital per capita (constant 2014 US$),NW.NCA.PC,120877.354726943,660305.297223808
Romania,ROU,Natural capital per capita (constant 2014 US$),NW.NCA.PC,18791.0186669778,17265.4234429572
Russian Federation,RUS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,25326.3707689957,46920.6543972069
Rwanda,RWA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5276.72234851012,6649.9613490622
Saudi Arabia,SAU,Natural capital per capita (constant 2014 US$),NW.NCA.PC,117021.21186451,252186.135787111
Senegal,SEN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3509.63275202482,3783.77606812607
Sierra Leone,SLE,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3443.73657516544,9350.88293627052
Singapore,SGP,Natural capital per capita (constant 2014 US$),NW.NCA.PC,40.9018815288961,55.8397415418502
Slovak Republic,SVK,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7990.00814539618,7380.78737348081
Slovenia,SVN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9283.48120796379,14685.6809882837
Solomon Islands,SLB,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9756.93586753748,14438.2651610647
South Africa,ZAF,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9066.84707607589,13742.6600086324
Spain,ESP,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9888.22492227557,10298.1735183581
Sri Lanka,LKA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4158.42341806312,3247.17681382158
Suriname,SUR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,87390.0091988476,86571.9933586986
Swaziland,SWZ,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7545.15523293595,7124.7981917557
Sweden,SWE,Natural capital per capita (constant 2014 US$),NW.NCA.PC,19662.2518543643,27890.1733488998
Switzerland,CHE,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8693.29925450698,8530.8617774007
Tajikistan,TJK,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4935.01406197292,7431.34850434684
Tanzania,TZA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,11885.8398556539,8039.25796575321
Thailand,THA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5258.34039810367,10144.1859587223
Togo,TGO,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3276.17917859514,5294.76502683045
Tunisia,TUN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5643.70621884316,10178.4246156191
Turkey,TUR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,15611.6176109682,12854.2674932459
Turkmenistan,TKM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,53500.174960972,59062.1716887978
Uganda,UGA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5176.50773510905,5269.36463931326
Ukraine,UKR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10193.1237560184,13345.2476363066
United Arab Emirates,ARE,Natural capital per capita (constant 2014 US$),NW.NCA.PC,304878.021064988,259428.293803697
United Kingdom,GBR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7075.18824938556,7591.95623326847
United States,USA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,18360.6310242801,23624.0825728359
Uruguay,URY,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10143.6556890226,22000.838150211
"Venezuela, RB",VEN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,31503.1428561112,38151.1811775026
Vietnam,VNM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4550.13689364832,9381.16294007682
West Bank and Gaza,PSE,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3131.39121455161,4256.40645021741
"Yemen, Rep.",YEM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8601.0507436848,10491.491657581
Zambia,ZMB,Natural capital per capita (constant 2014 US$),NW.NCA.PC,15731.544358096,16304.5817166361
Zimbabwe,ZWE,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6967.05944947584,7387.38964368282
,,,,,
,,,,,
,,,,,
Data from database: Wealth Accounts,,,,,
Last Updated: 01/30/2018,,,,,
