country	gender	percent
LAO	f	50.0
LVA	m	42.06896551724138
LVA	f	57.931034482758626
LBN	m	53.98230088495575
LBN	f	46.017699115044245
LSO	m	100.0
LBR	m	75.0
LBR	f	25.0
LBY	m	88.88888888888889
LBY	f	11.11111111111111
LIE	m	55.55555555555556
LIE	f	44.44444444444444
LTU	m	49.029126213592235
LTU	f	50.970873786407765
LUX	m	61.61616161616161
LUX	f	38.38383838383838
MAC	m	58.333333333333336
MAC	f	41.66666666666667
MDG	m	52.63157894736842
MDG	f	47.368421052631575
MWI	m	50.0
MWI	f	50.0
MYS	m	52.089136490250695
MYS	f	47.910863509749305
MDV	m	40.0
MDV	f	60.0
MLI	m	75.0
MLI	f	25.0
MLT	m	64.51612903225806
MLT	f	35.483870967741936
MHL	m	100.0
MRT	m	42.857142857142854
MRT	f	57.14285714285714
MUS	m	56.75675675675676
MUS	f	43.24324324324324
MYT	m	33.33333333333333
MYT	f	66.66666666666666
MEX	m	54.394449116904966
MEX	f	45.59503784693019
FSM	m	20.0
FSM	f	80.0
MDA	m	63.41463414634146
MDA	f	36.58536585365854
MCO	m	46.42857142857143
MCO	f	53.57142857142857
MNG	m	39.130434782608695
MNG	f	60.86956521739131
MNE	m	70.0
MNE	f	30.0
MSR	m	20.0
MSR	f	80.0
MAR	m	64.34426229508196
MAR	f	35.65573770491803
MOZ	m	66.66666666666666
MOZ	f	33.33333333333333
MMR	m	63.1578947368421
MMR	f	36.84210526315789
NAM	m	66.66666666666666
NAM	f	33.33333333333333
NRU	m	66.66666666666666
NRU	f	33.33333333333333
NPL	m	70.27027027027027
NPL	f	29.72972972972973
NLD	m	65.26390870185449
NLD	f	34.7360912981455
ANT	m	65.0
ANT	f	35.0
NZL	m	58.341369334619095
NZL	f	41.658630665380905
NIC	m	65.51724137931035
NIC	f	34.48275862068966
NER	m	58.333333333333336
NER	f	41.66666666666667
NGA	m	57.57575757575758
NGA	f	42.42424242424242
NIU	m	25.0
NIU	f	75.0
NOR	m	59.39806927881885
NOR	f	40.60193072118115
OMN	m	72.22222222222221
OMN	f	27.77777777777778
PAK	m	78.26086956521739
PAK	f	21.73913043478261
PLW	m	50.0
PLW	f	50.0
PSE	m	54.166666666666664
PSE	f	45.83333333333333
PAN	m	55.84415584415584
PAN	f	44.15584415584416
PNG	m	66.66666666666666
PNG	f	33.33333333333333
PRY	m	60.46511627906976
PRY	f	39.53488372093023
PER	m	59.09090909090909
PER	f	40.909090909090914
PHL	m	51.048951048951054
PHL	f	48.95104895104895
POL	m	56.55384615384615
POL	f	43.44615384615385
PRT	m	59.05391658189216
PRT	f	40.89521871820956
PRI	m	47.61904761904761
PRI	f	52.38095238095239
QAT	m	76.47058823529412
QAT	f	23.52941176470588
ROU	m	53.00668151447662
ROU	f	46.770601336302896
RUS	m	51.557210561949894
RUS	f	48.40893703452945
RWA	m	55.55555555555556
RWA	f	44.44444444444444
SHN	m	66.66666666666666
SHN	f	33.33333333333333
KNA	m	50.0
KNA	f	50.0
LCA	m	25.0
LCA	f	75.0
VCT	m	60.0
VCT	f	40.0
WSM	m	40.0
WSM	f	60.0
SMR	m	80.0
SMR	f	20.0
STP	m	100.0
SAU	m	72.97297297297297
SAU	f	27.027027027027028
SEN	m	70.0
SEN	f	30.0
SRB	m	61.170212765957444
SRB	f	38.82978723404255
SM2	m	75.0
SM2	f	25.0
SYC	m	75.0
SYC	f	25.0
SLE	m	44.44444444444444
SLE	f	55.55555555555556
SGP	m	53.21739130434783
SGP	f	46.78260869565217
SVK	m	55.84045584045584
SVK	f	44.15954415954416
SVN	m	62.44541484716157
SVN	f	37.55458515283843
SLB	m	100.0
SOM	m	58.333333333333336
SOM	f	41.66666666666667
ZAF	m	64.9090909090909
ZAF	f	35.090909090909086
ESP	m	64.64685449633346
ESP	f	35.333847935160165
LKA	m	71.08433734939759
LKA	f	28.915662650602407
SDN	m	66.66666666666666
SDN	f	33.33333333333333
SUR	m	75.0
SUR	f	25.0
SWZ	m	71.42857142857143
SWZ	f	28.57142857142857
SWE	m	67.43295019157088
SWE	f	32.56704980842912
CHE	m	59.22362309223623
CHE	f	40.77637690776377
SYR	m	79.36507936507937
SYR	f	20.634920634920633
TWN	m	45.51282051282051
TWN	f	54.48717948717948
TZA	m	50.0
TZA	f	50.0
THA	m	59.854014598540154
THA	f	40.14598540145985
TLS	m	100.0
TGO	m	76.47058823529412
TGO	f	23.52941176470588
TKL	m	100.0
TON	m	14.285714285714285
TON	f	85.71428571428571
