age	country	percent
15-24	CAF	100.0
15-24	TCD	16.666666666666664
15-24	CHL	24.46524064171123
15-24	CHN	58.86588658865887
15-24	COL	29.797570850202433
15-24	COM	28.57142857142857
15-24	COG	42.857142857142854
15-24	COK	37.5
15-24	CRI	23.50877192982456
15-24	HRV	28.35820895522388
15-24	CUB	30.952380952380953
15-24	CYP	17.77777777777778
15-24	CZE	33.82352941176471
15-24	CIV	48.57142857142857
15-24	PRK	18.75
15-24	COD	45.0
15-24	DNK	42.624618514750765
15-24	DJI	40.0
15-24	DMA	25.0
15-24	DOM	20.0
15-24	ECU	26.804123711340207
15-24	EGY	29.946524064171122
15-24	SLV	36.25
15-24	GNQ	50.0
15-24	ERI	75.0
15-24	EST	28.991596638655466
15-24	ETH	28.205128205128204
15-24	EU	28.999999999999996
15-24	FRO	27.27272727272727
15-24	FJI	43.47826086956522
15-24	FIN	29.19954904171364
15-24	MKD	25.0
15-24	FRA	43.61702127659575
15-24	GUF	25.0
15-24	GAB	9.090909090909092
15-24	GMB	60.0
15-24	GEO	33.33333333333333
15-24	DEU	38.594057960435066
15-24	GHA	41.17647058823529
15-24	GIB	22.22222222222222
15-24	GRC	45.66253574833175
15-24	GRL	20.0
15-24	GRD	25.0
15-24	GTM	20.192307692307693
15-24	GGY	16.666666666666664
15-24	GIN	63.63636363636363
15-24	GNB	50.0
15-24	GUY	22.22222222222222
15-24	HTI	46.42857142857143
15-24	HND	31.147540983606557
15-24	HKG	47.368421052631575
15-24	HUN	26.090468497576737
15-24	ISL	21.428571428571427
15-24	IND	28.39506172839506
15-24	IDN	40.86538461538461
15-24	IRQ	45.94594594594595
15-24	IRL	17.828418230563003
15-24	IRN	23.01980198019802
15-24	IMN	6.666666666666667
15-24	ISR	15.142276422764228
15-24	ITA	23.648907627443467
15-24	JAM	31.57894736842105
15-24	JPN	50.09107468123861
15-24	JEY	31.818181818181817
15-24	JOR	22.807017543859647
15-24	KAZ	40.26845637583892
15-24	KEN	29.78723404255319
15-24	KIR	20.0
15-24	KOR	32.19557195571956
15-24	KWT	45.45454545454545
15-24	KGZ	54.54545454545454
15-24	LAO	25.0
15-24	LVA	40.0
15-24	LBN	30.973451327433626
15-24	LSO	100.0
15-24	LBR	100.0
15-24	LIE	55.55555555555556
15-24	LTU	43.203883495145625
15-24	LUX	18.181818181818183
15-24	MAC	54.166666666666664
15-24	MDG	31.57894736842105
15-24	MYS	49.58217270194986
15-24	MDV	80.0
15-24	MLI	12.5
15-24	MLT	25.806451612903224
15-24	MRT	42.857142857142854
15-24	MUS	32.432432432432435
15-24	MYT	44.44444444444444
15-24	MEX	36.60639192598823
15-24	FSM	40.0
15-24	MDA	32.926829268292686
15-24	MCO	25.0
15-24	MNG	26.08695652173913
15-24	MNE	20.0
15-24	MSR	20.0
15-24	MAR	36.0655737704918
15-24	MOZ	16.666666666666664
15-24	MMR	26.31578947368421
15-24	NAM	16.666666666666664
15-24	NRU	66.66666666666666
15-24	NPL	24.324324324324326
15-24	NLD	28.530670470756064
15-24	ANT	20.0
15-24	NZL	21.98649951783992
15-24	NIC	27.586206896551722
15-24	NER	41.66666666666667
15-24	NGA	25.757575757575758
15-24	NIU	50.0
15-24	NOR	24.020442930153322
15-24	OMN	16.666666666666664
15-24	PAK	36.231884057971016
15-24	PSE	29.166666666666668
15-24	PAN	15.584415584415584
15-24	PNG	41.66666666666667
15-24	PRY	25.581395348837212
15-24	PER	21.022727272727273
15-24	PHL	37.06293706293706
15-24	POL	40.49230769230769
15-24	PRT	25.89013224821974
15-24	PRI	19.047619047619047
15-24	QAT	29.411764705882355
15-24	ROU	23.608017817371937
15-24	RUS	46.4793500338524
15-24	RWA	22.22222222222222
15-24	SHN	50.0
15-24	LCA	25.0
15-24	VCT	20.0
15-24	WSM	100.0
15-24	SMR	20.0
15-24	SAU	27.7027027027027
15-24	SEN	40.0
15-24	SRB	37.765957446808514
15-24	SYC	50.0
15-24	SLE	44.44444444444444
15-24	SGP	43.130434782608695
15-24	SVK	45.01424501424501
15-24	SVN	29.694323144104807
15-24	SOM	41.66666666666667
15-24	ZAF	18.181818181818183
15-24	ESP	21.574681590119646
15-24	LKA	34.93975903614458
15-24	SDN	11.11111111111111
15-24	SUR	50.0
15-24	SWZ	42.857142857142854
15-24	SWE	20.306513409961685
15-24	CHE	42.80026542800265
15-24	SYR	23.809523809523807
15-24	TWN	35.57692307692308
15-24	TZA	27.77777777777778
15-24	THA	27.37226277372263
15-24	TGO	29.411764705882355
15-24	TON	28.57142857142857
15-24	TTO	37.83783783783784
15-24	TUN	27.131782945736433
15-24	TUR	29.14122914122914
15-24	TKM	28.57142857142857
15-24	TUV	50.0
15-24	UGA	16.129032258064516
15-24	UKR	42.94871794871795
15-24	ARE	18.0327868852459
15-24	GBR	26.401508657637578
15-24	USA	31.83480318348032
15-24	VIR	31.03448275862069
15-24	URY	12.5
15-24	UZB	21.73913043478261
15-24	VUT	62.5
15-24	VEN	19.305019305019304
