@Trim Country,B2P Fiscal Year,Back,Bridge Name,Bridge Type,Country,Level 1 Government,Level 2 Government,Project Code,Project Type,Stage,Year,Individuals Directly Served,Latitude,Longitude,Number of Records,Span (m)
Uganda,1/1/2018,Back,Kama,Suspended Bridge,UGA,Eastern Region,Mbale,UG101,B2P Built,Complete,1/1/2018,"5,280",1.11633,34.25246,1,90
Swaziland,1/1/2017,Back,Mbluzi-Myendle,Suspended Bridge,Swaziland,,,GO108,B2P Supported,Complete,1/1/2017,"4,000",-26.29412,31.27124,1,73
Panama,1/1/2017,Back,Llano Bonito,Suspended Bridge,Panama,Ngäbe-Buglé,,PA122,B2P Supported,Complete,1/1/2017,"1,500",8.446314,-81.365675,1,79
Nicaragua,1/1/2018,Back,Puente San Vicente N°1,Suspension Bridge,Nicaragua,Jinotega,Santa María de Pantasma,1008677,B2P Built,Complete,1/1/2018,"4,000",13.435012,-85.7838,1,67.8
Nicaragua,1/1/2018,Back,La Guitarrilla,Suspension Bridge,Nicaragua,Matagalpa,Río Blanco,1008691,B2P Built,Complete,1/1/2018,"4,000",13.122785,-85.236833,1,77.5
Panama,1/1/2018,Back,Alto Saldaña,Suspended Bridge,Panama,Ngäbe-Buglé,Müna District,1008543,B2P Supported,Complete,1/1/2018,,8.339315,-81.674108,1,72
Panama,1/1/2018,Back,Banacito,Suspension Bridge,Panama,Coclé,Penonomé District,1008489,B2P Built,Complete,1/1/2018,,8.809012,-80.338959,1,106
Panama,1/1/2018,Back,El Paredón,Suspension Bridge,Panama,Ngäbe-Buglé,Ñürüm District,1008531,B2P Built,Complete,1/1/2018,"1,400",8.448444,-81.198556,1,35
Bolivia,1/1/2019,Back,Espíritu Santo,Suspended Bridge,BOL,Cochabamba,Chapare,1009257,B2P Built,Complete,1/1/2019,"1,400",-17.01330278,-65.54801389,1,132
Nicaragua,1/1/2018,Back,Los Cerrones #4,Suspension Bridge,Nicaragua,Jinotega,Jinotega,1009328,B2P Built,Complete,1/1/2018,"5,000",13.30401,-85.78777,1,52
Rwanda,1/1/2019,Back,Ruharazi,Suspended Bridge,RWA,Southern Province,Nyaruguru,1009311,B2P Built,Complete,1/1/2019,"4,959",-2.77676167,29.62627167,1,45
Bolivia,1/1/2018,Back,Machacamarca,Suspended Bridge,BOL,Cochabamba,Tapacarí,1009318,B2P Built,Complete,1/1/2018,"2,400",-17.54093889,-66.80262778,1,53
Rwanda,1/1/2020,Back,Rukurazo,Suspension Bridge,RWA,Southern Province,Muhanga,1009445,B2P Built,Under Construction,1/1/2020,"1,210",-2.114778,29.700594,1,49
Bolivia,1/1/2017,Back,Pabellon,Suspended Bridge,BOL,Cochabamba,Narciso Campero,BO130,B2P Built,Complete,1/1/2017,210,-18.296267,-65.25315,1,35
Bolivia,1/1/2018,Back,Misión Mayu,Suspended Bridge,BOL,Cochabamba,Chapare,1007320,B2P Built,Complete,1/1/2018,700,-17.03405,-65.98568333,1,90
Bolivia,1/1/2018,Back,Capaina,Suspended Bridge,BOL,La Paz,Abel Iturralde,1007321,B2P Built,Complete,1/1/2018,175,-14.40317,-67.564314,1,40
Nicaragua,1/1/2018,Back,El Naranjo,Suspended Bridge,Nicaragua,Región Autónoma de la Costa Caribe Norte,Waslala,1002669,B2P Built,Complete,1/1/2018,"5,235",13.58125,-85.19765,1,90
Uganda,1/1/2019,Back,Kibembe,Suspension Bridge,UGA,Eastern Region,Sironko,1008734,B2P Built,Complete,1/1/2019,"1,791",1.2043,34.28912,1,75
Uganda,1/1/2019,Back,Tongole,Suspension Bridge,UGA,Eastern Region,Manafwa,1008762,B2P Built,Complete,1/1/2019,,1.937883,34.2691,1,74.8
Uganda,1/1/2018,Back,Namakhokolo,Suspended Bridge,UGA,Eastern Region,Bududa,1008776,B2P Built,Complete,1/1/2018,,0.978583,34.280483,1,90
Uganda,1/1/2018,Back,Namawukulu,Suspended Bridge,UGA,Eastern Region,Bududa,1008780,B2P Built,Complete,1/1/2018,,1.004485,34.4016731,1,70
Rwanda,1/1/2018,Back,Kucyaruseke,Suspended Bridge,RWA,Southern Province,Nyaruguru,RW127,B2P Built,Complete,1/1/2018,,-2.711764,29.557267,1,79
Panama,1/1/2018,Back,El Macho,Suspension Bridge,Panama,Veraguas,Santa Fe District,1007928,B2P Built,Complete,1/1/2018,253,8.003004,-81.438333,1,30
Panama,1/1/2018,Back,Los Cruces - Palmarito,Suspension Bridge,Panama,Veraguas,San Francisco District,1007945,B2P Built,Complete,1/1/2018,,8.292049,-81.102752,1,88
Haiti,1/1/2017,Back,Chambellan,Suspension Bridge,Haiti,Grand'Anse,Jérémie,HT109,B2P Built,Complete,1/1/2017,"30,000",18.550083,-74.299444,1,83.5
Bolivia,1/1/2018,Back,Tarvita,Suspended Bridge,BOL,Chuquisaca,Azurduy,1009063,B2P Built,Complete,1/1/2018,600,-19.92513611,-64.48539167,1,40.5
Haiti,1/1/2017,Back,Chameau,Suspension Bridge,Haiti,Grand'Anse,Jérémie,HT110,B2P Built,Complete,1/1/2017,"45,000",18.547792,-74.2586,1,107
Rwanda,1/1/2020,Back,Rugeti,Suspension Bridge,RWA,Southern Province,Nyamagabe,1007466,B2P Built,Under Construction,1/1/2020,"4,363",-2.473144,29.424983,1,68
Rwanda,1/1/2019,Back,Karambi,Suspension Bridge,RWA,Southern Province,Huye,1007374,B2P Built,Complete,1/1/2019,"12,500",-2.513333,29.612778,1,50
Rwanda,1/1/2019,Back,Rugwa,Suspended Bridge,RWA,Southern Province,Nyanza,1007525,B2P Built,Complete,1/1/2019,"2,015",-2.33,29.668889,1,48
Rwanda,1/1/2019,Back,Gatare,Suspended Bridge,RWA,Kigali,Nyarugenge,1007530,B2P Built,Complete,1/1/2019,"2,704",-1.94222222,30.03388889,1,37
Rwanda,1/1/2019,Back,Rukarakara,Suspended Bridge,RWA,Southern Province,Nyaruguru,1007535,B2P Built,Complete,1/1/2019,"11,283",-2.7761,29.464528,1,58
Rwanda,1/1/2019,Back,Kabere,Suspended Bridge,RWA,Southern Province,Nyaruguru,1007539,B2P Built,Complete,1/1/2019,"6,335",-2.697944,29.446917,1,63
Rwanda,1/1/2019,Back,Uwarukara,Suspension Bridge,RWA,Southern Province,Nyanza,1007506,B2P Built,Complete,1/1/2019,"7,000",-2.308722,29.604778,1,70
Rwanda,1/1/2018,Back,Mutovu,Suspension Bridge,RWA,Southern Province,Nyaruguru,1007569,B2P Built,Complete,1/1/2018,"6,000",-2.682306,29.481194,1,45
Rwanda,1/1/2018,Back,Kagarama,Suspension Bridge,RWA,Western Province,Nyamasheke,1007325,B2P Built,Complete,1/1/2018,,-2.322534,29.141944,1,48
Rwanda,1/1/2019,Back,Gasyogogo,Suspended Bridge,RWA,Southern Province,Ruhango,1007609,B2P Built,Complete,1/1/2019,"2,685",-2.161944,29.665556,1,31
Nicaragua,1/1/2018,Back,La Patriota - El Guabo,Suspension Bridge,Nicaragua,Matagalpa,Matiguás,1009264,B2P Built,Complete,1/1/2018,"2,800",12.980534,-85.360809,1,73
Bolivia,1/1/2018,Back,Duraznal,Suspended Bridge,BOL,Chuquisaca,Azurduy,1009297,B2P Built,Complete,1/1/2018,550,-20.419044444,-64.40885556,1,54
Nicaragua,1/1/2018,Back,Santa Maria,Suspension Bridge,Nicaragua,Jinotega,San Sebastián de Yalí,1009531,B2P Built,Complete,1/1/2018,"10,000",13.37444,-86.08694,1,82.9
Nicaragua,1/1/2018,Back,San Rafael,Suspended Bridge,Nicaragua,Matagalpa,Matiguás,1009521,B2P Built,Complete,1/1/2018,"1,300",12.98279,-85.53758,1,74
Bolivia,1/1/2020,Back,Tunas Vinto,Suspension Bridge,BOL,Cochabamba,Tapacarí,1009522,B2P Built,Under Construction,1/1/2020,600,-17.529275,-66.547356,1,85
Bolivia,1/1/2018,Back,Pampa Huasi,Suspended Bridge,BOL,Chuquisaca,Azurduy,1009486,B2P Built,Complete,1/1/2018,"1,195",-19.689,-64.674894,1,86
Nicaragua,1/1/2018,Back,Divino Niño,Suspension Bridge,Nicaragua,Jinotega,Jinotega,1009538,B2P Built,Complete,1/1/2018,"9,000",13.15866,-86.05991,1,38
Rwanda,1/1/2018,Back,Minigo,Suspension Bridge,RWA,Western Province,Rubavu,1009064,B2P Built,Complete,1/1/2018,,-1.692028,29.294444,1,36
Rwanda,1/1/2018,Back,Rukore,Suspended Bridge,RWA,Western Province,Rubavu,1009067,B2P Built,Complete,1/1/2018,,-1.746972,29.370611,1,61.5
Rwanda,1/1/2019,Back,Kazabe,Suspension Bridge,RWA,Western Province,Rubavu,1009068,B2P Built,Complete,1/1/2019,"4,100",-1.723639,29.366194,1,46
Panama,1/1/2018,Back,Boca de Lura,Suspended Bridge,Panama,Coclé,Penonomé District,1009730,B2P Built,Complete,1/1/2018,"1,177",8.787056,-80.343832,1,51
Rwanda,1/1/2018,Back,Nkuri,Suspended Bridge,RWA,Western Province,Ngororero,RW125,B2P Built,Complete,1/1/2018,"5,000",-1.922667,29.575833,1,79
Rwanda,1/1/2018,Back,Karehe,Suspended Bridge,RWA,Western Province,Ngororero,RW126,B2P Built,Complete,1/1/2018,"8,000",-1.971333,29.602778,1,70
Bolivia,1/1/2008,Back,Quesimpuco,Suspended Bridge,BOL,Potosí,,BO904,B2P Supported,Complete,1/1/2008,"5,000",-18.540611,-66.034056,1,107
Bolivia,1/1/2012,Back,Harrera Cancha,Suspended Bridge,BOL,Cochabamba,Punata,BO905,B2P Built,Complete,1/1/2012,500,-17.681989,-65.752938,1,35
Bolivia,1/1/2012,Back,Jardin Rancho,Suspended Bridge,BOL,Cochabamba,Punata,BO902,B2P Built,Complete,1/1/2012,"3,000",-17.526778,-65.843389,1,35
Bolivia,1/1/2012,Back,Entre Rios,Suspended Bridge,BOL,Cochabamba,Quillacollo,BO901,B2P Built,Complete,1/1/2012,700,-17.005472,-66.148444,1,45
Bolivia,1/1/2012,Back,Chaqui Cocha,Suspended Bridge,BOL,Cochabamba,Tiraque,BO906,B2P Built,Complete,1/1/2012,700,-17.390221,-65.794884,1,67
Bolivia,1/1/2012,Back,Chari Chari,Suspended Bridge,BOL,Cochabamba,Narciso Campero,BO903,B2P Built,Complete,1/1/2012,"6,100",-18.030694,-65.020306,1,158
Bolivia,1/1/2013,Back,Chullpas,Suspended Bridge,BOL,Cochabamba,Carrasco,BO101,B2P Built,Complete,1/1/2013,140,-17.705806,-65.014056,1,30
Bolivia,1/1/2013,Back,Palca,Suspended Bridge,BOL,Cochabamba,Carrasco,1002445,B2P Built,Complete,1/1/2013,"2,400",-17.703278,-64.977417,1,30
Bolivia,1/1/2013,Back,Copachunchu,Suspended Bridge,BOL,Cochabamba,Carrasco,1002446,B2P Built,Complete,1/1/2013,"1,000",-17.745889,-65.097278,1,56
Bolivia,1/1/2014,Back,Avispas,Suspended Bridge,BOL,Cochabamba,Chapare,BO107,B2P Built,Complete,1/1/2014,650,-17.029772,-65.549974,1,30
Bolivia,1/1/2014,Back,Totolima,Suspended Bridge,BOL,Cochabamba,Quillacollo,BO104,B2P Built,Complete,1/1/2014,600,-16.970222,-66.184167,1,30
Bolivia,1/1/2014,Back,Challuma,Suspended Bridge,BOL,Cochabamba,Tapacarí,BO101,B2P Built,Complete,1/1/2014,150,-17.716111,-66.579167,1,36
Bolivia,1/1/2014,Back,Quillavalla Charzani,Suspended Bridge,BOL,La Paz,Bautista Saavedra,BO102,B2P Built,Complete,1/1/2014,600,-15.198066,-69.008198,1,45
Bolivia,1/1/2014,Back,Chungara,Suspended Bridge,BOL,La Paz,Inquisivi,BO103,B2P Built,Complete,1/1/2014,650,-17.147134,-67.177541,1,85
Bolivia,1/1/2015,Back,Chimore,Suspended Bridge,BOL,Cochabamba,Chapare,BO110,B2P Built,Complete,1/1/2015,"1,500",-17.077778,-65.0625,1,89
Bolivia,1/1/2015,Back,Samaca,Suspended Bridge,BOL,La Paz,Loayza,BO112,B2P Built,Complete,1/1/2015,658,-16.916389,-67.693889,1,95
Bolivia,1/1/2015,Back,Llapallapani,Suspension Bridge,BOL,La Paz,,BO105,B2P Built,Complete,1/1/2015,350,-17.148333,-67.570278,1,127
Bolivia,1/1/2016,Back,Arco,Suspended Bridge,BOL,Cochabamba,Bolívar,BO114,B2P Built,Complete,1/1/2016,107,-17.984722,-66.718506,1,24
Bolivia,1/1/2016,Back,Calcha,Suspended Bridge,BOL,Potosí,Nor Chichas,BO118,B2P Supported,Complete,1/1/2016,220,-20.368587,-65.460909,1,50
Bolivia,1/1/2016,Back,Churo Alto,Suspended Bridge,BOL,Cochabamba,Tiraque,BO115,B2P Built,Complete,1/1/2016,200,-17.375464,-65.79117,1,56
Bolivia,1/1/2016,Back,Siquipampa,Suspended Bridge,BOL,Cochabamba,Arque,BO109,B2P Built,Complete,1/1/2016,150,-17.757111,-66.674222,1,75
Bolivia,1/1/2016,Back,Yunguyo,Suspended Bridge,BOL,La Paz,Loayza,BO106,B2P Built,Complete,1/1/2016,"2,000",-17.138528,-67.394028,1,78
Bolivia,1/1/2016,Back,Chiaraque,Suspended Bridge,BOL,La Paz,Loayza,BO117,B2P Built,Complete,1/1/2016,220,-17.198444,-67.355789,1,96
Bolivia,1/1/2017,Back,10 de Julio,Suspended Bridge,BOL,Cochabamba,Chapare,BO125,B2P Built,Complete,1/1/2017,"3,500",-16.846317,-65.34655,1,35
Bolivia,1/1/2017,Back,11 de Noviembre,Suspended Bridge,BOL,Cochabamba,Chapare,BO123,B2P Built,Complete,1/1/2017,47,-16.91637,-65.60368,1,50
Bolivia,1/1/2017,Back,Coiyuma,Suspended Bridge,BOL,Cochabamba,Bolívar,BO113,B2P Built,Complete,1/1/2017,60,-18.089697,-66.745031,1,75
Bolivia,1/1/2017,Back,Challoma Chico,Suspended Bridge,BOL,La Paz,Loayza,BO127,B2P Built,Complete,1/1/2017,455,-17.172917,-67.482083,1,48
Colombia,1/1/2016,Back,La Guaya,Suspension Bridge,Colombia,,,GO107,B2P Built,Complete,1/1/2016,120,5.073583,-73.396222,1,58
ElSalvador,1/1/2009,Back,Cuisnahuat (Las Montes),Simple Span Bridge,El Salvador,,,SV903,B2P Built,Complete,1/1/2009,500,13.608222,-89.648194,1,9
ElSalvador,1/1/2009,Back,Corinto,Suspended Bridge,El Salvador,,,SV902,B2P Built,Complete,1/1/2009,500,13.689444,-89.715361,1,40
ElSalvador,1/1/2009,Back,Trincheras,Suspended Bridge,El Salvador,,,SV901,B2P Built,Complete,1/1/2009,200,13.719,-89.604139,1,48
ElSalvador,1/1/2011,Back,El Charcon,Suspended Bridge,El Salvador,,,SV905,B2P Built,Complete,1/1/2011,700,13.494472,-89.3495,1,35
ElSalvador,1/1/2011,Back,El Porvenir,Suspended Bridge,El Salvador,,,1002470,B2P Built,Complete,1/1/2011,780,13.550139,-89.291417,1,44
ElSalvador,1/1/2011,Back,El Bosque,Suspension Bridge,El Salvador,,,SV906,B2P Built,Complete,1/1/2011,"2,000",13.494472,-89.373528,1,48
ElSalvador,1/1/2011,Back,Melara,Suspension Bridge,El Salvador,,,SV907,B2P Built,Complete,1/1/2011,780,13.487417,-89.207056,1,58
Ethiopia,1/1/2003,Back,Dessie,Suspended Bridge,Ethiopia,,,ET905,B2P Built,Complete,1/1/2003,"14,000",11.154665,39.630628,1,45
Ethiopia,1/1/2003,Back,Keranyo,Suspended Bridge,Ethiopia,,,ET903,B2P Built,Complete,1/1/2003,"14,000",9.012797,38.704628,1,50
Ethiopia,1/1/2004,Back,Jorogeta,Suspended Bridge,Ethiopia,,,ET907,B2P Built,Complete,1/1/2004,"12,000",11.385825,39.589215,1,65
Ethiopia,1/1/2005,Back,Moletis,Suspended Bridge,Ethiopia,,,ET910,B2P Built,Complete,1/1/2005,"8,000",11.287703,39.655416,1,50
Ethiopia,1/1/2005,Back,Legambo,Suspended Bridge,Ethiopia,,,ET908,B2P Built,Complete,1/1/2005,"40,000",10.829356,39.194267,1,65
Ethiopia,1/1/2005,Back,Arba,Suspended Bridge,Ethiopia,,,ET909,B2P Built,Complete,1/1/2005,"10,000",8.864306,39.954778,1,77
Ethiopia,1/1/2006,Back,Berga,Suspended Bridge,Ethiopia,,,ET914,B2P Supported,Complete,1/1/2006,"20,000",9.056111,38.401889,1,36
Ethiopia,1/1/2006,Back,Wadecha,Suspended Bridge,Ethiopia,,,ET921,B2P Supported,Complete,1/1/2006,"20,000",8.91118,39.013246,1,36
Ethiopia,1/1/2006,Back,Keleta,Suspended Bridge,Ethiopia,,,ET912,B2P Supported,Complete,1/1/2006,"5,500",8.209929,39.398904,1,74
Ethiopia,1/1/2006,Back,Batu,Suspended Bridge,Ethiopia,,,ET911,B2P Supported,Complete,1/1/2006,"13,000",7.9265,38.994778,1,80
Ethiopia,1/1/2007,Back,Kulla,Suspended Bridge,Ethiopia,,,ET916,B2P Supported,Complete,1/1/2007,"50,000",6.601753,38.423328,1,20
Ethiopia,1/1/2007,Back,Duber,Suspended Bridge,Ethiopia,,,ET915,B2P Supported,Complete,1/1/2007,"1,700",9.209122,38.807496,1,65
Ethiopia,1/1/2007,Back,Bale,Suspended Bridge,Ethiopia,,,ET918,B2P Supported,Complete,1/1/2007,"2,000",0,0,1,0
Ethiopia,1/1/2007,Back,Welkessa,Suspended Bridge,Ethiopia,,,ET917,B2P Supported,Complete,1/1/2007,60,0,0,1,0
Ethiopia,1/1/2009,Back,Sebara Dildiy,Suspended Bridge,Ethiopia,,,ET920,B2P Built,Complete,1/1/2009,"10,000",11.217583,37.876917,1,90
Guatemala,1/1/2010,Back,San Lucas,Suspended Bridge,Guatemala,,,GT912,B2P Built,Complete,1/1/2010,500,15.339889,-90.868167,1,28
Guatemala,1/1/2010,Back,San Andreas,Suspended Bridge,Guatemala,,,1002489,B2P Supported,Complete,1/1/2010,780,15.242917,-91.985694,1,33
Guatemala,1/1/2010,Back,Pavolaj,Suspended Bridge,Guatemala,,,GT904,B2P Supported,Complete,1/1/2010,"1,680",15.198535,-91.932301,1,35
Guatemala,1/1/2010,Back,Palqui,Suspended Bridge,Guatemala,,,GT903,B2P Built,Complete,1/1/2010,160,15.276175,-90.881886,1,47
Guatemala,1/1/2010,Back,La Taña,Suspension Bridge,Guatemala,,,GT901,B2P Built,Complete,1/1/2010,"1,600",15.580552,-90.824211,1,40
Guatemala,1/1/2010,Back,Cuatro Cayos,Suspension Bridge,Guatemala,,,GT913,B2P Built,Complete,1/1/2010,"1,000",15.727373,-88.987758,1,53
Guatemala,1/1/2011,Back,El Ritiros Los Canoas,Suspended Bridge,Guatemala,,,GT907,B2P Supported,Complete,1/1/2011,800,14.863517,-90.882665,1,55
Guatemala,1/1/2011,Back,Puente Gomez,Suspended Bridge,Guatemala,,,1002495,B2P Built,Complete,1/1/2011,500,14.9225,-90.801944,1,63
Guatemala,1/1/2012,Back,Las Lomas,Suspended Bridge,Guatemala,,,GT905,B2P Supported,Complete,1/1/2012,"1,000",14.846916,-91.041894,1,35
Guatemala,1/1/2012,Back,Casario Sacbochol Water Crossing,Other,Guatemala,,,GT909,B2P Supported,Complete,1/1/2012,"3,000",14.850444,-91.140861,1,50
Guatemala,1/1/2012,Back,Heilo (Canajal),Suspended Bridge,Guatemala,,,1002498,B2P Supported,Complete,1/1/2012,"3,000",14.926306,-90.83725,1,70
Guatemala,1/1/2012,Back,Xechpup,Suspended Bridge,Guatemala,,,GT910,B2P Supported,Complete,1/1/2012,"5,000",14.940407,-90.715824,1,70
Guatemala,1/1/2012,Back,Nueva Providencia,Suspended Bridge,Guatemala,,,GT906,B2P Supported,Complete,1/1/2012,500,14.557115,-91.128731,1,85
Guatemala,1/1/2013,Back,Chiquijate,Suspended Bridge,Guatemala,,,1002501,B2P Supported,Complete,1/1/2013,700,15.013265,-90.739723,1,21
Guatemala,1/1/2013,Back,Las Vegas San Antonio,Suspended Bridge,Guatemala,,,1002502,B2P Supported,Complete,1/1/2013,"2,500",14.982222,-90.658056,1,35
Guatemala,1/1/2013,Back,El Arco,Suspended Bridge,Guatemala,,,1002503,B2P Supported,Complete,1/1/2013,"3,000",14.909105,-90.703473,1,58
Guatemala,1/1/2013,Back,Santa Elena,Suspension Bridge,Guatemala,,,1002504,B2P Supported,Complete,1/1/2013,"3,000",14.908795,-90.703885,1,80
Guatemala,1/1/2014,Back,Las Violetes,Suspended Bridge,Guatemala,,,1002505,B2P Supported,Complete,1/1/2014,"2,000",15.409947,-91.143547,1,20
Guatemala,1/1/2015,Back,Patio Bol,Suspended Bridge,Guatemala,,,GT101,B2P Supported,Complete,1/1/2015,"2,000",15.01575,-90.7,1,37
Guatemala,1/1/2015,Back,Coton,Suspended Bridge,Guatemala,,,GT102,B2P Supported,Complete,1/1/2015,"1,000",14.95,-90.645324,1,62
Guatemala,1/1/2015,Back,El Salitre,Suspended Bridge,Guatemala,,,GT103,B2P Supported,Complete,1/1/2015,"4,000",14.983056,-90.799472,1,71
Guatemala,1/1/2016,Back,Chuwitza?q,Suspended Bridge,Guatemala,,,GT106,B2P Supported,Complete,1/1/2016,400,15.083889,-90.797778,1,18.5
Guatemala,1/1/2016,Back,Trapachitos,Suspended Bridge,Guatemala,,,GT105,B2P Supported,Complete,1/1/2016,250,14.913889,-90.685833,1,19
Guatemala,1/1/2016,Back,Patzula,Suspended Bridge,Guatemala,,,GT108,B2P Built,Complete,1/1/2016,"1,000",15.045278,-90.787778,1,31
Guatemala,1/1/2016,Back,El Bosque,Suspended Bridge,Guatemala,,,GT107,B2P Supported,Complete,1/1/2016,600,14.991111,-90.835,1,40
Haiti,1/1/2011,Back,Ti Peligre,Suspended Bridge,Haiti,,,HT901,B2P Supported,Complete,1/1/2011,"1,000",18.938396,-71.911644,1,60
Haiti,1/1/2012,Back,La Chambre,Suspended Bridge,Haiti,,,1002514,B2P Built,Complete,1/1/2012,"10,000",19.195566,-72.068458,1,76
Haiti,1/1/2013,Back,Lougou,Suspended Bridge,Haiti,,,1002515,B2P Built,Complete,1/1/2013,"5,000",18.369519,-73.857231,1,54
Haiti,1/1/2013,Back,Tierra Muskady,Suspended Bridge,Haiti,,,1002516,B2P Built,Complete,1/1/2013,"5,000",18.988286,-71.909631,1,54
Haiti,1/1/2013,Back,Moron,Suspended Bridge,Haiti,,,1002517,B2P Built,Complete,1/1/2013,"30,000",18.574442,-74.228169,1,110
Haiti,1/1/2014,Back,Garrate,Suspended Bridge,Haiti,,,HT101,B2P Built,Complete,1/1/2014,"10,000",18.358225,-73.826883,1,59
Haiti,1/1/2014,Back,La Belle Mere,Suspended Bridge,Haiti,,,1002519,B2P Built,Complete,1/1/2014,"12,000",19.29397,-72.118959,1,60
Haiti,1/1/2016,Back,Cerca la Source,Suspended Bridge,Haiti,Centre,Cerca-la-Source,HT103,B2P Built,Complete,1/1/2016,"5,400",19.168081,-71.798531,1,75
Haiti,1/1/2016,Back,Gelin,Suspended Bridge,Haiti,Grand'Anse,Jérémie,HT105,B2P Built,Complete,1/1/2016,"20,000",18.595722,-74.170389,1,95
Honduras,1/1/2008,Back,Nueva Esperanza,Suspended Bridge,Honduras,,,HN905,B2P Built,Complete,1/1/2008,700,14.49223,-88.61082,1,31
Honduras,1/1/2008,Back,Piedra Gorda,Suspended Bridge,Honduras,,,HN904,B2P Built,Complete,1/1/2008,800,15.229811,-87.192563,1,32
Honduras,1/1/2008,Back,Mezcalillo,Suspended Bridge,Honduras,,,HN906,B2P Built,Complete,1/1/2008,216,14.455994,-88.539351,1,45
Honduras,1/1/2008,Back,Las Vegas,Suspended Bridge,Honduras,,,HN901,B2P Built,Complete,1/1/2008,"2,000",15.00177,-87.43373,1,68
Honduras,1/1/2008,Back,La Borrera,Suspension Bridge,Honduras,,,HN903,B2P Built,Complete,1/1/2008,300,13.570412,-87.047617,1,51
Honduras,1/1/2009,Back,Bocuire,Suspended Bridge,Honduras,,,1002529,B2P Supported,Complete,1/1/2009,991,13.544401,-87.066483,1,25
Honduras,1/1/2009,Back,La Hacienda,Suspended Bridge,Honduras,,,HN907,B2P Built,Complete,1/1/2009,800,14.69209,-87.708193,1,32
Honduras,1/1/2009,Back,Pena Blanca,Suspended Bridge,Honduras,,,HN910,B2P Built,Complete,1/1/2009,100,14.456419,-88.589616,1,34
Honduras,1/1/2009,Back,Puente Fuego,Suspended Bridge,Honduras,,,HN909,B2P Built,Complete,1/1/2009,991,13.504695,-87.116784,1,35
Honduras,1/1/2009,Back,Jack S. Kenyon Memorial,Suspended Bridge,Honduras,,,HN908,B2P Supported,Complete,1/1/2009,"3,000",14.505062,-88.524949,1,85
Honduras,1/1/2010,Back,Agua Caliente,Suspension Bridge,Honduras,,,1002534,B2P Built,Complete,1/1/2010,"1,000",14.861594,-89.119769,1,40
Kenya,1/1/2011,Back,Segera Mission,Suspended Bridge,Kenya,,,KE901,B2P Supported,Complete,1/1/2011,250,0.147877,36.888612,1,30
Kenya,1/1/2011,Back,Galana River Community,Suspension Bridge,Kenya,,,KE902,B2P Supported,Complete,1/1/2011,"5,000",-3.087904,39.480739,1,112
Mozambique,1/1/2014,Back,Nchmekah/Bandar,Suspended Bridge,Mozambique,,,1002537,B2P Supported,Complete,1/1/2014,"5,000",-13.152083,38.905778,1,33
