@Trim Country,B2P Fiscal Year,Back,Bridge Name,Bridge Type,Country,Level 1 Government,Level 2 Government,Project Code,Project Type,Stage,Year,Individuals Directly Served,Latitude,Longitude,Number of Records,Span (m)
Nicaragua,1/1/2015,Back,Jocote Arriba,Suspension Bridge,Nicaragua,Estelí,Condega,NI108,B2P Built,Complete,1/1/2015,620,13.359572,-86.261927,1,41
Nicaragua,1/1/2015,Back,Rancheria,Suspension Bridge,Nicaragua,Matagalpa,Muy Muy,NI114,B2P Built,Complete,1/1/2015,350,12.772057,-85.569327,1,53
Nicaragua,1/1/2015,Back,Las Calderas,Suspension Bridge,Nicaragua,Matagalpa,Esquipulas,NI110,B2P Built,Complete,1/1/2015,780,12.654567,-85.645633,1,64
Nicaragua,1/1/2015,Back,Rio Abajo,Suspension Bridge,Nicaragua,Estelí,Pueblo Nuevo,NI109,B2P Built,Complete,1/1/2015,"3,000",13.371667,-86.45906,1,81
Nicaragua,1/1/2016,Back,Terrero Sur,Suspended Bridge,Nicaragua,Nueva Segovia,El Jícaro,NI121,B2P Built,Complete,1/1/2016,710,13.668067,-86.193133,1,51.7
Nicaragua,1/1/2016,Back,Los Encuentros,Suspended Bridge,Nicaragua,Carazo,La Conquista,NI118,B2P Built,Complete,1/1/2016,800,11.709885,-86.24231,1,68
Nicaragua,1/1/2016,Back,San Albino,Suspended Bridge,Nicaragua,Nueva Segovia,El Jícaro,NI123,B2P Built,Complete,1/1/2016,"1,150",13.695472,-86.097222,1,82.5
Nicaragua,1/1/2016,Back,El Corozo,Suspension Bridge,Nicaragua,Matagalpa,San Dionisio,NI125,B2P Built,Complete,1/1/2016,"2,100",12.79225,-85.855083,1,43
Nicaragua,1/1/2016,Back,El Triangulo,Suspension Bridge,Nicaragua,Matagalpa,El Tuma-La Dalia,NI120,B2P Built,Complete,1/1/2016,"4,500",13.178417,-85.602083,1,48
Nicaragua,1/1/2016,Back,La Brisa,Suspension Bridge,Nicaragua,Estelí,San Juan de Limay,NI126,B2P Built,Complete,1/1/2016,640,13.182472,-86.560056,1,56
Nicaragua,1/1/2016,Back,El Zarzal,Suspension Bridge,Nicaragua,Matagalpa,San Dionisio,NI122,B2P Built,Complete,1/1/2016,630,12.787806,-85.879472,1,58
Nicaragua,1/1/2017,Back,Arenales,Suspension Bridge,Nicaragua,Estelí,Condega,NI127,B2P Built,Complete,1/1/2017,"3,300",13.31865,-86.36002,1,129.5
Nicaragua,1/1/2017,Back,El Libico,Suspension Bridge,Nicaragua,Matagalpa,San Ramón,NI128,B2P Built,Complete,1/1/2017,588,13.00545,-85.78975,1,61
Nicaragua,1/1/2017,Back,El Jobo,Suspension Bridge,Nicaragua,Matagalpa,Matiguás,NI130,B2P Built,Complete,1/1/2017,"2,178",12.894667,-85.61118,1,36
Panama,1/1/2017,Back,Río Grande,Suspension Bridge,Panama,Veraguas,,PA121,B2P Built,Complete,1/1/2017,200,7.714056,-81.334556,1,47
Panama,1/1/2017,Back,Seguidules,Suspension Bridge,Panama,Veraguas,Las Palmas District,PA120,B2P Built,Complete,1/1/2017,200,8.078,-81.390694,1,41
Panama,1/1/2013,Back,Filo Verde,Suspended Bridge,Panama,Bocas del Toro,,1002588,B2P Supported,Complete,1/1/2013,"1,372",9.013478,-82.334532,1,46
Panama,1/1/2014,Back,Caimital,Suspended Bridge,Panama,Coclé,Penonomé District,PA101,B2P Built,Complete,1/1/2014,"1,000",8.573796,-80.365607,1,76.2
Panama,1/1/2014,Back,Vallecito,Suspended Bridge,Panama,,,PA102,B2P Built,Complete,1/1/2014,"4,000",8.930656,-80.150094,1,40
Panama,1/1/2014,Back,Boqueron,Suspended Bridge,Panama,Colón,,1002591,B2P Built,Complete,1/1/2014,300,9.380841,-79.562076,1,90
Panama,1/1/2014,Back,Ciricito,Suspension Bridge,Panama,Panamá Ouest,,PA104,B2P Built,Complete,1/1/2014,375,8.785356,-80.084469,1,32
Panama,1/1/2014,Back,La Conga,Suspension Bridge,Panama,Panamá Ouest,,PA103,B2P Built,Complete,1/1/2014,200,8.847319,-79.996544,1,40
Panama,1/1/2015,Back,Tocúecito,Suspended Bridge,Panama,Coclé,Penonomé District,PA107,B2P Built,Complete,1/1/2015,500,8.6903,-80.3415,1,29.9
Panama,1/1/2015,Back,Vaquilla,Suspended Bridge,Panama,Coclé,Penonomé District,PA105,B2P Built,Complete,1/1/2015,"2,000",8.695247,-80.195014,1,35
Panama,1/1/2015,Back,Calabase,Suspended Bridge,Panama,Coclé,La Pintada District,PA108,B2P Built,Complete,1/1/2015,200,8.591218,-80.627362,1,43
Panama,1/1/2015,Back,La Gigi,Suspended Bridge,Panama,Veraguas,Mariato District,PA110,B2P Supported,Complete,1/1/2015,350,7.639633,-80.891291,1,74
Panama,1/1/2015,Back,Los Cañones,Suspension Bridge,Panama,Panamá Ouest,,PA106,B2P Built,Complete,1/1/2015,"1,200",8.932058,-80.065136,1,50
Panama,1/1/2016,Back,Candelaria,Suspended Bridge,Panama,Coclé,Penonomé District,PA113,B2P Built,Complete,1/1/2016,300,8.628306,-80.318556,1,54
Panama,1/1/2016,Back,Bajo Grande,Suspended Bridge,Panama,Veraguas,Mariato District,PA111,B2P Built,Complete,1/1/2016,400,7.638333,-80.880833,1,80
Panama,1/1/2016,Back,Dos Aguas,Suspension Bridge,Panama,Panamá Ouest,Capira District,PA115,B2P Built,Complete,1/1/2016,380,8.957097,-80.098831,1,37.3
Panama,1/1/2016,Back,Lura,Suspension Bridge,Panama,Coclé,Penonomé District,PA112,B2P Built,Complete,1/1/2016,500,8.757278,-80.360053,1,51
Panama,1/1/2016,Back,Chiguiri Arriba,Suspension Bridge,Panama,Coclé,Penonomé District,PA116,B2P Built,Complete,1/1/2016,600,8.678111,-80.195306,1,68
Panama,1/1/2017,Back,Guabal Saliente,Suspension Bridge,Panama,Veraguas,Cañazas District,PA117,B2P Built,Complete,1/1/2017,300,8.309083,-81.163333,1,55
Peru,1/1/2006,Back,Collpatomaico,Suspended Bridge,Peru,,,PE902,B2P Built,Complete,1/1/2006,900,-14.370122,-72.090965,1,67
Peru,1/1/2006,Back,Huambramayo,Suspended Bridge,Peru,,,PE905,B2P Built,Complete,1/1/2006,600,-11.838679,-74.698531,1,70
Peru,1/1/2006,Back,Chaypara (Manatro River),Suspended Bridge,Peru,,,PE901,B2P Built,Complete,1/1/2006,"3,000",-12.837285,-74.345033,1,138
Peru,1/1/2007,Back,Yabina y Colpa,Suspended Bridge,Peru,,,PE909,B2P Built,Complete,1/1/2007,500,-14.572559,-72.208116,1,15
Peru,1/1/2007,Back,Mezapata,Suspended Bridge,Peru,,,PE907,B2P Built,Complete,1/1/2007,600,-10.746016,-75.362751,1,55
Peru,1/1/2007,Back,Tres Unidos,Suspended Bridge,Peru,,,PE906,B2P Supported,Complete,1/1/2007,"2,000",-6.807594,-76.234556,1,65
Peru,1/1/2008,Back,Aguas Blancas,Suspended Bridge,Peru,,,PE904,B2P Built,Complete,1/1/2008,800,-6.595903,-78.64711,1,38
Peru,1/1/2008,Back,Cuatro Esquinas,Suspended Bridge,Peru,,,PE911,B2P Supported,Complete,1/1/2008,100,-14.657134,-72.252152,1,42
Peru,1/1/2008,Back,Chancay Banos,Suspended Bridge,Peru,,,PE910,B2P Built,Complete,1/1/2008,"2,500",-6.580171,-78.866357,1,46
Philippines,1/1/2013,Back,Taupac,Suspended Bridge,Philippines,,,1002614,B2P Supported,Complete,1/1/2013,120,15.550943,119.965322,1,60
Rwanda,1/1/2012,Back,Kamasiga Kibrira,Suspended Bridge,RWA,Western Province,Ngororero,RW902,B2P Built,Complete,1/1/2012,"10,000",-1.92738,29.629086,1,30
Rwanda,1/1/2012,Back,Mayange Nyamabare,Suspended Bridge,RWA,Eastern Province,Gatsibo,RW903,B2P Built,Complete,1/1/2012,"12,000",-1.555918,30.211844,1,85
Rwanda,1/1/2013,Back,Cyamtunda,Suspended Bridge,RWA,Western Province,Karongi,1002619,B2P Built,Complete,1/1/2013,"2,400",-2.222701,29.529556,1,68
Rwanda,1/1/2013,Back,Bakokwe,Suspended Bridge,RWA,Southern Province,Kamonyi,1002620,B2P Built,Complete,1/1/2013,"3,000",-1.90272,29.79132,1,68
Rwanda,1/1/2013,Back,Muregeya,Suspension Bridge,RWA,Western Province,Karongi,1002621,B2P Built,Complete,1/1/2013,"10,000",-2.024871,29.380443,1,50
Rwanda,1/1/2014,Back,Taba,Suspended Bridge,RWA,Northern Province,Gakenke,1002622,B2P Built,Complete,1/1/2014,"6,500",-1.700583,29.831933,1,32
Rwanda,1/1/2014,Back,Rugogwe,Suspended Bridge,RWA,Western Province,Ngororero,RW103,B2P Built,Complete,1/1/2014,"1,000",-1.920847,29.631467,1,54
Rwanda,1/1/2014,Back,Sha,Suspended Bridge,RWA,Kigali,Gasabo,RW101,B2P Built,Complete,1/1/2014,"3,000",-1.813833,30.098779,1,55
Rwanda,1/1/2014,Back,Rutenderi,Suspended Bridge,RWA,Northern Province,Gakenke,RW102,B2P Built,Complete,1/1/2014,"6,500",-1.660639,29.873889,1,63
Rwanda,1/1/2015,Back,Rwamahwa,Suspended Bridge,RWA,Northern Province,Rulindo,RW107,B2P Built,Complete,1/1/2015,"5,000",-1.634806,29.896667,1,47
Rwanda,1/1/2015,Back,Shagasha,Suspended Bridge,RWA,Northern Province,Rulindo,RW106,B2P Built,Complete,1/1/2015,"1,000",-1.710694,30.048972,1,57
Rwanda,1/1/2015,Back,Gasura,Suspension Bridge,RWA,Kigali,Gasabo,RW104,B2P Built,Complete,1/1/2015,"7,000",-1.820833,30.113889,1,44
Rwanda,1/1/2015,Back,Gaseke,Suspension Bridge,RWA,Northern Province,Gicumbi,RW105,B2P Built,Complete,1/1/2015,"4,300",-1.765778,30.127389,1,51
Rwanda,1/1/2016,Back,Coko,Suspended Bridge,RWA,Southern Province,Nyaruguru,RW112,B2P Built,Complete,1/1/2016,"1,510",-2.747417,29.575389,1,38
Rwanda,1/1/2016,Back,Kanyarira,Suspended Bridge,RWA,Southern Province,Muhanga,RW111,B2P Built,Complete,1/1/2016,"8,000",-2.11375,29.705778,1,45
Rwanda,1/1/2016,Back,Cyumba,Suspended Bridge,RWA,Southern Province,Nyaruguru,RW109,B2P Built,Complete,1/1/2016,"4,000",-2.793167,29.699444,1,48
Rwanda,1/1/2016,Back,Mubuga,Suspended Bridge,RWA,Southern Province,Muhanga,RW108,B2P Built,Complete,1/1/2016,"12,000",-2.143889,29.783333,1,70
Rwanda,1/1/2016,Back,Butare,Suspended Bridge,RWA,Southern Province,Muhanga,RW110,B2P Built,Complete,1/1/2016,"8,000",-1.942167,29.773667,1,97
Rwanda,1/1/2016,Back,Kigohe,Suspension Bridge,RWA,Southern Province,Nyanza,RW116,B2P Built,Complete,1/1/2016,"6,500",-2.311972,29.630944,1,29.4
Rwanda,1/1/2016,Back,Kukibuye,Suspension Bridge,RWA,Western Province,Nyabihu,RW114,B2P Built,Complete,1/1/2016,"12,000",-1.602056,29.636083,1,42
Rwanda,1/1/2016,Back,Tubungo,Suspension Bridge,RWA,Western Province,Nyabihu,RW113,B2P Built,Complete,1/1/2016,"10,000",-1.65225,29.634444,1,48
Rwanda,1/1/2017,Back,Mariba,Suspended Bridge,RWA,Western Province,Nyabihu,RW115,B2P Built,Complete,1/1/2017,"5,780",-1.688611,29.542583,1,40
Rwanda,1/1/2017,Back,Gasiza,Suspended Bridge,RWA,Northern Province,Gakenke,RW117,B2P Built,Complete,1/1/2017,"6,700",-1.813111,29.875111,1,58
Rwanda,1/1/2017,Back,Rugusa,Suspended Bridge,RWA,Southern Province,Nyaruguru,RW122,B2P Built,Complete,1/1/2017,"4,000",-2.593389,29.474611,1,60
Rwanda,1/1/2017,Back,Rwimvubu,Suspended Bridge,RWA,Southern Province,Nyaruguru,RW121,B2P Built,Complete,1/1/2017,"2,500",-2.755667,29.536444,1,60
Sudan,1/1/2010,Back,Yabus,Suspended Bridge,Sudan,,,SD901,B2P Supported,Complete,1/1/2010,"15,000",9.939442,34.170558,1,75
Timor-Leste,1/1/2010,Back,Tatarima,Suspended Bridge,Timor-Leste,,,TL901,B2P Built,Complete,1/1/2010,750,-8.754667,125.531316,1,68
Timor-Leste,1/1/2012,Back,Soibada,Suspended Bridge,Timor-Leste,,,TL903,B2P Built,Complete,1/1/2012,"3,700",-8.862475,125.957756,1,85.5
Timor-Leste,1/1/2012,Back,Tutuluru (Same),Suspension Bridge,Timor-Leste,,,TL902,B2P Built,Complete,1/1/2012,"4,000",-8.994597,125.689706,1,79
Zambia,1/1/2008,Back,Lusaka Mazyopa,Suspended Bridge,Zambia,,,ZM909,B2P Built,Complete,1/1/2008,"20,000",-15.35866,28.309049,1,27
Zambia,1/1/2010,Back,Fupashi,Suspended Bridge,Zambia,,,ZM904,B2P Built,Complete,1/1/2010,"3,600",-13.245803,28.432809,1,30
Zambia,1/1/2010,Back,Linda Libuyu,Suspended Bridge,Zambia,,,ZM903,B2P Built,Complete,1/1/2010,"5,000",-17.857008,25.875819,1,45
Zambia,1/1/2010,Back,Shamiyoyo,Suspended Bridge,Zambia,,,ZM901,B2P Built,Complete,1/1/2010,"1,000",-14.666479,24.50259,1,65
Zambia,1/1/2010,Back,Malobe Louyando,Suspended Bridge,Zambia,,,ZM905,B2P Built,Complete,1/1/2010,500,-16.696547,27.844031,1,105
Zambia,1/1/2011,Back,Munyumbwe,Suspended Bridge,Zambia,,,ZM902,B2P Built,Complete,1/1/2011,"1,000",-16.643535,27.780231,1,80
Zambia,1/1/2012,Back,Msanzala,Suspended Bridge,Zambia,,,ZM907,B2P Built,Complete,1/1/2012,900,-14.062829,31.311532,1,59
Zambia,1/1/2013,Back,Mtilizisa,Suspension Bridge,Zambia,,,ZM906,B2P Built,Complete,1/1/2013,860,-14.3846,30.86045,1,50
