country,rural_access_year_varies_index,rural_of_total_population_2018,total_rural_population_2018,rural_population_without_access_2018_population_varying_rai_year,human_development_index_2019
Kenya,44%,0.7297,37501479,21000828.240000002,0.5785877280147006
Kiribati,not available,0.45943,53224,not available,0.6232437585849168
"Korea, Dem. Rep.",44%,not available,not available,not available,not available
"Korea, Rep.",89%,0.18540999999999996,9573693,1053106.2300000004,0.9058318880274264
Kuwait,82%,0,0,0,0.8083524345100858
Kyrgyz Republic,76%,0.63649,4019944,964786.56,0.6742028297500703
Lao PDR,64%,0.6499600000000001,4589697,1652290.92,0.6040693218590478
Latvia,90%,0.31858000000000003,613758,61375.79999999993,0.8539015185797694
Lebanon,0.926,0.11406999999999996,781257,57813.01799999992,0.7300778911417805
Lesotho,0.18,0.71847,1514630,1241996.6,0.5179548795748672
Liberia,0.419,0.48849,2354022,1367686.7820000001,0.4647203189544081
Libya,78%,0.19897999999999996,1328901,292358.22,0.7075679742061223
Liechtenstein,not available,0.85662,32474,not available,0.9167243531731516
Lithuania,97%,0.32321,901605,27048.150000000023,0.869307679134763
Luxembourg,not available,0.09019000000000005,54811,not available,0.9087199366384889
"Macao, China",n.a.,not available,not available,not available,not available
"Macedonia, FYR",78%,not available,not available,not available,not available
Madagascar,0.114,0.6280899999999999,16495131,14614686.066,0.5206973589305919
Malawi,0.231,0.83063,15070382,11589123.758,0.4854001863467665
Malaysia,82%,0.23964,7555510,1359991.8000000007,0.8041858477966396
Maldives,not available,0.60192,310408,not available,0.7187070781143381
Mali,0.223,0.57644,10997144,8544780.888,0.4272062437268427
Malta,100%,0.05388000000000005,26053,0,0.8852656831224471
Marshall Islands,not available,0.22968999999999995,13417,not available,0.6975892839542243
Mauritania,31%,0.46328,2039970,1407579.3,0.5270571396314189
Mauritius,70%,0.59207,749148,224744.40000000002,0.7964062124477623
Mayotte,not available,not available,not available,not available,not available
Mexico,61%,0.19843999999999995,25041300,9766107,0.767447245379146
"Micronesia, Fed. Sts.",82%,0.7729699999999999,87067,15672.059999999998,0.6141578090715261
Moldova,66%,0.57371,2034309,691665.0599999998,0.7114515862161153
Monaco,n.a.,0,0,not available,not available
Mongolia,36%,0.31555,1000359,640229.76,0.7346839972298712
Morocco,36%,0.37546999999999997,13527860,8657830.4,0.6764393349141735
Mozambique,0.204,0.64012,18880955,15029240.18,0.4460446809922152
Myanmar,23%,0.6942099999999999,37284905,28709376.85,0.5842521961350456
Namibia,57%,0.49968,1223344,526037.92,0.6450373740217608
Nepal,0.867,0.8026000000000001,22543325,2998262.2250000015,0.5794852697737836
Netherlands,100%,0.0851,1466360,0,0.9334946999612731
Netherlands Antilles,not available,not available,not available,not available,not available
New Caledonia,not available,0.29316999999999993,83278,not available,not available
New Zealand,83%,0.13462000000000005,657686,111806.62,0.9208861411386577
Nicaragua,28%,0.41478000000000004,2681765,1930870.7999999998,0.6511042612635094
Niger,37%,0.83575,18756694,11816717.219999999,0.37659108310314304
Nigeria - 8 states,0.255,not available,not available,not available,not available
Northern Mariana Islands,not available,0.08382000000000005,4768,not available,not available
Norway,83%,0.17751999999999996,943401,160378.17000000004,0.9536883368836102
Oman,81%,0.15461,746686,141870.33999999997,0.8337894330533687
Pakistan,61%,0.63334,134404267,52417664.129999995,0.5604463594283119
Palau,not available,0.2007,3594,not available,0.8142458550788096
Panama,77%,0.32291,1348754,310213.4199999999,0.7950546993968757
Papua New Guinea,68%,0.86831,7472950,2391344,0.5430756228632654
Paraguay,54%,0.38415,2672175,1229200.5,0.7243476617984622
Peru,0.372,0.22093000000000004,7067386,4438318.408,0.7591035739993888
Philippines,80%,0.53093,56624705,11324941,0.7118602069024472
Poland,95%,0.39942,15169392,758469.6000000015,0.8717678678969172
Portugal,88%,0.34789000000000003,3576922,429230.64000000013,0.8502116187258604
Puerto Rico,98%,0.06421999999999997,205193,4103.860000000015,not available
Qatar,81%,0.00864999999999995,24062,4571.779999999999,0.848440767290782
Romania,89%,0.46002000000000004,8958400,985424,0.8155696564630364
Russian Federation,81%,0.25566999999999995,36938703,7018353.569999997,0.8240378901430633
Rwanda,0.553,0.82789,10184652,4552539.443999999,0.5360147200974451
Samoa,71%,0.81757,160350,46501.5,0.7067707619562779
San Marino,not available,0.027740000000000008,937,not available,not available
Sao Tome and Principe,83%,0.27197000000000005,57393,9756.810000000005,0.6085561894132034
Saudi Arabia,75%,0.16156000000000006,5444563,1361140.75,0.8569628131345028
Senegal,29%,0.52808,8372370,5944382.7,0.5137695726627357
Serbia and Montenegro,74%,not available,not available,not available,not available
Seychelles,not available,0.43309,41907,not available,0.8013945147970418
Sierra Leone,0.315,0.57945,4432882,3036524.17,0.4384652820682339
Singapore,n.a.,0,0,not available,0.9348189742470822
Slovak Republic,not available,0.46274,2520550,not available,not available
Slovenia,95%,0.45459000000000005,939807,46990.35000000009,0.901601081018893
