"code","name","year","gdp_pc"
"HR","Croatia",2015,58
"HU","Hungary",2004,61
"HU","Hungary",2005,62
"HU","Hungary",2006,61
"HU","Hungary",2007,60
"HU","Hungary",2008,62
"HU","Hungary",2009,64
"HU","Hungary",2010,64
"HU","Hungary",2011,66
"HU","Hungary",2012,65
"HU","Hungary",2013,67
"HU","Hungary",2014,68
"HU","Hungary",2015,68
"IE","Ireland",2004,145
"IE","Ireland",2005,147
"IE","Ireland",2006,148
"IE","Ireland",2007,148
"IE","Ireland",2008,134
"IE","Ireland",2009,129
"IE","Ireland",2010,130
"IE","Ireland",2011,131
"IE","Ireland",2012,132
"IE","Ireland",2013,133
"IE","Ireland",2014,137
"IE","Ireland",2015,177
"IT","Italy",2004,110
"IT","Italy",2005,109
"IT","Italy",2006,108
"IT","Italy",2007,107
"IT","Italy",2008,107
"IT","Italy",2009,106
"IT","Italy",2010,104
"IT","Italy",2011,104
"IT","Italy",2012,102
"IT","Italy",2013,99
"IT","Italy",2014,97
"IT","Italy",2015,96
"LT","Lithuania",2004,49
"LT","Lithuania",2005,53
"LT","Lithuania",2006,55
"LT","Lithuania",2007,60
"LT","Lithuania",2008,63
"LT","Lithuania",2009,56
"LT","Lithuania",2010,60
"LT","Lithuania",2011,66
"LT","Lithuania",2012,70
"LT","Lithuania",2013,73
"LT","Lithuania",2014,75
"LT","Lithuania",2015,75
"LU","Luxembourg",2004,238
"LU","Luxembourg",2005,245
"LU","Luxembourg",2006,258
"LU","Luxembourg",2007,262
"LU","Luxembourg",2008,259
"LU","Luxembourg",2009,250
"LU","Luxembourg",2010,256
"LU","Luxembourg",2011,263
"LU","Luxembourg",2012,259
"LU","Luxembourg",2013,261
"LU","Luxembourg",2014,267
"LU","Luxembourg",2015,264
"LV","Latvia",2004,46
"LV","Latvia",2005,50
"LV","Latvia",2006,53
"LV","Latvia",2007,57
"LV","Latvia",2008,59
"LV","Latvia",2009,52
"LV","Latvia",2010,53
"LV","Latvia",2011,57
"LV","Latvia",2012,60
"LV","Latvia",2013,62
"LV","Latvia",2014,64
"LV","Latvia",2015,64
"MT","Malta",2004,80
"MT","Malta",2005,81
"MT","Malta",2006,78
"MT","Malta",2007,79
"MT","Malta",2008,79
"MT","Malta",2009,81
"MT","Malta",2010,84
"MT","Malta",2011,83
"MT","Malta",2012,84
"MT","Malta",2013,86
"MT","Malta",2014,86
"MT","Malta",2015,88
"NL","Netherlands",2004,133
"NL","Netherlands",2005,135
"NL","Netherlands",2006,136
"NL","Netherlands",2007,138
"NL","Netherlands",2008,139
"NL","Netherlands",2009,137
"NL","Netherlands",2010,134
"NL","Netherlands",2011,133
"NL","Netherlands",2012,133
"NL","Netherlands",2013,134
"NL","Netherlands",2014,131
"NL","Netherlands",2015,128
"PL","Poland",2004,50
"PL","Poland",2005,50
"PL","Poland",2006,51
"PL","Poland",2007,53
"PL","Poland",2008,55
"PL","Poland",2009,60
"PL","Poland",2010,62
"PL","Poland",2011,65
"PL","Poland",2012,67
"PL","Poland",2013,67
"PL","Poland",2014,68
"PL","Poland",2015,69
"PT","Portugal",2004,81
"PT","Portugal",2005,82
"PT","Portugal",2006,83
"PT","Portugal",2007,81
"PT","Portugal",2008,81
"PT","Portugal",2009,82
"PT","Portugal",2010,82
"PT","Portugal",2011,77
"PT","Portugal",2012,75
"PT","Portugal",2013,77
"PT","Portugal",2014,77
"PT","Portugal",2015,77
"RO","Romania",2004,34
"RO","Romania",2005,35
"RO","Romania",2006,39
"RO","Romania",2007,43
"RO","Romania",2008,49
"RO","Romania",2009,50
"RO","Romania",2010,52
"RO","Romania",2011,52
"RO","Romania",2012,54
"RO","Romania",2013,55
"RO","Romania",2014,55
"RO","Romania",2015,57
"SE","Sweden",2004,126
"SE","Sweden",2005,123
"SE","Sweden",2006,125
"SE","Sweden",2007,128
"SE","Sweden",2008,127
"SE","Sweden",2009,123
"SE","Sweden",2010,125
"SE","Sweden",2011,126
"SE","Sweden",2012,127
"SE","Sweden",2013,125
"SE","Sweden",2014,124
"SE","Sweden",2015,124
"SI","Slovenia",2004,86
"SI","Slovenia",2005,87
"SI","Slovenia",2006,86
"SI","Slovenia",2007,87
"SI","Slovenia",2008,90
"SI","Slovenia",2009,85
"SI","Slovenia",2010,83
"SI","Slovenia",2011,83
"SI","Slovenia",2012,82
"SI","Slovenia",2013,81
"SI","Slovenia",2014,83
"SI","Slovenia",2015,83
"SK","Slovakia",2004,57
"SK","Slovakia",2005,60
"SK","Slovakia",2006,63
"SK","Slovakia",2007,67
"SK","Slovakia",2008,71
"SK","Slovakia",2009,71
"SK","Slovakia",2010,74
"SK","Slovakia",2011,75
"SK","Slovakia",2012,76
"SK","Slovakia",2013,77
"SK","Slovakia",2014,77
"SK","Slovakia",2015,77
"UK","United Kingdom",2004,119
"UK","United Kingdom",2005,117
"UK","United Kingdom",2006,115
"UK","United Kingdom",2007,111
"UK","United Kingdom",2008,109
"UK","United Kingdom",2009,107
"UK","United Kingdom",2010,107
"UK","United Kingdom",2011,105
"UK","United Kingdom",2012,107
"UK","United Kingdom",2013,107
"UK","United Kingdom",2014,109
"UK","United Kingdom",2015,108
