"date","year","location","locality","magnitude","x_missing","x_of_deaths","x_of_injuries","damage_in_millions","damages_dollars","houses_damaged","houses_destroyed","latitude","longitude"
"8/7/1925",1925,"TURKEY","DINAR",5.9,NA,3,NA,NA,NA,NA,2043,38,30.5
"10/5/1925",1925,"NICARAGUA","MANAGUA",6.7,NA,NA,NA,NA,NA,NA,NA,12.2,-85.2
"10/13/1925",1925,"NORTH ATLANTIC RIDGE","",7.5,NA,NA,NA,NA,NA,NA,NA,11,-42
"10/14/1925",1925,"CHINA","YUNNAN PROVINCE",5.8,NA,12,NA,NA,NA,NA,500,27,100
"11/13/1925",1925,"PHILIPPINES","SAMAR I, LAOANG I, BATAG I",7.3,NA,NA,NA,NA,NA,NA,NA,13,125
"11/16/1925",1925,"S. MEXICO","",7,NA,NA,NA,NA,NA,NA,NA,18.5,-107
"12/4/1925",1925,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,44.2,12.2
"12/14/1925",1925,"IRAN","BAJESTAN",5.5,NA,NA,NA,NA,NA,NA,NA,34.6,58.1
"12/18/1925",1925,"IRAN","AHRAM,DOMRUBAH,MAHMUDABADI,AB GARM",5.5,NA,NA,NA,NA,NA,NA,NA,28.5,51.2
"3/20/1926",1926,"HAWAII","",NA,NA,NA,NA,NA,NA,NA,NA,20.5,-155.5
"4/12/1926",1926,"SOLOMON ISLANDS","",7.5,NA,NA,NA,NA,NA,NA,NA,-10,161
"6/19/1926",1926,"ITALY","S",NA,NA,NA,NA,NA,NA,NA,NA,41.5,13.8
"6/26/1926",1926,"GREECE","RHODES ISLAND; LOWER EGYPT",7.9,NA,NA,NA,NA,NA,NA,NA,36.5,27.5
"6/28/1926",1926,"INDONESIA","SUMATERA",5.8,NA,NA,NA,NA,NA,NA,NA,-0.7,100.6
"6/29/1926",1926,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,44.6,10.7
"6/29/1926",1926,"JAPAN","RYUKYU ISLANDS",7.5,NA,NA,NA,NA,NA,NA,NA,27,127
"7/5/1926",1926,"INDONESIA","SUMATRA",NA,NA,NA,NA,NA,NA,NA,NA,-0.3,100.4
"8/17/1926",1926,"ITALY","SALINA ISLAND",5.3,NA,NA,NA,NA,NA,NA,NA,38.567,14.833
"8/31/1926",1926,"AZORES","FAYAL ISLAND",NA,NA,9,200,NA,NA,NA,NA,38.5,-28
"9/16/1926",1926,"SOLOMON ISLANDS","",6.9,NA,NA,NA,NA,NA,NA,NA,-9.674,159.519
"10/3/1926",1926,"AUSTRALIA","MACQUARIE ISLAND",7.9,NA,NA,NA,NA,NA,NA,NA,-49,161
"10/12/1926",1926,"BALKANS NW","MONTENEGRO",NA,NA,NA,NA,NA,NA,NA,NA,42.6,18.5
"10/22/1926",1926,"TURKEY; ARMENIA","",5.7,NA,NA,NA,NA,NA,NA,NA,40.7,43.7
"10/26/1926",1926,"INDONESIA","NEW GUINEA",7.9,NA,NA,NA,NA,NA,NA,NA,-3.5,138.5
"11/5/1926",1926,"NICARAGUA","MANAGUA,GRANADA,MASAYA,CHINANDEGA",7,NA,NA,NA,NA,NA,NA,NA,12.3,-85.8
"11/22/1926",1926,"CHINA","YUNNAN PROVINCE",5.5,NA,NA,NA,NA,NA,NA,NA,25.6,100.3
"12/9/1926",1926,"CHILE","VALLENAR",6,NA,NA,NA,NA,NA,NA,NA,-28,-71
"12/13/1926",1926,"INDONESIA","JAVA",NA,NA,NA,NA,NA,NA,NA,NA,-7.1,109
"12/17/1926",1926,"ALBANIA","DURRES",5.8,NA,NA,NA,NA,NA,NA,NA,41,19.5
"12/18/1926",1926,"MOROCCO","FES (FEZ)",NA,NA,NA,NA,NA,NA,NA,NA,34,-4.6
"1/1/1927",1927,"CALIFORNIA, MEXICO","",5.8,NA,1,NA,3,3000000,20,NA,32.5,-115.5
"3/7/1927",1927,"JAPAN","HONSHU",7.3,NA,3022,3295,40,40000000,9821,15594,35.6,135.1
"3/14/1927",1927,"CHINA","YUNNAN PROVINCE",6,NA,NA,NA,NA,NA,NA,NA,26,103
"3/20/1927",1927,"CHINA","YUNNAN PROVINCE",5,NA,7,NA,NA,NA,NA,NA,24.1,102
"4/17/1927",1927,"ITALY","S",NA,NA,NA,NA,NA,NA,NA,NA,41.5,13.8
"5/15/1927",1927,"BALKANS NW","SERBIA",5.9,NA,NA,NA,NA,NA,NA,NA,44.1,20.5
"5/22/1927",1927,"CHINA","GANSU PROVINCE",7.6,NA,40912,524,NA,NA,NA,26674,36.75,102
"6/20/1927",1927,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,45,7
"6/26/1927",1927,"UKRAINE","CRIMEA",6,NA,NA,NA,NA,NA,NA,NA,44.4,34.4
"7/1/1927",1927,"GREECE","OETYLOS (LACONIA)",7.3,NA,NA,NA,NA,NA,NA,NA,36.75,22.75
"7/11/1927",1927,"ISRAEL; JORDAN","DAMIYA",6.3,NA,268,NA,NA,NA,NA,NA,32,35.5
"8/5/1927",1927,"SANRIKU, JAPAN","",6.9,NA,NA,NA,NA,NA,NA,NA,37.9,142
"8/14/1927",1927,"BALKANS NW","SLOVENIA",NA,NA,NA,NA,NA,NA,NA,NA,45.8,14.2
"8/16/1927",1927,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,42.9,13.1
"8/18/1927",1927,"KASHIMA, JAPAN","",6.9,NA,NA,NA,NA,NA,NA,NA,34.2,142
"8/24/1927",1927,"TAIWAN","",6.8,NA,30,190,NA,NA,NA,200,23,120.5
"9/11/1927",1927,"UKRAINE","CRIMEA",6.8,NA,11,122,NA,NA,NA,NA,44.4,34.5
"9/24/1927",1927,"UKRAINE","CRIMEA",5.7,NA,NA,NA,NA,NA,NA,NA,44.4,34.3
"10/17/1927",1927,"ITALY","S",NA,NA,NA,NA,NA,NA,NA,NA,41.9,13.5
"10/24/1927",1927,"ALASKA","SE ALASKA",7.1,NA,NA,NA,NA,NA,NA,NA,57.69,-136.07
"10/30/1927",1927,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,44.5,9.6
"11/4/1927",1927,"CALIFORNIA","S",7.3,NA,NA,NA,NA,NA,NA,NA,34.813,-120.774
"11/15/1927",1927,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,44.5,9.6
"11/21/1927",1927,"CHILE","SOUTHERN",7.1,NA,NA,NA,NA,NA,NA,NA,-44.6,-73
"11/23/1927",1927,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,45.8,11.8
"11/24/1927",1927,"CHINA","YUNNAN PROVINCE",5.5,NA,NA,NA,NA,NA,NA,NA,25.2,102.5
"12/1/1927",1927,"INDONESIA","SULAWESI",6.3,NA,50,50,NA,NA,NA,NA,-0.7,119.7
"12/28/1927",1927,"RUSSIA","KAMCHATKA",7.5,NA,NA,NA,NA,NA,NA,NA,55.663,160.039
"1/25/1928",1928,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,42.9,11.6
"2/7/1928",1928,"FRANCE","CAURO,COTI-CHIAVARI",NA,NA,NA,NA,NA,NA,NA,NA,44.2,9.2
"2/9/1928",1928,"BRITISH COLUMBIA","",5.8,NA,NA,NA,NA,NA,NA,NA,49,-125
"2/10/1928",1928,"MEXICO","OAXACA,COLIMA,PUEBLA,GUERRERO,MORELOS",7.7,NA,NA,NA,NA,NA,NA,NA,17.8,-97.6
"3/7/1928",1928,"ITALY","SICILY,CALABRIA",6,NA,NA,NA,NA,NA,NA,NA,38.8,16
"3/8/1928",1928,"IRAN","NEHBANDAN",5,NA,NA,NA,NA,NA,NA,NA,31.6,60
"3/9/1928",1928,"INDIAN OCEAN","S",8.1,NA,NA,NA,NA,NA,NA,NA,-2.5,88.5
"3/16/1928",1928,"NEW CALEDONIA","LOYALTY ISLANDS",7.5,NA,NA,NA,NA,NA,NA,NA,-22,170.5
"3/22/1928",1928,"MEXICO","OAXACA",7.7,NA,NA,NA,NA,NA,NA,NA,15.67,-96.1
"3/27/1928",1928,"ITALY","TOLMEZZO",5.8,NA,NA,40,NA,NA,NA,NA,46.4,13
"3/31/1928",1928,"TURKEY","TEPEKOY, TORBALI",6.5,NA,170,700,NA,NA,NA,2600,38.1,27.4
"4/9/1928",1928,"PERU","",6.9,NA,10,NA,NA,NA,NA,NA,-13,-69.5
"4/14/1928",1928,"BULGARIA","CHIRPAN",6.8,NA,127,1735,NA,NA,NA,74750,42.2,25.3
"4/16/1928",1928,"MEXICO","OAXACA",7.8,NA,NA,NA,NA,NA,NA,NA,17.75,-97.1
"4/18/1928",1928,"BULGARIA","POPOVITSA",7,NA,NA,NA,NA,NA,NA,NA,42.1,25
"4/22/1928",1928,"GREECE","CORINTH (CORINTHIA)",6,NA,20,NA,NA,NA,NA,3000,38,23
"4/24/1928",1928,"GREECE","AEGEAN SEA",5,NA,NA,NA,NA,NA,NA,NA,38,23.5
"4/25/1928",1928,"GREECE","",5.2,NA,NA,NA,NA,NA,NA,NA,38,23
"4/27/1928",1928,"PERU","ESQUILAYA",6.8,NA,NA,NA,NA,NA,NA,NA,-13,-69.5
"5/3/1928",1928,"TURKEY","WESTERN",4.3,NA,NA,NA,NA,NA,NA,NA,40.8,26.8
"5/14/1928",1928,"PERU","CHACAHPOYAS,HUANCABAMBA,CAJAMARCA,PINPINCOS",7.3,NA,NA,NA,NA,NA,NA,NA,-5,-78
"5/18/1928",1928,"ISLAND OF LIFUKA, TONGA ISLANDS","",NA,NA,NA,NA,NA,NA,NA,NA,-19.8,-174.345
"5/27/1928",1928,"SANRIKU, JAPAN","",NA,NA,NA,NA,NA,NA,NA,NA,40,143.2
"6/15/1928",1928,"PHILIPPINES","SW MINDORO",7,NA,NA,NA,NA,NA,NA,NA,12.4,120.9
"6/17/1928",1928,"MEXICO","OAXACA",7.7,NA,4,NA,NA,NA,NA,NA,16.028,-97.036
"7/18/1928",1928,"PERU","",7,NA,NA,NA,NA,NA,NA,NA,-5.5,-79
"7/19/1928",1928,"CHINA","SICHUAN PROVINCE",5.8,NA,6,10,NA,NA,NA,NA,31.5,120.5
"8/21/1928",1928,"IRAN","SHIRVAN",5.4,NA,NA,NA,NA,NA,NA,NA,37.3,57.9
"10/9/1928",1928,"MEXICO","OAXACA",7.6,NA,NA,NA,NA,NA,NA,NA,16,-97
