Country_Name,Country_Code,Indicator_Name,2017,2018,2019,2020
Guatemala,GTM,"GDP per capita, PPP (constant 2017 international $)",8322.21681,8462.172107,8653.308195,8393.284643
Guam,GUM,"GDP per capita, PPP (constant 2017 international $)",,,,
Guyana,GUY,"GDP per capita, PPP (constant 2017 international $)",12005.4051,12477.57671,13082.20262,18679.98023
High income,HIC,"GDP per capita, PPP (constant 2017 international $)",48780.5509,49680.43585,50296.3271,47785.70424
"Hong Kong SAR, China",HKG,"GDP per capita, PPP (constant 2017 international $)",59849.24818,61062.94765,59586.20401,56153.9715
Honduras,HND,"GDP per capita, PPP (constant 2017 international $)",5561.994542,5680.362884,5736.181633,5138.385398
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (constant 2017 international $)",2490.729289,2536.704844,2576.64431,2518.510139
Croatia,HRV,"GDP per capita, PPP (constant 2017 international $)",26800.11898,27799.84332,28753.51627,26465.12731
Haiti,HTI,"GDP per capita, PPP (constant 2017 international $)",2980.960584,2992.310411,2905.438565,2773.081364
Hungary,HUN,"GDP per capita, PPP (constant 2017 international $)",29465.12624,31095.5575,32553.5237,31007.76841
IBRD only,IBD,"GDP per capita, PPP (constant 2017 international $)",12628.33479,13105.40757,13486.66636,13066.07122
IDA & IBRD total,IBT,"GDP per capita, PPP (constant 2017 international $)",10367.17032,10724.13013,10996.81183,10631.75642
IDA total,IDA,"GDP per capita, PPP (constant 2017 international $)",3731.81835,3831.850861,3892.231652,3790.552526
IDA blend,IDB,"GDP per capita, PPP (constant 2017 international $)",4792.809445,4874.585321,4872.311743,4730.228466
Indonesia,IDN,"GDP per capita, PPP (constant 2017 international $)",10935.63172,11371.72556,11811.97556,11444.96068
IDA only,IDX,"GDP per capita, PPP (constant 2017 international $)",3199.057732,3312.050296,3410.672623,3330.546961
Isle of Man,IMN,"GDP per capita, PPP (constant 2017 international $)",,,,
India,IND,"GDP per capita, PPP (constant 2017 international $)",6182.922109,6518.845055,6713.932211,6118.35733
Not classified,INX,"GDP per capita, PPP (constant 2017 international $)",,,,
Ireland,IRL,"GDP per capita, PPP (constant 2017 international $)",78655.62619,84303.34089,87786.15693,89688.95696
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (constant 2017 international $)",14535.87358,13471.86064,12389.22335,12433.29698
Iraq,IRQ,"GDP per capita, PPP (constant 2017 international $)",10719.01222,10346.21296,10565.24743,9255.256903
Iceland,ISL,"GDP per capita, PPP (constant 2017 international $)",55638.49206,56722.11937,56913.95685,52279.72885
Israel,ISR,"GDP per capita, PPP (constant 2017 international $)",38833.97343,39418.34531,40007.31916,38341.30757
Italy,ITA,"GDP per capita, PPP (constant 2017 international $)",41581.12079,42052.55638,42662.52237,38992.14838
Jamaica,JAM,"GDP per capita, PPP (constant 2017 international $)",9600.104746,9734.862288,9777.005686,8741.550443
Jordan,JOR,"GDP per capita, PPP (constant 2017 international $)",10003.57498,10013.39766,10071.37989,9816.55453
Japan,JPN,"GDP per capita, PPP (constant 2017 international $)",40966.59322,41182.3802,41380.09358,
Kazakhstan,KAZ,"GDP per capita, PPP (constant 2017 international $)",24862.96612,25544.34476,26351.80444,25337.1524
Kenya,KEN,"GDP per capita, PPP (constant 2017 international $)",4046.234771,4203.838273,4329.871884,4220.440248
Kyrgyz Republic,KGZ,"GDP per capita, PPP (constant 2017 international $)",5046.691535,5133.151915,5258.366696,4706.570238
Cambodia,KHM,"GDP per capita, PPP (constant 2017 international $)",3928.373934,4159.338194,4388.800909,4191.850003
Kiribati,KIR,"GDP per capita, PPP (constant 2017 international $)",2235.694985,2254.059232,2270.108607,2291.907219
St. Kitts and Nevis,KNA,"GDP per capita, PPP (constant 2017 international $)",25360.09102,25901.6333,26235.55455,23259.36231
"Korea, Rep.",KOR,"GDP per capita, PPP (constant 2017 international $)",40957.41806,41948.34601,42719.00026,42251.44506
Kuwait,KWT,"GDP per capita, PPP (constant 2017 international $)",50855.55286,50478.58751,49853.73628,
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (constant 2017 international $)",15396.66266,15494.52229,15469.45222,14280.23335
Lao PDR,LAO,"GDP per capita, PPP (constant 2017 international $)",7257.812107,7592.829475,7886.652814,7805.798556
Lebanon,LBN,"GDP per capita, PPP (constant 2017 international $)",15987.65434,15588.15287,14551.59371,11649.05011
Liberia,LBR,"GDP per capita, PPP (constant 2017 international $)",1515.64454,1497.004787,1427.81909,1353.84292
Libya,LBY,"GDP per capita, PPP (constant 2017 international $)",13238.00054,15017.99357,15174.16252,10282.29108
St. Lucia,LCA,"GDP per capita, PPP (constant 2017 international $)",14945.73328,15261.36435,15448.34491,12270.01329
Latin America & Caribbean,LCN,"GDP per capita, PPP (constant 2017 international $)",16288.77662,16418.77639,16410.18398,15169.20355
Least developed countries: UN classification,LDC,"GDP per capita, PPP (constant 2017 international $)",2917.759824,3003.338789,3079.480494,3000.824536
Low income,LIC,"GDP per capita, PPP (constant 2017 international $)",,,,
Liechtenstein,LIE,"GDP per capita, PPP (constant 2017 international $)",,,,
Sri Lanka,LKA,"GDP per capita, PPP (constant 2017 international $)",12584.10479,12860.32083,13070.12564,12536.94176
Lower middle income,LMC,"GDP per capita, PPP (constant 2017 international $)",6724.123109,6954.2177,7106.967485,6722.809932
Low & middle income,LMY,"GDP per capita, PPP (constant 2017 international $)",10035.43193,10379.59888,10643.20918,10293.85533
