ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,date,validOn,validTo,POINT_X,POINT_Y
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Asela town,ET040825,,<Null>,,2019/08/19,2020/10/08,,39.13427541700,7.93748196100
Ethiopia,ET,Dire Dawa,ET15,Dire Dawa rural,ET1502,Aseliso,ET150201,,<Null>,,2019/08/19,2020/10/08,,41.78341762000,9.57158504200
Ethiopia,ET,Tigray,ET01,North Western,ET0101,Asgede,ET010105,,<Null>,,2019/08/19,2020/10/08,,37.90181623100,14.04024480800
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Assagirt,ET030514,,<Null>,,2019/08/19,2020/10/08,,39.62391456700,9.37882782600
Ethiopia,ET,Benishangul Gumz,ET06,Asosa,ET0603,Assosa,ET060303,,<Null>,,2019/08/19,2020/10/08,,34.46956636000,9.98770152600
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Ataye town,ET030598,,<Null>,,2019/08/19,2020/10/08,,39.96493462500,10.35379091200
Ethiopia,ET,SNNP,ET07,Halaba,ET0714,Atote Ulo,ET071403,,<Null>,,2019/08/19,2020/10/08,,38.21051410800,7.33942673000
Ethiopia,ET,Tigray,ET01,Eastern,ET0103,Atsbi,ET010307,,<Null>,,2019/08/19,2020/10/08,,39.74949844000,13.92137139900
Ethiopia,ET,Tigray,ET01,Eastern,ET0103,Atsbi town,ET010315,,Atsbi  Endasilassie Town,,2019/08/19,2020/10/08,,39.73715440400,13.86839303300
Ethiopia,ET,Somali,ET05,Fafan,ET0502,Aw-Bare,ET050205,,<Null>,,2019/08/19,2020/10/08,,43.12767593700,9.60043245700
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Awabel,ET030612,,<Null>,,2019/08/19,2020/10/08,,38.00119217600,10.22109493600
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Aware,ET050303,,<Null>,,2019/08/19,2020/10/08,,44.17077638300,8.08576458800
Ethiopia,ET,Afar,ET02,Gabi /Zone 3,ET0203,Awash,ET020302,,<Null>,,2019/08/19,2020/10/08,,40.02553533300,9.09719375200
Ethiopia,ET,Afar,ET02,Gabi /Zone 3,ET0203,Awash town,ET020396,,<Null>,,2019/08/19,2020/10/08,,40.16987199500,8.99687768400
Ethiopia,ET,Oromia,ET04,East Hararge,ET0410,Aweday town,ET041099,,<Null>,,2019/08/19,2020/10/08,,42.05714698000,9.36721947800
Ethiopia,ET,Afar,ET02,Fanti /Zone 4,ET0204,Awra (AF),ET020401,,<Null>,,2019/08/19,2020/10/08,,40.31628761500,12.04889870800
Ethiopia,ET,Tigray,ET01,Western,ET0105,Awra (TG),ET010507,,<Null>,,2019/08/19,2020/10/08,,37.12820536000,13.63822544100
Ethiopia,ET,Tigray,ET01,Central,ET0102,Axum town,ET010213,,<Null>,,2019/08/19,2020/10/08,,38.72738438200,14.12174379700
Ethiopia,ET,Amhara,ET03,Awi,ET0309,Ayehu Guwagusa,ET030908,,<Null>,,2019/08/19,2020/10/08,,36.83198089900,10.84517567100
Ethiopia,ET,Oromia,ET04,West Wellega,ET0401,Ayira,ET040107,,<Null>,,2019/08/19,2020/10/08,,35.31226706200,9.13148503200
Ethiopia,ET,Somali,ET05,Siti,ET0501,Ayisha,ET050101,,<Null>,,2019/08/19,2020/10/08,,42.50537066000,10.68901816000
Ethiopia,ET,Amhara,ET03,Central Gondar,ET0311,Aykel town,ET031199,,<Null>,,2019/08/19,2020/10/08,,37.06514335100,12.55037934500
Ethiopia,ET,Somali,ET05,Nogob,ET0510,Ayun,ET051001,,<Null>,,2019/08/19,2020/10/08,,42.40508378600,7.13413940300
Ethiopia,ET,Oromia,ET04,East Hararge,ET0410,Babile (OR),ET041004,,<Null>,,2019/08/19,2020/10/08,,42.57145212000,8.74761480500
Ethiopia,ET,Somali,ET05,Fafan,ET0502,Babile (SM),ET050203,,<Null>,,2019/08/19,2020/10/08,,42.35283956900,8.49208508600
Ethiopia,ET,Oromia,ET04,East Hararge,ET0410,Babile town,ET041000,,<Null>,,2019/08/19,2020/10/08,,42.33257745700,9.22430700300
Ethiopia,ET,Oromia,ET04,West Wellega,ET0401,Babo,ET040111,,<Null>,,2019/08/19,2020/10/08,,35.09674180700,9.44638072900
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Badele Zuria,ET041622,,<Null>,,2019/08/19,2020/10/08,,36.40510355200,8.49723732500
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Bahir Dar town,ET030712,,<Null>,,2019/08/19,2020/10/08,,37.38122588400,11.55612527900
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Bahirdar Zuria,ET030702,,<Null>,,2019/08/19,2020/10/08,,37.24199281800,11.64426551800
Ethiopia,ET,Oromia,ET04,West Shewa,ET0405,Bako Tibe,ET040506,,<Null>,,2019/08/19,2020/10/08,,37.15408967500,9.09593407400
Ethiopia,ET,Benishangul Gumz,ET06,Asosa,ET0603,Bambasi,ET060305,,<Null>,,2019/08/19,2020/10/08,,34.70225824900,9.78697232000
Ethiopia,ET,Amhara,ET03,Awi,ET0309,Banja,ET030902,,<Null>,,2019/08/19,2020/10/08,,37.00886102000,10.96346244100
Ethiopia,ET,Somali,ET05,Afder,ET0508,Barey,ET050807,,<Null>,,2019/08/19,2020/10/08,,42.69898458100,4.70175616600
Ethiopia,ET,SNNP,ET07,Basketo,ET0716,Basketo SP Woreda,ET071601,,<Null>,,2019/08/19,2020/10/08,,36.55980637400,6.28174017800
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Baso Liben,ET030611,,<Null>,,2019/08/19,2020/10/08,,37.71666910000,10.02815694800
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Basona Worena,ET030519,,<Null>,,2019/08/19,2020/10/08,,39.62607205600,9.73119814300
Ethiopia,ET,Amhara,ET03,Oromia,ET0310,Bati,ET031002,,<Null>,,2019/08/19,2020/10/08,,40.12097029200,11.07402093500
Ethiopia,ET,Amhara,ET03,Oromia,ET0310,Bati Town,ET031099,,<Null>,,2019/08/19,2020/10/08,,40.01491291800,11.19241901100
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Bayera Koisha,ET070622,,<Null>,,2019/08/19,2020/10/08,,37.61465854900,6.81436304600
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Bechena Town,ET030699,,<Null>,,2019/08/19,2020/10/08,,38.20067315900,10.45258003000
