,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Linkin Park,0.55806,0.81522,4.98,-5.24404,0.6,0.06750800000000001,0.0836959,0.012732623600000001,0.252484,0.45274000000000003,117.3406,218851.68,3.9
Lana Del Rey,0.43041999999999997,0.448228,5.54,-9.6354,0.48,0.05039,0.5406796,0.0232134648,0.149104,0.220342,111.0678,272163.96,3.74
James Arthur,0.49952499999999994,0.59595,6.575,-6.4821,0.6,0.07680250000000001,0.32863285,6.9935e-06,0.1494075,0.391575,113.79775,221168.625,3.9
Kendrick Lamar,0.6863333333333332,0.6631794871794872,5.0,-6.706717948717951,0.6410256410256411,0.2913076923076922,0.1829836153846154,0.0005668894871794871,0.24049743589743586,0.46184615384615396,123.67258974358978,255598.76923076922,4.0
Post Malone,0.6230681818181819,0.6344318181818182,4.75,-5.276295454545455,0.6590909090909091,0.08702045454545454,0.3015022727272727,3.8595e-05,0.14630681818181815,0.3561818181818182,126.80186363636362,204294.02272727274,4.0
Queen,0.4652741935483871,0.6636370967741935,5.080645161290323,-7.373596774193548,0.8064516129032258,0.07198064516129031,0.2891564516129032,0.02448261096774194,0.24235161290322577,0.40461935483870964,113.37162903225807,238173.88709677418,3.838709677419355
Kanye West,0.5971212121212122,0.6193636363636363,4.484848484848484,-5.992590909090907,0.48484848484848486,0.1841530303030303,0.20332142424242425,0.010972099848484847,0.2807454545454546,0.38350606060606063,114.78569696969699,239822.0606060606,3.9696969696969697
Eminem,0.7236179775280899,0.7335955056179776,5.146067415730337,-4.90214606741573,0.5842696629213483,0.2621269662921349,0.14582460674157305,0.00010334460674157303,0.2512629213483146,0.5141797752808988,118.31896629213482,251428.70786516854,3.943820224719101
Future,0.78988,0.56706,4.32,-6.824020000000001,0.64,0.202924,0.0639444,0.023982227200000004,0.161828,0.318082,139.3403,204659.76,3.98
Snoop Dogg,0.74798,0.7094200000000002,5.32,-5.56278,0.62,0.16983399999999998,0.13836246,0.00010973740000000001,0.22340799999999997,0.5783019999999999,105.62016,234825.02,4.0
Macklemore,0.6833461538461539,0.6947307692307694,5.115384615384615,-5.849461538461539,0.6153846153846154,0.2002346153846154,0.23018403846153848,0.014205424230769231,0.1799884615384615,0.4693846153846154,116.5655,231436.92307692306,4.0
Jay-Z,0.6859215686274511,0.7485098039215687,6.372549019607843,-5.590431372549019,0.5098039215686274,0.29732549019607846,0.14556745098039214,0.004801125882352941,0.19744509803921567,0.6134313725490197,115.74362745098038,251172.39215686274,4.0588235294117645
Bruno Mars,0.6826904761904762,0.6945714285714286,3.4761904761904763,-5.411452380952381,0.6428571428571429,0.06947380952380953,0.18605369047619047,0.00028681333333333334,0.18365238095238096,0.6282142857142857,124.10476190476192,223236.09523809524,3.9523809523809526
Beyoncé,0.62496,0.69674,4.76,-7.088259999999999,0.62,0.19246399999999994,0.08948766000000001,0.001871584,0.315344,0.49995199999999995,122.01037999999998,225618.36,4.02
Drake,0.7232428571428572,0.5656,4.9,-7.531485714285713,0.5285714285714286,0.20030142857142857,0.16768779999999997,0.008976782142857142,0.17173142857142856,0.3716157142857143,121.67834285714287,234113.2142857143,4.0
Stevie Wonder,0.6056199999999999,0.54224,6.24,-11.83616,0.6,0.050838,0.27030393999999996,0.0023641715999999998,0.15622000000000003,0.637258,114.25722,255020.36,4.0
