Region,Sub Region,Country,Drug Group,Drug,Year,Country Code,download,Latest Year,Clear,Kg Equivalent,Latest Year Kg Value,Metring Tons,Number of Records
Africa,East Africa,Mauritius,Cannabis-type,Marijuana (herb),2018,MAR,,2018,1,99.169532,99.169532,0.099169532,1
Africa,East Africa,Mauritius,Cannabis-type,Other types of cannabis,2018,MAR,,2018,1,12.839317,12.839317,0.012839317,1
Africa,East Africa,Mauritius,Cocaine-type,Cocaine salts,2018,MAR,,2018,1,8.38135,8.38135,0.00838135,1
Africa,East Africa,Mauritius,Opioids,Heroin,2018,MAR,,2018,1,131.925642,131.925642,0.131925642,1
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,2018,MAR,,2018,1,2.15,2.15,0.00215,1
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,2018,MAR,,2018,1,0.030900000,0.030900000,3.090000046e-05,1
Africa,East Africa,Mauritius,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2018,MAR,,2018,1,0.039489999,0.039489999,3.948999912e-05,1
Africa,East Africa,Mauritius,ATS,Ecstasy-type substances,2016,MAR,,2018,1,0.024119,,2.4119e-05,1
Africa,East Africa,Mauritius,ATS,Methamphetamine,2016,MAR,,2018,1,0.03645,,3.645e-05,1
Africa,East Africa,Mauritius,Cannabis-type,Cannabis plants,2016,MAR,,2018,1,7208.6,,7.2086,1
Africa,East Africa,Mauritius,Cannabis-type,Hashish (resin),2016,MAR,,2018,1,1.079,,0.001079,1
Africa,East Africa,Mauritius,Cannabis-type,Marijuana (herb),2016,MAR,,2018,1,7.25,,0.00725,1
Africa,East Africa,Mauritius,Cocaine-type,Cocaine salts,2016,MAR,,2018,1,1.022,,0.001022,1
Africa,East Africa,Mauritius,Opioids,Heroin,2016,MAR,,2018,1,17.13408,,0.01713408,1
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,2016,MAR,,2018,1,0.67705,,0.00067705,1
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,2016,MAR,,2018,1,0.000350000,,3.500000052e-07,1
Africa,East Africa,Mauritius,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2016,MAR,,2018,1,0.062149999,,6.214999861e-05,1
Africa,East Africa,Mauritius,Substances not under international control,Synthetic cannabinoids (Spice),2016,MAR,,2016,1,1.00501,1.00501,0.00100501,1
Africa,East Africa,Mauritius,Cannabis-type,Cannabis plants,2015,MAR,,2018,1,7231.2,,7.2312,1
Africa,East Africa,Mauritius,Cannabis-type,Hashish (resin),2015,MAR,,2018,1,5.40909,,0.00540909,1
Africa,East Africa,Mauritius,Cannabis-type,Marijuana (herb),2015,MAR,,2018,1,42.7955,,0.0427955,1
Africa,East Africa,Mauritius,Opioids,Heroin,2015,MAR,,2018,1,13.06877,,0.01306877,1
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,2015,MAR,,2018,1,0.019550000,,1.955000029e-05,1
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,2015,MAR,,2018,1,0.6952,,0.0006952,1
Africa,East Africa,Mauritius,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2015,MAR,,2018,1,0.010840000,,1.083999976e-05,1
Africa,East Africa,Mauritius,Substances not under international control,Synthetic cannabinoids (Spice),2015,MAR,,2016,1,0.89781,,0.00089781,1
Africa,East Africa,United Republic of Tanzania,Cannabis-type,Marijuana (herb),2017,URT,,2017,1,52186,52186,52.186,1
Africa,East Africa,United Republic of Tanzania,Cocaine-type,Non-specified cocaine,2017,URT,,2017,1,5.2,5.2,0.0052,1
Africa,East Africa,United Republic of Tanzania,Opioids,Heroin,2017,URT,,2017,1,196.8,196.8,0.1968,1
Africa,East Africa,United Republic of Tanzania,Substances not under international control,Plant-based NPS,2017,URT,,2017,1,10000,10000,10,1
Africa,East Africa,United Republic of Tanzania,Cannabis-type,Marijuana (herb),2016,URT,,2017,1,68230,,68.23,1
Africa,East Africa,United Republic of Tanzania,Cocaine-type,Non-specified cocaine,2016,URT,,2017,1,18.52,,0.01852,1
Africa,East Africa,United Republic of Tanzania,Opioids,Heroin,2016,URT,,2017,1,42.26,,0.04226,1
Africa,East Africa,United Republic of Tanzania,Substances not under international control,Plant-based NPS,2016,URT,,2017,1,20000,,20,1
Africa,East Africa,United Republic of Tanzania,Cocaine-type,Cocaine salts,2015,URT,,2017,1,86.202,,0.086202,1
Africa,East Africa,United Republic of Tanzania,Opioids,Heroin,2015,URT,,2017,1,50.2,,0.0502,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis plants,2019,ALG,,2019,1,157.6,157.6,0.1576,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis seed,2019,ALG,,2019,1,897.372,897.372,0.897372,1
Africa,North Africa,Algeria,Cannabis-type,Hashish (resin),2019,ALG,,2019,1,55133.42,55133.42,55.13342,1
Africa,North Africa,Algeria,Cannabis-type,Marijuana (herb),2019,ALG,,2019,1,8081,8081,8.081,1
Africa,North Africa,Algeria,Cocaine-type,Cocaine salts,2019,ALG,,2019,1,315.759404,315.759404,0.315759404,1
Africa,North Africa,Algeria,Non-specified,Psychotropic substances,2019,ALG,,2019,1,20.859229534,20.859229534,0.020859230,1
Africa,North Africa,Algeria,Non-specified,Psychotropic substances,2019,ALG,,2019,0,,,,1
Africa,North Africa,Algeria,Non-specified,Psychotropic substances,2019,ALG,,2019,1,0.008400000,0.008400000,8.399999812e-06,1
Africa,North Africa,Algeria,Opioids,Heroin,2019,ALG,,2019,1,304.105,304.105,0.304105,1
Africa,North Africa,Algeria,Opioids,Other illicit opioids,2019,ALG,,2019,1,0.043,0.043,4.3e-05,1
Africa,North Africa,Algeria,Opioids,Poppy plants,2019,ALG,,2019,1,88.4,88.4,0.0884,1
Africa,North Africa,Algeria,ATS,Non-specified ATS,2018,ALG,,2018,1,451.96075,451.96075,0.45196075,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis plants,2018,ALG,,2019,1,115.9,,0.1159,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis seed,2018,ALG,,2019,1,2.42429,,0.00242429,1
Africa,North Africa,Algeria,Cannabis-type,Hashish (resin),2018,ALG,,2019,1,31936.386,,31.936386,1
Africa,North Africa,Algeria,Cannabis-type,Marijuana (herb),2018,ALG,,2019,1,1.146,,0.001146,1
Africa,North Africa,Algeria,Cocaine-type,Cocaine salts,2018,ALG,,2019,1,671.887093,,0.671887093,1
Africa,North Africa,Algeria,Cocaine-type,Crack,2018,ALG,,2019,1,0.0003,,3e-07,1
Africa,North Africa,Algeria,Opioids,Heroin,2018,ALG,,2019,1,4.32422,,0.00432422,1
Africa,North Africa,Algeria,Opioids,Opium,2018,ALG,,2019,1,0.37124,,0.00037124,1
Africa,North Africa,Algeria,Opioids,Poppy plants,2018,ALG,,2019,1,3.1,,0.0031,1
Africa,North Africa,Algeria,ATS,Ecstasy-type substances,2017,ALG,,2018,1,66.919656,,0.066919656,1
Africa,North Africa,Algeria,ATS,Non-specified ATS,2017,ALG,,2018,1,300.448,,0.300448,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis plants,2017,ALG,,2019,1,370.7,,0.3707,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis seed,2017,ALG,,2019,1,1.1135,,0.0011135,1
Africa,North Africa,Algeria,Cannabis-type,Hashish (resin),2017,ALG,,2019,1,52609.907,,52.609907,1
Africa,North Africa,Algeria,Cannabis-type,Marijuana (herb),2017,ALG,,2019,1,28.841,,0.028841,1
Africa,North Africa,Algeria,Cocaine-type,Cocaine salts,2017,ALG,,2019,1,6.279407,,0.006279407,1
Africa,North Africa,Algeria,Cocaine-type,Crack,2017,ALG,,2019,1,0.6312,,0.0006312,1
Africa,North Africa,Algeria,Opioids,Heroin,2017,ALG,,2019,1,2.120965,,0.002120965,1
Africa,North Africa,Algeria,ATS,Non-specified ATS,2016,ALG,,2018,1,0.008,,8e-06,1
Africa,North Africa,Algeria,ATS,Non-specified ATS,2016,ALG,,2018,1,0,,0,1
Africa,North Africa,Algeria,ATS,Non-specified ATS,2016,ALG,,2018,1,268.0985,,0.2680985,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis plants,2016,ALG,,2019,1,50.7,,0.0507,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis seed,2016,ALG,,2019,1,0.6425,,0.0006425,1
Africa,North Africa,Algeria,Cannabis-type,Hashish (resin),2016,ALG,,2019,1,109089.13,,109.08913,1
Africa,North Africa,Algeria,Cocaine-type,Cocaine salts,2016,ALG,,2019,1,59.09941,,0.05909941,1
Africa,North Africa,Algeria,Cocaine-type,Crack,2016,ALG,,2019,1,0.023,,2.3e-05,1
Africa,North Africa,Algeria,Opioids,Heroin,2016,ALG,,2019,1,1.403823,,0.001403823,1
Africa,North Africa,Algeria,Opioids,Opium,2016,ALG,,2019,1,0.55438,,0.00055438,1
Africa,North Africa,Algeria,Opioids,Poppy plants,2016,ALG,,2019,1,106,,0.106,1
Africa,North Africa,Algeria,ATS,Non-specified ATS,2015,ALG,,2018,1,159.49025,,0.15949025,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis plants,2015,ALG,,2019,1,57.2,,0.0572,1
Africa,North Africa,Algeria,Cannabis-type,Cannabis seed,2015,ALG,,2019,1,0.309,,0.000309,1
Africa,North Africa,Algeria,Cannabis-type,Hashish (resin),2015,ALG,,2019,1,126685.774,,126.685774,1
Africa,North Africa,Algeria,Cocaine-type,Cocaine salts,2015,ALG,,2019,1,88.287395,,0.088287395,1
Africa,North Africa,Algeria,Cocaine-type,Crack,2015,ALG,,2019,1,0.0483,,4.83e-05,1
Africa,North Africa,Algeria,Opioids,Heroin,2015,ALG,,2019,1,2.573754,,0.002573754,1
Africa,North Africa,Algeria,Opioids,Opium,2015,ALG,,2019,1,0.014,,1.4e-05,1
Africa,North Africa,Egypt,ATS,Amphetamine,2019,EGY,,2019,1,8729.14125,8729.14125,8.72914125,1
Africa,North Africa,Egypt,ATS,Amphetamine,2019,EGY,,2019,1,0.031,0.031,3.1e-05,1
Africa,North Africa,Egypt,ATS,Ecstasy-type substances,2019,EGY,,2019,1,7.182313,7.182313,0.007182313,1
Africa,North Africa,Egypt,ATS,Ecstasy-type substances,2019,EGY,,2019,1,0.355,0.355,0.000355,1
Africa,North Africa,Egypt,ATS,Methamphetamine,2019,EGY,,2019,1,0.47,0.47,0.00047,1
Africa,North Africa,Egypt,ATS,Methamphetamine,2019,EGY,,2019,1,263,263,0.263,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis plants,2019,EGY,,2019,1,101.2,101.2,0.1012,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis plants,2019,EGY,,2019,1,0,0,0,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis seed,2019,EGY,,2019,1,2830,2830,2.83,1
Africa,North Africa,Egypt,Cannabis-type,Hashish (resin),2019,EGY,,2019,1,35928,35928,35.928,1
Africa,North Africa,Egypt,Cannabis-type,Marijuana (herb),2019,EGY,,2019,1,62097,62097,62.097,1
Africa,North Africa,Egypt,Cocaine-type,Cocaine salts,2019,EGY,,2019,1,25,25,0.025,1
Africa,North Africa,Egypt,Hallucinogens,LSD,2019,EGY,,2019,1,2.579999935e-05,2.579999935e-05,2.579999935e-08,1
Africa,North Africa,Egypt,Opioids,Heroin,2019,EGY,,2019,1,3194,3194,3.194,1
Africa,North Africa,Egypt,Opioids,Opium,2019,EGY,,2019,1,188,188,0.188,1
Africa,North Africa,Egypt,Opioids,Pharmaceutical opioids,2019,EGY,,2019,1,596.471758888,596.471758888,0.596471759,1
Africa,North Africa,Egypt,Opioids,Poppy plants,2019,EGY,,2019,1,0,0,0,1
Africa,North Africa,Egypt,Sedatives and Tranquillizers,Other sedatives and tranquillizers,2019,EGY,,2019,1,0.033949999,0.033949999,3.394999924e-05,1
Africa,North Africa,Egypt,Substances not under international control,Synthetic cannabinoids (Spice),2019,EGY,,2019,1,171,171,0.171,1
Africa,North Africa,Egypt,Substances not under international control,Synthetic cannabinoids (Spice),2019,EGY,,2019,1,657,657,0.657,1
Africa,North Africa,Egypt,ATS,Amphetamine,2017,EGY,,2019,1,1667.8115,,1.6678115,1
Africa,North Africa,Egypt,ATS,Ecstasy-type substances,2017,EGY,,2019,1,1.076954,,0.001076954,1
Africa,North Africa,Egypt,ATS,Ecstasy-type substances,2017,EGY,,2019,1,1,,0.001,1
Africa,North Africa,Egypt,ATS,Methamphetamine,2017,EGY,,2019,1,0.148,,0.000148,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis plants,2017,EGY,,2019,1,0,,0,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis seed,2017,EGY,,2019,1,294,,0.294,1
Africa,North Africa,Egypt,Cannabis-type,Hashish (resin),2017,EGY,,2019,1,30090,,30.09,1
Africa,North Africa,Egypt,Cannabis-type,Marijuana (herb),2017,EGY,,2019,1,148,,0.148,1
Africa,North Africa,Egypt,Cannabis-type,Marijuana (herb),2017,EGY,,2019,1,242566,,242.566,1
Africa,North Africa,Egypt,Cocaine-type,Cocaine salts,2017,EGY,,2019,1,14,,0.014,1
Africa,North Africa,Egypt,Hallucinogens,LSD,2017,EGY,,2019,1,1.459999963e-05,,1.459999963e-08,1
Africa,North Africa,Egypt,Opioids,Heroin,2017,EGY,,2019,1,856,,0.856,1
Africa,North Africa,Egypt,Opioids,Heroin,2017,EGY,,2019,1,0.027,,2.7e-05,1
Africa,North Africa,Egypt,Opioids,Opium,2017,EGY,,2019,1,129,,0.129,1
Africa,North Africa,Egypt,Opioids,Opium,2017,EGY,,2019,1,0.029,,2.9e-05,1
Africa,North Africa,Egypt,Opioids,Pharmaceutical opioids,2017,EGY,,2019,1,0.180500003,,0.000180500,1
Africa,North Africa,Egypt,Opioids,Pharmaceutical opioids,2017,EGY,,2019,1,300,,0.3,1
Africa,North Africa,Egypt,Opioids,Pharmaceutical opioids,2017,EGY,,2019,1,11813.588276036,,11.813588276,1
Africa,North Africa,Egypt,Opioids,Poppy seed,2017,EGY,,2019,1,186,,0.186,1
Africa,North Africa,Egypt,ATS,Amphetamine,2016,EGY,,2019,1,6111.725,,6.111725,1
Africa,North Africa,Egypt,ATS,Ecstasy-type substances,2016,EGY,,2019,1,0.35,,0.00035,1
Africa,North Africa,Egypt,ATS,Ecstasy-type substances,2016,EGY,,2019,1,5.62054,,0.00562054,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis oil,2016,EGY,,2019,1,13,,0.013,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis plants,2016,EGY,,2019,1,64,,0.064,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis seed,2016,EGY,,2019,1,210,,0.21,1
Africa,North Africa,Egypt,Cannabis-type,Hashish (resin),2016,EGY,,2019,1,29236,,29.236,1
Africa,North Africa,Egypt,Cannabis-type,Marijuana (herb),2016,EGY,,2019,1,200849,,200.849,1
Africa,North Africa,Egypt,Cannabis-type,Other types of cannabis,2016,EGY,,2019,1,577,,0.577,1
Africa,North Africa,Egypt,Cocaine-type,Cocaine salts,2016,EGY,,2019,1,26,,0.026,1
Africa,North Africa,Egypt,Hallucinogens,Other Hallucinogens,2016,EGY,,2019,1,0.105,,0.000105,1
Africa,North Africa,Egypt,Opioids,Heroin,2016,EGY,,2019,1,816,,0.816,1
Africa,North Africa,Egypt,Opioids,Heroin,2016,EGY,,2019,1,0.034,,3.4e-05,1
Africa,North Africa,Egypt,Opioids,Illicit morphine,2016,EGY,,2019,1,0.040000001,,4.000000060e-05,1
Africa,North Africa,Egypt,Opioids,Opium,2016,EGY,,2019,1,167,,0.167,1
Africa,North Africa,Egypt,Opioids,Opium,2016,EGY,,2019,1,0.054,,5.4e-05,1
Africa,North Africa,Egypt,Opioids,Other illicit opioids,2016,EGY,,2019,1,43,,0.043,1
Africa,North Africa,Egypt,Opioids,Pharmaceutical opioids,2016,EGY,,2019,1,12641.590288374,,12.641590288,1
Africa,North Africa,Egypt,Opioids,Pharmaceutical opioids,2016,EGY,,2019,1,0.007850000,,7.850000117e-06,1
Africa,North Africa,Egypt,Sedatives and Tranquillizers,Other sedatives and tranquillizers,2016,EGY,,2019,1,3.999999911e-05,,3.999999911e-08,1
Africa,North Africa,Egypt,Sedatives and Tranquillizers,Other sedatives and tranquillizers,2016,EGY,,2019,1,0,,0,1
Africa,North Africa,Egypt,ATS,Amphetamine,2015,EGY,,2019,1,2428.9515,,2.4289515,1
Africa,North Africa,Egypt,ATS,Ecstasy-type substances,2015,EGY,,2019,1,1.379119,,0.001379119,1
Africa,North Africa,Egypt,ATS,Methamphetamine,2015,EGY,,2019,1,0.177,,0.000177,1
Africa,North Africa,Egypt,ATS,Methamphetamine,2015,EGY,,2019,1,0.003,,3e-06,1
Africa,North Africa,Egypt,ATS,Other stimulants,2015,EGY,,2019,1,0.38275,,0.00038275,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis oil,2015,EGY,,2019,1,375,,0.375,1
Africa,North Africa,Egypt,Cannabis-type,Cannabis plants,2015,EGY,,2019,1,1056.8,,1.0568,1
Africa,North Africa,Egypt,Cannabis-type,Hashish (resin),2015,EGY,,2019,1,33550,,33.55,1
Africa,North Africa,Egypt,Cannabis-type,Marijuana (herb),2015,EGY,,2019,1,360040,,360.04,1
Africa,North Africa,Egypt,Cannabis-type,Synthetic cannabinoids under international control,2015,EGY,,2019,1,15,,0.015,1
Africa,North Africa,Egypt,Cocaine-type,Cocaine salts,2015,EGY,,2019,1,23,,0.023,1
Africa,North Africa,Egypt,Opioids,Heroin,2015,EGY,,2019,1,516,,0.516,1
Africa,North Africa,Egypt,Opioids,Heroin,2015,EGY,,2019,1,0.029,,2.9e-05,1
Africa,North Africa,Egypt,Opioids,Opium,2015,EGY,,2019,1,159,,0.159,1
Africa,North Africa,Egypt,Opioids,Other illicit opiates,2015,EGY,,2019,1,0.074,,7.4e-05,1
Africa,North Africa,Morocco,ATS,Ecstasy-type substances,2019,MOR,,2019,1,280.318335,280.318335,0.280318335,1
Africa,North Africa,Morocco,Cannabis-type,Hashish (resin),2019,MOR,,2019,1,320926,320926,320.926,1
Africa,North Africa,Morocco,Cannabis-type,Marijuana (herb),2019,MOR,,2019,1,295879,295879,295.879,1
Africa,Southern Africa,South Africa,ATS,Other stimulants,2015,SAF,,2018,1,0.5,,0.0005,1
Africa,Southern Africa,South Africa,Cannabis-type,Cannabis oil,2015,SAF,,2018,1,0.25,,0.00025,1
Africa,Southern Africa,South Africa,Cannabis-type,Cannabis seed,2015,SAF,,2018,1,0.010270000,,1.026999977e-05,1
Africa,Southern Africa,South Africa,Cannabis-type,Hashish (resin),2015,SAF,,2018,1,0.1,,0.0001,1
Africa,Southern Africa,South Africa,Cannabis-type,Marijuana (herb),2015,SAF,,2018,1,2179.8,,2.1798,1
Africa,Southern Africa,South Africa,Cocaine-type,Cocaine salts,2015,SAF,,2018,1,239.4,,0.2394,1
Africa,Southern Africa,South Africa,Hallucinogens,LSD,2015,SAF,,2018,1,7.499999811e-07,,7.499999811e-10,1
Africa,Southern Africa,South Africa,Opioids,Heroin,2015,SAF,,2018,1,28.3,,0.0283,1
Africa,Southern Africa,South Africa,Precursors,Ephedrine,2015,SAF,,2017,1,140.6,,0.1406,1
Africa,Southern Africa,South Africa,Sedatives and Tranquillizers,Methaqualone,2015,SAF,,2018,1,16.56,,0.01656,1
Africa,Southern Africa,South Africa,Substances not under international control,Other Plant-based substances,2015,SAF,,2018,1,0.212,,0.000212,1
Africa,Southern Africa,South Africa,Substances not under international control,Plant-based NPS,2015,SAF,,2018,1,3252,,3.252,1
Africa,Southern Africa,Zambia,ATS,Amphetamine,2019,ZAM,,2019,1,0.07206,0.07206,7.206e-05,1
Africa,Southern Africa,Zambia,Cannabis-type,Cannabis plants,2019,ZAM,,2019,1,109522.606,109522.606,109.522606,1
Africa,Southern Africa,Zambia,Cannabis-type,Cannabis seed,2019,ZAM,,2019,1,277.74954,277.74954,0.27774954,1
Africa,Southern Africa,Zambia,Cannabis-type,Marijuana (herb),2019,ZAM,,2019,1,22452.6074,22452.6074,22.4526074,1
Africa,Southern Africa,Zambia,Cocaine-type,Cocaine salts,2019,ZAM,,2019,1,2.31566,2.31566,0.00231566,1
Africa,Southern Africa,Zambia,Opioids,Heroin,2019,ZAM,,2019,1,4.12174954,4.12174954,0.004121750,1
