"Year","State","Category","Percent"
"2004","Missouri","natural gas",3.2723518953948503
"2004","Missouri","nuclear",8.98204966450651
"2004","Missouri","Hydro",1.8294431381544989
"2004","Montana","Petroleum",1.6411870503597121
"2004","Montana","coal",65.12290167865707
"2004","Montana","Hydro",33.18345323741007
"2004","Nebraska","coal",63.90871525169046
"2004","Nebraska","nuclear",32.05922865013774
"2004","Nebraska","Hydro",2.8581267217630857
"2004","Nevada","Renewables",3.4478178872154484
"2004","Nevada","coal",48.49523202380004
"2004","Nevada","natural gas",43.51209923765506
"2004","Nevada","Hydro",4.289850452891333
"2004","NewHampshire","Renewables",3.330202373836564
"2004","NewHampshire","Petroleum",8.005294167876356
"2004","NewHampshire","coal",17.40244214840748
"2004","NewHampshire","natural gas",22.214157629579027
"2004","NewHampshire","nuclear",43.454871488344295
"2004","NewHampshire","Hydro",5.59303219195628
"2004","NewJersey","Renewables",1.4844429637033336
"2004","NewJersey","Petroleum",1.999000499750125
"2004","NewJersey","coal",19.105262183722953
"2004","NewJersey","natural gas",27.749088418753587
"2004","NewJersey","nuclear",50.126788457623036
"2004","NewMexico","Renewables",1.5625475922146752
"2004","NewMexico","coal",89.13526849623831
"2004","NewMexico","natural gas",8.787426517620542
"2004","NewYork","Renewables",1.1442951778246548
"2004","NewYork","Petroleum",15.462048036712186
"2004","NewYork","coal",16.396136338403462
"2004","NewYork","natural gas",19.823840716479772
"2004","NewYork","nuclear",30.080307908663634
"2004","NewYork","Hydro",17.093371821916286
"2004","NorthCarolina","coal",60.86271707978469
"2004","NorthCarolina","natural gas",2.061395318627252
"2004","NorthCarolina","nuclear",32.54958634071885
"2004","NorthCarolina","Hydro",3.904391527088797
"2004","NorthDakota","coal",93.9534570890503
"2004","NorthDakota","Hydro",5.199085283831047
"2004","Ohio","coal",86.76028016114022
"2004","Ohio","nuclear",10.835524215188755
"2004","Oklahoma","coal",56.060402233133786
"2004","Oklahoma","natural gas",38.32817649828479
"2004","Oklahoma","Hydro",4.612564740700882
"2004","Oregon","Renewables",1.4172848440986672
"2004","Oregon","coal",7.108537884727499
"2004","Oregon","natural gas",24.930140924351164
"2004","Oregon","Hydro",66.50382968457873
"2004","Pennsylvania","Petroleum",1.855321982307619
"2004","Pennsylvania","coal",55.13174165319129
"2004","Pennsylvania","natural gas",4.202891657947303
"2004","Pennsylvania","nuclear",36.83962712831732
"2004","Pennsylvania","Hydro",1.1742604394559117
"2004","RhodeIsland","Renewables",2.0799347471451877
"2004","RhodeIsland","natural gas",97.55301794453507
"2004","SouthCarolina","coal",40.22705197965514
"2004","SouthCarolina","natural gas",3.9551326906808426
"2004","SouthCarolina","nuclear",53.474187719976186
"2004","SouthCarolina","Hydro",1.3535389403544684
"2004","SouthDakota","Renewables",2.1035814139262414
"2004","SouthDakota","coal",48.19597923046199
"2004","SouthDakota","natural gas",1.4911463187325256
"2004","SouthDakota","Hydro",47.90307548928239
"2004","Tennessee","coal",59.94004300801898
"2004","Tennessee","nuclear",30.30900096397284
"2004","Tennessee","Hydro",9.354773784176015
"2004","Texas","coal",42.22945554634542
"2004","Texas","natural gas",44.3410149695151
"2004","Texas","nuclear",11.67841680698481
"2004","UnitedStates","Renewables",1.393267659456235
"2004","UnitedStates","Petroleum",3.0201907009266415
"2004","UnitedStates","coal",51.54503041180708
"2004","UnitedStates","natural gas",16.517370744881877
"2004","UnitedStates","nuclear",20.76688582832176
"2004","UnitedStates","Hydro",6.7572546546064105
"2004","Utah","coal",95.88311999361312
